Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3304","1.5"
"268000","0","3291","1.9"
"477000","0","3296","2.2"
"686000","0","3292","2.6"
"894000","0","3288","2.6"
"1301000","0","3291","3.4"
"1568000","0","3291","3.4"
"1778000","0","3289","3.8"
"1986000","0","3291","4.1"
"2195000","0","3290","4.1"
"2660000","0","3289","4.9"
"2869000","0","3291","5.3"
"3079000","0","3290","5.3"
"3292000","0","3291","5.7"
"3502000","0","3290","6.1"
"3966000","0","3289","6.4"
"4176000","0","3290","6.8"
"4386000","0","3290","6.8"
"4594000","0","3289","7.2"
"4803000","0","3290","7.6"
"5268000","0","3290","8.0"
"5477000","0","3290","8.3"
"5687000","0","3290","8.7"
"5896000","0","3289","8.7"
"6105000","0","3290","9.1"
"6570000","0","3289","9.5"
"6779000","0","3290","9.9"
"6989000","0","3290","10.2"
"7198000","0","3289","10.2"
"7406000","0","3290","10.6"
"7814000","0","3289","11.0"
"8080000","0","3290","11.4"
"8290000","0","3289","11.8"
"8498000","0","3289","12.2"
"8707000","0","3289","12.2"
"9114000","0","3289","12.5"
"9381000","0","3290","12.9"
"9590000","0","3289","13.3"
"9799000","0","3290","13.7"
"10009000","0","3289","13.7"
"10473000","0","3290","14.4"
"10683000","0","3290","14.4"
"10892000","0","3290","14.8"
"11102000","0","3290","15.2"
"11310000","0","3289","15.2"
"11710000","0","3290","16.0"
"11985000","0","3290","16.0"
"12194000","0","3289","16.3"
"12402000","0","3290","16.7"
"12612000","0","3290","16.7"
"13018000","0","3290","17.5"
"13291000","0","3290","17.9"
"13500000","0","3289","17.9"
"13709000","0","3290","18.2"
"13918000","0","3290","18.6"
"14325000","0","3289","19.0"
"14592000","0","3290","19.4"
"14801000","0","3290","19.4"
"15010000","0","3290","19.8"
"15219000","0","3290","20.1"
"15683000","0","3290","20.5"
"15892000","0","3290","20.9"
"16102000","0","3290","21.3"
"16311000","0","3289","21.3"
"16521000","0","3290","21.7"
"16928000","0","3290","22.0"
"17195000","0","3290","22.4"
"17410000","0","3290","22.8"
"17619000","0","3290","22.8"
"17828000","0","3289","23.2"
"18234000","0","3289","23.6"
"18501000","0","3289","23.9"
"18710000","0","3289","24.3"
"18919000","0","3289","24.3"
"19128000","0","3289","24.7"
"19534000","0","3289","25.1"
"19802000","0","3289","25.5"
"20010000","0","3289","25.9"
"20220000","0","3290","25.9"
"20429000","0","3290","26.2"
"20834000","0","3289","26.6"
"21101000","0","3289","27.0"
"21310000","0","3289","27.4"
"21518000","0","3289","27.8"
"21726000","0","3289","27.8"
"22133000","0","3290","28.5"
"22401000","0","3289","28.5"
"22610000","0","3289","28.9"
"22819000","0","3289","29.3"
"23027000","0","3289","29.3"
"23440000","0","3289","30.0"
"23707000","0","3289","30.0"
"23916000","0","3288","30.4"
"24124000","0","3289","30.8"
"24334000","0","3289","30.8"
"24740000","0","3289","31.6"
"25007000","0","3289","32.0"
"25216000","0","3289","32.0"
"25425000","0","3289","32.3"
"25635000","0","3289","32.3"
"26042000","0","3288","33.1"
"26309000","0","3289","33.5"
"26517000","0","3289","33.5"
"26727000","0","3289","33.8"
"26936000","0","3289","34.2"
"27343000","0","3289","34.6"
"27610000","0","3289","35.0"
"27820000","0","3289","35.0"
"28029000","0","3289","35.4"
"28239000","0","3289","35.8"
"28646000","0","3289","36.1"
"28912000","0","3289","36.5"
"29121000","0","3289","36.5"
"29330000","0","3290","36.9"
"29539000","0","3289","37.3"
"29946000","0","3289","37.7"
"30213000","0","3289","38.0"
"30422000","0","3289","38.0"
"30631000","0","3289","38.4"
"30840000","0","3289","38.8"
"31247000","0","3289","39.2"
"31512000","0","3289","39.6"
"31721000","0","3289","39.9"
"31930000","0","3289","39.9"
"32140000","0","3290","40.3"
"32547000","0","3290","40.7"
"32815000","0","3290","41.1"
"33024000","0","3290","41.5"
"33239000","0","3289","41.5"
"33449000","0","3290","41.8"
"33856000","0","3290","42.2"
"34122000","0","3290","42.6"
"34332000","0","3290","43.0"
"34540000","0","3290","43.0"
"34749000","0","3290","43.4"
"35157000","0","3289","43.7"
"35424000","0","3290","44.1"
"35632000","0","3290","44.5"
"35842000","0","3290","44.9"
"36050000","0","3290","44.9"
"36457000","0","3290","45.3"
"36725000","0","3290","45.6"
"36933000","0","3291","46.0"
"37143000","0","3290","46.4"
"37352000","0","3290","46.4"
"37759000","0","3290","47.2"
"38026000","0","3290","47.2"
"38234000","0","3291","47.6"
"38444000","0","3290","47.9"
"38653000","0","3290","47.9"
"39059000","366000","3291","48.7"
"39326000","366000","3290","48.7"
"39536000","366000","3290","49.1"
"39744000","366000","3290","49.5"
"39953000","366000","3290","49.5"
"40417000","366000","3290","50.2"
"40627000","366000","3290","50.6"
"40836000","366000","3290","50.6"
"41045000","366000","3290","51.0"
"41254000","366000","3290","51.4"
"41661000","366000","3290","51.7"
"41927000","366000","3290","52.1"
"42137000","366000","3290","52.1"
"42346000","366000","3290","52.5"
"42556000","366000","3290","52.9"
"42962000","366000","3290","53.3"
"43235000","366000","3290","53.6"
"43443000","366000","3290","53.6"
"43653000","366000","3291","54.0"
"43862000","366000","3290","54.4"
"44269000","366000","3290","54.8"
"44536000","366000","3291","55.2"
"44745000","366000","3290","55.2"
"44954000","366000","3290","55.5"
"45162000","366000","3290","55.9"
"45569000","366000","3290","56.3"
"45836000","366000","3290","56.7"
"46045000","366000","3290","56.7"
"46254000","366000","3290","57.1"
"46462000","366000","3290","57.5"
"46927000","366000","3290","57.8"
"47136000","366000","3290","58.2"
"47346000","366000","3290","58.6"
"47555000","366000","3290","58.6"
"47763000","366000","3290","59.0"
"48170000","366000","3290","59.4"
"48438000","366000","3290","59.7"
"48647000","366000","3290","60.1"
"48857000","366000","3289","60.1"
"49065000","366000","3290","60.5"
"49472000","366000","3289","60.9"
"49738000","366000","3290","61.3"
"49947000","366000","3289","61.6"
"50156000","366000","3289","61.6"
"50366000","366000","3290","62.0"
"50772000","366000","3289","62.4"
"51039000","366000","3289","62.8"
"51248000","366000","3289","63.2"
"51457000","366000","3290","63.6"
"51667000","366000","3290","63.6"
"52074000","366000","3290","63.9"
"52341000","366000","3290","64.3"
"52550000","366000","3290","64.7"
"52759000","366000","3290","65.1"
