Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3311","1.5"
"210000","0","3296","1.5"
"418000","0","3289","1.8"
"627000","0","3292","1.8"
"837000","0","3290","2.2"
"1243000","0","3288","2.6"
"1515000","0","3291","3.0"
"1725000","0","3289","3.0"
"1935000","0","3291","3.4"
"2143000","0","3290","3.4"
"2608000","0","3292","4.1"
"2817000","0","3291","4.1"
"3026000","0","3292","4.5"
"3236000","0","3291","4.5"
"3446000","0","3290","4.9"
"3910000","0","3291","5.2"
"4119000","0","3291","5.6"
"4329000","0","3290","6.0"
"4538000","0","3291","6.0"
"4747000","0","3290","6.4"
"5154000","0","3289","6.8"
"5420000","0","3290","7.1"
"5630000","0","3290","7.1"
"5839000","0","3291","7.5"
"6048000","0","3290","7.5"
"6455000","0","3291","8.3"
"6722000","0","3290","8.3"
"6931000","0","3291","8.7"
"7140000","0","3291","9.0"
"7348000","0","3290","9.0"
"7814000","0","3291","9.4"
"8023000","0","3290","10.6"
"8232000","0","3291","14.1"
"8442000","0","3291","19.7"
"8651000","0","3290","28.4"
"9115000","1644900","3291","56.5"
"9324000","1644900","3290","68.0"
"9533000","1644900","3290","79.9"
"9743000","1644900","3291","93.3"
"9952000","1644900","3291","105.2"
"10359000","17265400","3290","127.4"
"10626000","17265400","3291","143.2"
"10835000","17265400","3290","152.7"
"11044000","17265400","3291","158.7"
"11254000","17265400","3291","165.0"
"11723000","11252200","3290","178.1"
"11933000","11252200","3291","183.6"
"12142000","11252200","3291","186.8"
"12351000","11252200","3290","187.9"
"12560000","11252200","3291","188.7"
"12967000","11252200","3290","189.9"
"13234000","11252200","3290","190.7"
"13442000","11252200","3291","191.1"
"13652000","11252200","3290","191.4"
"13860000","11252200","3291","191.8"
"14265000","11252200","3291","192.2"
"14533000","11252200","3291","192.6"
"14742000","11252200","3291","193.0"
"14952000","11252200","3291","193.4"
"15161000","11252200","3291","193.7"
"15624000","11252200","3290","194.1"
"15833000","11252200","3290","194.5"
"16043000","11252200","3290","194.9"
"16252000","11252200","3290","195.3"
"16461000","11252200","3290","195.3"
"16868000","11252200","3290","196.0"
"17135000","11252200","3290","196.4"
"17343000","11252200","3290","196.4"
