Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3283","1.1"
"267000","0","3282","1.1"
"475000","0","3279","1.5"
"685000","0","3288","1.5"
"895000","0","3287","1.8"
"1359000","0","3285","2.2"
"1569000","0","3289","2.6"
"1779000","0","3287","2.6"
"1989000","0","3290","3.0"
"2198000","0","3289","3.0"
"2605000","0","3288","3.4"
"2872000","0","3289","3.7"
"3081000","0","3289","3.7"
"3291000","0","3290","4.1"
"3501000","0","3289","4.1"
"3909000","0","3290","4.5"
"4177000","0","3290","4.9"
"4386000","0","3289","4.9"
"4596000","0","3290","5.3"
"4806000","0","3289","5.3"
"5213000","0","3290","5.6"
"5481000","0","3289","6.0"
"5689000","0","3289","6.4"
"5899000","0","3290","6.4"
"6109000","0","3290","6.8"
"6516000","0","3289","7.2"
"6783000","0","3290","7.2"
"6993000","0","3289","7.5"
"7202000","0","3289","7.5"
"7412000","0","3289","7.9"
"7825000","0","3289","8.3"
"8093000","0","3289","8.3"
"8303000","0","3289","8.7"
"8513000","0","3289","8.7"
"8722000","0","3289","9.0"
"9129000","0","3289","9.4"
"9395000","0","3289","9.8"
"9605000","0","3289","9.8"
"9815000","0","3289","10.2"
"10025000","0","3289","10.2"
"10432000","0","3289","10.6"
"10699000","0","3289","10.9"
"10909000","0","3289","10.9"
"11119000","0","3289","11.3"
"11329000","0","3289","11.3"
"11736000","0","3289","11.7"
"12003000","0","3289","12.1"
"12213000","0","3289","12.1"
"12424000","0","3289","12.5"
"12633000","0","3289","12.5"
"13041000","0","3290","12.8"
"13309000","0","3290","13.2"
"13517000","0","3290","13.2"
"13727000","0","3289","13.6"
"13937000","0","3289","13.6"
"14345000","0","3290","14.0"
"14612000","0","3289","14.4"
"14823000","0","3290","14.7"
"15032000","0","3289","14.7"
"15241000","0","3289","15.1"
"15707000","0","3290","15.5"
"15917000","0","3290","15.5"
"16125000","0","3290","15.9"
"16335000","0","3290","15.9"
"16545000","0","3290","16.3"
"16952000","0","3289","16.6"
"17220000","0","3290","16.6"
"17430000","0","3290","17.0"
"17644000","0","3289","17.0"
"17854000","0","3290","17.4"
"18262000","0","3289","17.8"
"18529000","0","3289","17.8"
"18738000","0","3290","18.1"
"18948000","0","3289","18.1"
"19158000","0","3289","18.5"
"19566000","0","3290","18.9"
"19833000","0","3289","19.3"
"20042000","0","3290","19.3"
"20253000","0","3290","19.7"
"20463000","0","3289","19.7"
"20869000","0","3290","20.0"
"21137000","0","3290","20.4"
"21346000","0","3289","20.4"
"21556000","0","3290","20.8"
"21766000","0","3289","20.8"
"22174000","0","3290","21.2"
"22441000","0","3290","21.6"
"22649000","0","3289","21.6"
"22859000","0","3289","21.9"
"23069000","0","3289","21.9"
"23476000","0","3289","22.3"
"23743000","0","3289","22.7"
"23953000","0","3290","23.1"
"24162000","0","3290","23.1"
"24372000","0","3289","23.5"
"24779000","0","3290","23.8"
"25045000","0","3290","23.8"
"25256000","0","3290","24.2"
"25465000","0","3290","24.2"
"25675000","0","3290","24.6"
"26139000","0","3290","25.0"
"26349000","0","3290","25.0"
"26558000","0","3290","25.3"
"26768000","0","3290","25.3"
"26978000","0","3291","25.7"
"27378000","0","3290","26.1"
"27659000","0","3290","26.1"
"27867000","0","3289","26.5"
"28076000","0","3290","26.5"
"28286000","0","3290","26.9"
"28693000","0","3289","27.2"
"28960000","0","3290","27.6"
"29169000","0","3290","27.6"
"29378000","0","3289","28.0"
"29588000","0","3290","28.0"
"30054000","0","3290","28.4"
"30264000","0","3290","28.8"
"30472000","0","3290","28.8"
"30680000","0","3290","29.1"
"30889000","0","3290","29.1"
"31297000","0","3290","29.5"
"31565000","0","3291","29.9"
"31775000","0","3290","29.9"
"31985000","0","3291","30.3"
"32194000","0","3290","30.3"
"32602000","0","3291","30.6"
"32870000","0","3291","31.0"
"33080000","0","3290","31.0"
"33343000","0","3291","31.4"
"33552000","0","3291","31.8"
"34018000","0","3290","32.2"
"34228000","0","3291","32.2"
"34437000","0","3291","32.6"
"34646000","0","3290","32.6"
"34856000","0","3291","32.9"
"35263000","0","3290","33.3"
"35531000","0","3290","33.3"
"35741000","0","3291","33.7"
"35951000","0","3290","33.7"
"36160000","0","3291","34.1"
"36568000","0","3290","34.4"
"36834000","0","3290","34.4"
"37043000","0","3290","34.8"
"37252000","0","3290","34.8"
"37468000","0","3291","35.2"
"37933000","0","3290","35.6"
"38141000","0","3290","36.0"
"38351000","0","3290","36.0"
"38560000","0","3290","36.3"
"38770000","0","3289","36.3"
"39177000","0","3290","36.7"
"39445000","0","3290","37.1"
"39655000","0","3289","37.1"
"39864000","0","3290","37.5"
"40074000","0","3289","37.5"
"40482000","0","3289","37.8"
"40749000","0","3290","38.2"
"40959000","0","3289","38.2"
"41168000","0","3289","38.6"
"41378000","0","3289","38.6"
"41785000","0","3290","39.0"
"42053000","0","3289","39.4"
"42263000","0","3290","39.4"
"42472000","0","3290","39.7"
"42681000","0","3290","40.1"
"43089000","0","3290","40.1"
"43357000","0","3290","40.5"
"43566000","0","3290","40.9"
"43775000","0","3290","40.9"
"43985000","0","3290","41.3"
"44384000","0","3290","41.6"
"44602000","0","3290","41.6"
"44870000","0","3290","42.0"
"45080000","0","3289","42.0"
"45289000","0","3290","42.4"
"45697000","0","3289","42.8"
"45965000","0","3289","42.8"
"46175000","0","3290","43.2"
"46384000","0","3289","43.2"
"46594000","0","3290","43.5"
"47002000","0","3290","43.9"
"47269000","0","3289","43.9"
"47485000","0","3290","44.3"
"47695000","0","3290","44.3"
"47904000","0","3289","44.7"
"48312000","0","3290","45.1"
"48580000","0","3290","45.4"
"48790000","0","3289","45.4"
"48999000","0","3290","45.8"
"49209000","0","3289","45.8"
"49616000","0","3289","46.2"
"49883000","0","3290","46.6"
"50093000","0","3290","46.6"
"50303000","0","3290","47.0"
"50513000","0","3290","47.0"
"50921000","0","3290","47.3"
"51188000","276000","3290","47.7"
"51397000","276000","3289","47.7"
"51607000","276000","3290","48.1"
"51817000","276000","3290","48.1"
"52224000","276000","3290","48.5"
"52493000","276000","3290","48.8"
"52701000","276000","3290","48.8"
"52911000","276000","3290","49.2"
"53120000","276000","3290","49.2"
"53527000","276000","3290","49.6"
"53794000","276000","3290","50.0"
"54004000","276000","3291","50.4"
"54214000","276000","3290","50.4"
"54424000","276000","3291","50.7"
"54831000","276000","3290","51.1"
"55099000","276000","3290","51.1"
"55307000","276000","3290","51.5"
"55518000","276000","3290","51.5"
"55728000","276000","3291","51.9"
"56134000","276000","3290","52.3"
"56400000","276000","3290","52.3"
"56610000","276000","3290","52.6"
"56820000","276000","3290","52.6"
"57030000","276000","3290","53.0"
"57443000","276000","3290","53.4"
"57711000","276000","3290","53.4"
"57920000","276000","3290","53.8"
"58130000","276000","3290","53.8"
"58338000","276000","3290","54.1"
"58745000","276000","3290","54.5"
"59012000","276000","3291","54.9"
"59222000","276000","3290","54.9"
"59432000","276000","3291","55.3"
"59641000","276000","3290","55.3"
"60048000","276000","3290","55.7"
"60317000","276000","3291","56.0"
"60527000","276000","3290","56.0"
"60736000","276000","3290","56.4"
"60946000","276000","3290","56.4"
"61353000","276000","3290","56.8"
"61621000","276000","3290","57.2"
"61830000","276000","3290","57.2"
"62040000","276000","3290","57.6"
"62249000","276000","3290","57.6"
"62656000","276000","3291","57.9"
"62923000","276000","3290","58.3"
"63134000","276000","3291","58.7"
"63343000","276000","3290","58.7"
"63552000","276000","3290","59.1"
"63960000","276000","3290","59.1"
"64227000","276000","3290","59.4"
"64435000","276000","3291","59.8"
"64644000","276000","3291","59.8"
"64855000","276000","3291","60.2"
"65262000","276000","3290","60.6"
"65530000","276000","3290","60.6"
"65739000","276000","3291","61.0"
"65949000","276000","3290","61.0"
"66157000","276000","3291","61.4"
"66565000","276000","3290","61.7"
"66832000","276000","3290","61.7"
"67041000","276000","3290","62.1"
"67251000","276000","3290","62.1"
"67467000","276000","3290","62.5"
"67874000","276000","3290","62.9"
"68141000","276000","3290","62.9"
"68350000","276000","3289","63.2"
"68560000","276000","3290","63.2"
"68770000","276000","3289","63.6"
"69177000","276000","3290","64.0"
"69445000","276000","3290","64.4"
"69655000","276000","3289","64.4"
"69865000","276000","3290","64.8"
"70075000","276000","3289","64.8"
"70482000","276000","3290","65.1"
"70751000","276000","3290","65.5"
"70960000","276000","3290","65.5"
"71170000","276000","3290","65.9"
"71380000","276000","3290","65.9"
"71785000","276000","3290","66.3"
"72052000","276000","3290","66.7"
"72262000","276000","3290","66.7"
"72472000","276000","3289","67.0"
"72681000","276000","3289","67.0"
"73089000","276000","3290","67.4"
"73357000","276000","3289","67.8"
"73566000","276000","3289","68.2"
"73775000","276000","3289","68.2"
"73986000","276000","3290","68.6"
"74393000","276000","3289","68.9"
"74660000","276000","3289","68.9"
"74871000","276000","3290","69.3"
"75080000","276000","3289","69.3"
