Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3309","1.5"
"211000","0","3294","1.5"
"421000","0","3299","1.8"
"630000","0","3293","1.8"
"840000","0","3296","2.2"
"1247000","0","3293","2.6"
"1515000","0","3296","3.0"
"1724000","0","3294","3.0"
"1934000","0","3296","3.3"
"2144000","0","3295","3.3"
"2609000","0","3293","4.1"
"2818000","0","3294","4.1"
"3027000","0","3293","4.5"
"3237000","0","3294","4.5"
"3446000","0","3294","4.8"
"3911000","0","3292","5.2"
"4121000","0","3293","5.6"
"4331000","0","3292","5.6"
"4540000","0","3293","6.0"
"4750000","0","3292","6.4"
"5157000","0","3292","6.7"
"5425000","0","3292","6.7"
"5634000","0","3292","7.1"
"5844000","0","3293","7.1"
"6053000","0","3292","7.5"
"6458000","0","3291","7.9"
"6725000","0","3292","8.2"
"6935000","0","3291","8.2"
"7145000","0","3292","8.6"
"7355000","0","3292","8.6"
"7761000","0","3291","9.4"
"8029000","0","3292","9.4"
"8239000","0","3291","9.7"
"8447000","0","3291","9.7"
"8657000","0","3291","10.1"
"9128000","0","3291","10.5"
"9338000","0","3291","10.9"
"9548000","0","3291","10.9"
"9757000","0","3291","11.2"
"9967000","0","3291","11.2"
"10431000","0","3291","12.0"
"10641000","0","3291","12.0"
"10851000","0","3291","12.4"
"11062000","0","3291","12.4"
"11272000","0","3291","12.8"
"11735000","0","3290","13.1"
"11944000","0","3291","13.5"
"12154000","0","3290","13.5"
"12363000","0","3291","13.9"
"12573000","0","3291","14.3"
"13038000","0","3290","14.6"
"13246000","0","3290","14.6"
"13457000","0","3290","15.0"
"13667000","0","3290","15.4"
"13877000","0","3290","15.4"
"14282000","0","3290","15.8"
"14551000","0","3290","16.1"
"14760000","0","3290","16.5"
"14969000","0","3289","16.5"
"15179000","0","3289","16.9"
"15644000","0","3289","17.3"
"15854000","0","3289","17.7"
"16063000","0","3289","17.7"
"16272000","0","3289","18.0"
"16480000","0","3288","18.0"
"16888000","0","3289","18.4"
"17155000","0","3288","18.8"
"17365000","0","3289","19.2"
"17575000","0","3289","19.2"
"17786000","0","3289","19.5"
"18193000","0","3289","19.9"
"18461000","0","3289","20.3"
"18671000","0","3289","20.3"
"18886000","0","3289","20.7"
"19096000","0","3289","21.1"
"19503000","0","3289","21.4"
"19770000","0","3289","21.4"
"19980000","0","3289","21.8"
"20190000","0","3289","22.2"
"20398000","0","3289","22.2"
"20806000","0","3290","22.6"
"21073000","0","3289","22.9"
"21283000","0","3289","22.9"
"21493000","0","3290","23.3"
"21702000","0","3290","23.7"
"22110000","0","3289","24.1"
"22377000","0","3289","24.1"
"22587000","0","3289","24.4"
"22798000","0","3290","24.4"
"23007000","0","3289","24.8"
"23413000","0","3289","25.2"
"23679000","0","3289","25.6"
"23889000","0","3289","25.6"
"24099000","0","3289","25.9"
"24309000","0","3289","26.3"
"24715000","0","3289","26.7"
"24982000","0","3289","26.7"
"25192000","0","3289","27.1"
"25402000","0","3290","27.5"
"25611000","0","3290","27.5"
"26019000","0","3290","27.8"
"26286000","0","3290","28.2"
"26495000","0","3290","28.2"
"26705000","0","3290","28.6"
"26915000","0","3290","29.0"
"27323000","0","3290","29.3"
"27590000","0","3290","29.3"
"27800000","0","3290","29.7"
"28010000","0","3291","30.1"
"28219000","0","3290","30.1"
"28627000","0","3290","30.5"
"28900000","0","3291","30.8"
"29109000","0","3290","31.2"
"29318000","0","3290","31.2"
"29528000","0","3291","31.6"
