Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3278","2.3"
"268000","0","3291","2.7"
"477000","0","3286","3.0"
"686000","0","3290","3.4"
"897000","0","3288","3.8"
"1305000","0","3291","4.6"
"1572000","0","3289","5.0"
"1781000","0","3291","5.4"
"1991000","0","3289","5.7"
"2200000","0","3291","6.1"
"2608000","0","3290","6.9"
"2874000","0","3289","7.3"
"3083000","0","3290","7.7"
"3292000","0","3289","8.1"
"3502000","0","3290","8.4"
"3910000","0","3290","9.2"
"4177000","0","3289","9.6"
"4387000","0","3290","10.0"
"4602000","0","3289","10.4"
"4812000","0","3289","10.8"
"5219000","0","3290","11.5"
"5486000","0","3289","11.9"
"5696000","0","3289","12.3"
"5906000","0","3290","12.7"
"6115000","0","3289","13.1"
"6523000","0","3289","13.4"
"6790000","0","3288","14.2"
"7000000","0","3289","14.6"
"7210000","0","3289","15.0"
"7419000","0","3289","15.4"
"7826000","0","3289","15.8"
"8093000","0","3289","16.5"
"8302000","0","3288","16.5"
"8510000","0","3288","16.9"
"8720000","0","3288","17.3"
"9127000","0","3288","18.1"
"9395000","0","3288","18.5"
"9605000","0","3288","18.8"
"9815000","0","3289","19.2"
"10025000","0","3288","19.6"
"10432000","0","3289","20.4"
"10700000","0","3289","20.8"
"10910000","0","3289","21.2"
"11119000","0","3289","21.5"
"11328000","0","3289","21.9"
"11735000","0","3289","22.7"
"12003000","0","3289","23.1"
"12212000","0","3289","23.5"
"12422000","0","3289","23.9"
"12632000","0","3289","24.2"
"13040000","0","3290","25.0"
"13307000","0","3289","25.4"
"13517000","0","3290","25.8"
"13727000","0","3289","26.2"
"13936000","0","3289","26.6"
"14402000","0","3289","27.3"
"14617000","0","3289","27.7"
"14826000","0","3289","28.1"
"15034000","0","3289","28.5"
"15298000","0","3289","28.9"
"15704000","0","3289","29.6"
"15971000","0","3289","30.0"
"16181000","0","3289","30.4"
"16392000","0","3289","30.8"
"16602000","0","3289","31.2"
"17010000","0","3289","32.0"
"17278000","0","3289","32.3"
"17487000","0","3289","32.7"
"17697000","0","3289","33.1"
"17907000","0","3289","33.5"
"18312000","0","3289","34.3"
"18521000","0","3289","34.7"
"18788000","0","3289","35.0"
"18997000","0","3289","35.4"
"19206000","0","3289","35.8"
"19614000","0","3289","36.6"
"19881000","0","3289","37.0"
"20090000","0","3289","37.3"
"20300000","0","3289","37.7"
"20510000","0","3289","38.1"
"20917000","0","3289","38.5"
"21184000","0","3289","39.3"
"21393000","0","3289","39.7"
"21602000","0","3290","39.7"
"21811000","0","3290","40.0"
"22218000","0","3290","40.8"
"22486000","0","3290","41.2"
"22695000","0","3290","41.6"
"22905000","0","3290","42.0"
"23115000","0","3290","42.4"
"23523000","0","3290","43.1"
"23791000","0","3290","43.5"
"24000000","0","3290","43.9"
"24209000","0","3290","44.3"
"24419000","0","3290","44.7"
"24832000","0","3290","45.4"
"25041000","0","3290","45.8"
"25309000","0","3290","46.2"
"25520000","0","3290","46.6"
"25729000","0","3290","47.0"
"26136000","0","3290","47.8"
"26403000","0","3290","48.1"
"26614000","528300","3290","48.5"
"26824000","528300","3290","48.9"
"27034000","528300","3291","49.3"
"27441000","528300","3290","50.1"
"27708000","528300","3290","50.5"
"27918000","528300","3291","50.8"
"28128000","528300","3290","51.2"
"28338000","528300","3291","51.6"
"28804000","528300","3291","52.4"
"29013000","528300","3290","52.8"
"29223000","528300","3291","53.2"
"29433000","528300","3290","53.5"
"29642000","528300","3290","53.9"
"30049000","528300","3290","54.7"
"30317000","528300","3290","55.1"
"30526000","528300","3290","55.5"
"30736000","528300","3291","55.9"
"30945000","528300","3291","56.2"
"31352000","528300","3291","56.6"
"31619000","528300","3290","57.4"
"31829000","528300","3291","57.8"
"32039000","528300","3291","58.2"
"32248000","528300","3291","58.2"
"32655000","528300","3291","58.9"
"32921000","528300","3291","59.7"
"33130000","528300","3291","59.7"
"33340000","528300","3291","60.1"
"33550000","528300","3291","60.5"
"34014000","528300","3291","61.2"
"34224000","528300","3291","61.6"
"34434000","528300","3291","62.0"
"34649000","528300","3291","62.4"
"34858000","528300","3291","62.8"
"35324000","528300","3291","63.6"
"35534000","528300","3291","63.9"
"35743000","528300","3291","64.3"
"35953000","528300","3291","64.7"
"36162000","528300","3291","65.1"
"36570000","528300","3291","65.9"
"36837000","528300","3291","66.3"
"37048000","528300","3291","66.6"
"37258000","528300","3291","67.0"
"37468000","528300","3291","67.4"
"37875000","528300","3291","68.2"
"38142000","528300","3291","68.6"
"38352000","528300","3291","69.0"
"38560000","528300","3290","69.3"
"38769000","528300","3291","69.7"
"39177000","528300","3290","70.5"
"39444000","528300","3290","70.9"
"39653000","528300","3290","71.3"
"39864000","528300","3290","71.7"
"40074000","528300","3290","72.0"
"40481000","528300","3290","72.4"
"40748000","528300","3291","73.2"
"40958000","528300","3290","73.6"
"41167000","528300","3291","74.0"
"41376000","528300","3290","74.0"
"41784000","528300","3290","74.7"
"42050000","528300","3291","75.1"
"42261000","528300","3290","75.5"
"42470000","528300","3290","75.9"
"42679000","528300","3291","76.3"
"43087000","528300","3290","77.0"
"43355000","528300","3290","77.4"
"43564000","528300","3290","77.8"
"43774000","528300","3290","78.2"
"43983000","528300","3290","78.6"
"44390000","528300","3291","79.4"
"44663000","528300","3290","79.7"
"44873000","528300","3291","80.1"
"45082000","528300","3291","80.5"
"45292000","528300","3290","80.9"
"45756000","528300","3290","81.7"
"45966000","528300","3291","82.1"
"46176000","528300","3290","82.4"
"46385000","528300","3291","82.8"
"46595000","528300","3290","83.2"
"47061000","528300","3291","84.0"
"47271000","528300","3291","84.4"
"47479000","528300","3290","84.8"
"47689000","528300","3290","85.1"
"47898000","528300","3291","85.5"
"48363000","528300","3290","86.3"
"48572000","528300","3291","86.7"
"48783000","528300","3290","87.1"
"48992000","528300","3290","87.5"
"49201000","528300","3290","87.8"
"49666000","528300","3290","88.6"
"49875000","528300","3290","89.0"
"50085000","528300","3290","89.4"
"50295000","528300","3290","89.8"
"50505000","528300","3289","90.2"
"50912000","528300","3290","90.5"
"51180000","528300","3290","91.3"
"51389000","528300","3290","91.7"
"51598000","528300","3290","91.7"
"51809000","528300","3290","92.1"
"52215000","528300","3289","92.8"
"52482000","528300","3290","93.2"
"52692000","528300","3290","93.6"
"52901000","528300","3290","94.0"
"53111000","528300","3290","94.4"
"53518000","528300","3290","95.2"
"53785000","528300","3290","95.5"
"53995000","528300","3290","95.9"
"54205000","528300","3289","96.3"
"54415000","528300","3290","96.7"
"54827000","525800","3290","97.5"
"55095000","525800","3290","97.9"
"55305000","525800","3290","98.2"
"55514000","525800","3290","98.6"
"55724000","525800","3290","99.0"
"56131000","525800","3290","99.8"
"56398000","525800","3290","100.2"
"56608000","525800","3290","100.6"
"56817000","525800","3289","100.9"
"57025000","525800","3290","101.3"
"57438000","525800","3289","102.1"
"57705000","525800","3289","102.5"
"57914000","525800","3289","102.9"
"58124000","525800","3289","103.3"
"58333000","525800","3289","103.6"
"58739000","525800","3289","104.4"
"59008000","525800","3289","104.8"
"59217000","525800","3289","105.2"
"59427000","525800","3289","105.6"
"59637000","525800","3289","106.0"
"60044000","525800","3288","106.3"
"60311000","525800","3289","107.1"
"60521000","525800","3289","107.5"
"60730000","525800","3288","107.5"
"60940000","525800","3288","107.9"
"61405000","525800","3289","108.6"
"61616000","525800","3289","109.0"
"61825000","525800","3288","109.4"
"62034000","525800","3289","109.8"
"62245000","525800","3288","110.2"
"62652000","525800","3289","111.0"
"62919000","525800","3289","111.3"
"63129000","525800","3289","111.7"
"63338000","525800","3288","112.1"
"63548000","525800","3289","112.5"
"63954000","525800","3289","113.3"
"64222000","525800","3289","113.7"
"64432000","525800","3289","114.0"
"64646000","525800","3289","114.4"
"64856000","525800","3289","114.8"
"65263000","525800","3290","115.6"
"65531000","525800","3289","116.0"
"65741000","525800","3290","116.4"
"65951000","525800","3289","116.7"
"66161000","525800","3290","117.1"
