Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3275","1.5"
"209000","0","3293","1.9"
"420000","0","3288","1.9"
"630000","0","3293","2.2"
"840000","0","3291","2.6"
"1306000","0","3289","3.0"
"1521000","0","3291","3.4"
"1731000","0","3291","3.8"
"1940000","0","3289","3.8"
"2150000","0","3290","4.1"
"2558000","0","3289","4.5"
"2825000","0","3291","4.9"
"3035000","0","3290","5.3"
"3244000","0","3289","5.3"
"3454000","0","3290","5.7"
"3920000","0","3290","6.0"
"4129000","0","3289","6.4"
"4338000","0","3290","6.8"
"4549000","0","3289","6.8"
"4757000","0","3289","7.2"
"5164000","0","3290","7.6"
"5432000","0","3289","8.0"
"5640000","0","3289","8.3"
"5850000","0","3290","8.7"
"6059000","0","3289","8.7"
"6467000","0","3290","9.5"
"6734000","0","3290","9.5"
"6944000","0","3289","9.9"
"7154000","0","3290","10.3"
"7364000","0","3290","10.3"
"7771000","0","3289","11.0"
"8039000","0","3290","11.4"
"8249000","0","3289","11.4"
"8458000","0","3290","11.8"
"8668000","0","3290","12.2"
"9068000","0","3289","12.5"
"9344000","0","3290","12.9"
"9553000","0","3290","12.9"
"9763000","0","3289","13.3"
"9973000","0","3290","13.7"
"10380000","0","3289","14.1"
"10648000","0","3290","14.5"
"10858000","0","3290","14.8"
"11068000","0","3289","14.8"
"11278000","0","3289","15.2"
"11692000","0","3289","15.6"
"11959000","0","3290","16.0"
"12169000","0","3289","16.4"
"12378000","0","3289","16.4"
"12588000","0","3289","16.7"
"12995000","0","3289","17.1"
"13262000","0","3289","17.5"
"13472000","0","3289","17.9"
"13681000","0","3289","18.3"
"13890000","0","3289","18.3"
"14296000","0","3289","18.6"
"14563000","0","3289","19.0"
"14773000","0","3289","19.4"
"14982000","0","3289","19.8"
"15191000","0","3289","19.8"
"15599000","0","3289","20.6"
"15866000","0","3289","20.6"
"16076000","0","3289","20.9"
"16286000","0","3289","21.3"
"16495000","0","3289","21.3"
"16903000","0","3289","22.1"
"17171000","0","3289","22.5"
"17380000","0","3289","22.5"
"17589000","0","3289","22.9"
"17799000","0","3289","23.2"
"18205000","0","3289","23.6"
"18472000","0","3289","24.0"
"18682000","0","3289","24.0"
"18892000","0","3289","24.4"
"19101000","0","3289","24.8"
"19509000","0","3289","25.1"
"19777000","0","3289","25.5"
"19987000","0","3289","25.9"
"20197000","0","3288","25.9"
"20407000","0","3289","26.3"
"20871000","0","3289","26.7"
"21080000","0","3288","27.1"
"21290000","0","3289","27.4"
"21505000","0","3288","27.8"
"21714000","0","3288","27.8"
"22122000","0","3289","28.2"
"22389000","0","3288","28.6"
"22599000","0","3289","29.0"
"22808000","0","3289","29.3"
"23018000","0","3288","29.3"
"23425000","0","3289","30.1"
"23693000","0","3288","30.1"
"23903000","0","3288","30.5"
"24112000","0","3289","30.9"
"24323000","0","3289","30.9"
"24729000","0","3289","31.6"
"24997000","0","3289","32.0"
"25207000","0","3289","32.0"
"25416000","0","3289","32.4"
"25627000","0","3289","32.8"
"26034000","0","3289","33.2"
"26301000","0","3289","33.5"
"26511000","0","3289","33.5"
"26721000","0","3289","33.9"
"26931000","0","3289","34.3"
"27337000","0","3289","34.7"
"27604000","0","3289","35.1"
"27814000","0","3289","35.5"
"28023000","0","3289","35.5"
"28233000","0","3289","35.8"
"28641000","0","3289","36.2"
"28908000","0","3289","36.6"
"29118000","0","3289","37.0"
"29328000","0","3289","37.0"
"29537000","0","3289","37.4"
"29944000","0","3288","37.7"
"30211000","0","3289","38.1"
"30421000","0","3289","38.5"
"30629000","0","3288","38.9"
"30839000","0","3289","38.9"
"31246000","0","3289","39.3"
"31518000","0","3288","39.6"
"31728000","0","3289","40.0"
"31938000","0","3289","40.4"
"32147000","0","3288","40.4"
"32555000","0","3289","41.2"
"32823000","0","3289","41.6"
"33032000","0","3288","41.6"
"33242000","0","3289","41.9"
"33452000","0","3289","42.3"
"33858000","0","3288","42.7"
"34126000","0","3289","43.1"
"34335000","0","3289","43.1"
"34545000","0","3289","43.5"
"34755000","0","3289","43.9"
"35162000","0","3288","44.2"
"35463000","0","3289","44.6"
"35672000","0","3289","45.0"
"35882000","0","3288","45.0"
"36092000","0","3289","45.4"
"36557000","0","3289","45.8"
"36767000","0","3289","46.1"
"36977000","0","3289","46.5"
"37186000","0","3289","46.5"
"37396000","0","3289","46.9"
"37862000","0","3289","47.7"
"38071000","0","3288","47.7"
"38280000","0","3289","48.1"
"38490000","0","3288","48.4"
"38699000","0","3288","48.4"
"39107000","369300","3289","49.2"
"39374000","369300","3288","49.2"
"39584000","369300","3289","49.6"
"39794000","369300","3288","50.0"
"40003000","369300","3288","50.0"
"40411000","369300","3289","50.7"
"40679000","369300","3288","51.1"
"40888000","369300","3288","51.1"
"41098000","369300","3289","51.5"
"41307000","369300","3288","51.9"
"41720000","369300","3288","52.3"
"41986000","369300","3288","52.6"
"42196000","369300","3288","52.6"
"42405000","369300","3289","53.0"
"42615000","369300","3288","53.4"
"43022000","369300","3288","53.8"
"43289000","369300","3288","54.2"
"43498000","369300","3288","54.5"
"43708000","369300","3288","54.5"
"43918000","369300","3288","54.9"
"44325000","369300","3288","55.3"
"44593000","369300","3289","55.7"
"44803000","369300","3288","56.1"
"45012000","369300","3288","56.1"
"45222000","369300","3289","56.4"
"45629000","369300","3288","56.8"
"45896000","369300","3289","57.2"
"46106000","369300","3289","57.6"
"46316000","369300","3288","57.6"
"46526000","369300","3289","58.0"
"46933000","369300","3289","58.3"
"47200000","369300","3289","58.7"
"47409000","369300","3289","59.1"
"47619000","369300","3289","59.5"
"47829000","369300","3289","59.5"
"48237000","369300","3289","60.3"
"48503000","369300","3289","60.3"
"48713000","369300","3289","60.6"
"48922000","369300","3289","61.0"
"49132000","369300","3289","61.0"
"49539000","369300","3289","61.8"
"49807000","369300","3289","62.2"
"50016000","369300","3289","62.2"
"50226000","369300","3289","62.6"
"50436000","369300","3289","62.9"
"50844000","369300","3289","63.3"
"51111000","369300","3289","63.7"
"51320000","369300","3289","63.7"
"51536000","369300","3289","64.1"
"51745000","369300","3289","64.5"
"52152000","369300","3289","64.8"
"52419000","369300","3289","65.2"
"52629000","369300","3289","65.6"
"52839000","369300","3289","65.6"
"53048000","369300","3289","66.0"
"53456000","369300","3289","66.4"
"53724000","369300","3289","66.8"
"53934000","369300","3290","67.1"
"54143000","369300","3289","67.1"
"54352000","369300","3289","67.5"
"54759000","369300","3290","67.9"
"55026000","369300","3289","68.3"
"55236000","369300","3290","68.7"
"55445000","369300","3289","69.1"
"55655000","369300","3290","69.1"
"56121000","369300","3290","69.8"
"56330000","369300","3289","69.8"
"56540000","369300","3289","70.2"
"56750000","369300","3290","70.6"
"56959000","369300","3289","70.6"
"57424000","369300","3290","71.3"
"57634000","369300","3289","71.3"
"57843000","369300","3289","71.7"
"58053000","369300","3290","72.1"
"58263000","369300","3289","72.1"
"58671000","369300","3289","72.9"
"58938000","369300","3289","73.3"
"59148000","369300","3289","73.3"
"59359000","369300","3290","73.6"
"59568000","369300","3289","74.0"
"59975000","369300","3289","74.4"
"60242000","369300","3289","74.8"
"60453000","369300","3289","74.8"
