Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3305","1.1"
"209000","0","3291","1.5"
"419000","0","3298","1.5"
"629000","0","3293","1.8"
"845000","0","3296","2.2"
"1252000","0","3294","2.6"
"1519000","0","3292","2.6"
"1728000","0","3294","3.0"
"1938000","0","3292","3.3"
"2148000","0","3290","3.3"
"2612000","0","3292","3.7"
"2823000","0","3291","4.1"
"3033000","0","3292","4.5"
"3241000","0","3291","4.5"
"3451000","0","3293","4.8"
"3859000","0","3292","5.2"
"4126000","0","3291","5.6"
"4336000","0","3292","5.6"
"4546000","0","3292","6.0"
"4755000","0","3291","6.0"
"5220000","0","3291","6.3"
"5431000","0","3291","6.7"
"5640000","0","3290","7.1"
"5849000","0","3291","7.1"
"6059000","0","3291","7.5"
"6523000","0","3290","7.9"
"6733000","0","3291","8.2"
"6941000","0","3291","8.2"
"7151000","0","3290","8.6"
"7360000","0","3291","8.6"
"7825000","0","3290","9.0"
"8034000","0","3290","9.4"
"8244000","0","3290","9.7"
"8453000","0","3290","9.7"
"8663000","0","3291","10.1"
"9128000","0","3290","10.5"
"9336000","0","3290","10.9"
"9545000","0","3290","10.9"
"9755000","0","3290","11.2"
"9965000","0","3290","11.2"
"10372000","0","3290","11.6"
"10639000","0","3290","12.0"
"10854000","0","3290","12.4"
"11063000","0","3290","12.4"
"11273000","0","3290","12.8"
"11681000","0","3290","13.1"
"11947000","0","3290","13.5"
"12157000","0","3290","13.5"
"12367000","0","3290","13.9"
"12575000","0","3289","13.9"
"13040000","0","3290","14.6"
"13250000","0","3290","14.6"
"13460000","0","3289","15.0"
"13670000","0","3290","15.0"
"13879000","0","3289","15.4"
"14286000","0","3289","15.8"
"14554000","0","3289","16.1"
"14762000","0","3289","16.1"
"14973000","0","3289","16.5"
"15183000","0","3290","16.9"
"15590000","0","3289","17.3"
"15856000","0","3290","17.3"
"16065000","0","3289","17.6"
"16273000","0","3289","18.0"
"16483000","0","3289","18.0"
"16891000","0","3289","18.4"
"17158000","0","3289","18.8"
"17367000","0","3289","19.2"
"17577000","0","3289","19.2"
"17787000","0","3289","19.5"
"18195000","0","3289","19.9"
"18462000","0","3289","20.3"
"18672000","0","3289","20.3"
"18882000","0","3289","20.7"
"19092000","0","3288","20.7"
"19556000","0","3289","21.4"
"19766000","0","3288","21.4"
"19975000","0","3288","21.8"
"20185000","0","3289","21.8"
"20394000","0","3288","22.2"
"20865000","0","3289","22.5"
"21075000","0","3289","22.9"
"21284000","0","3288","22.9"
"21494000","0","3289","23.3"
"21703000","0","3288","23.3"
"22110000","0","3289","23.7"
"22377000","0","3289","24.0"
"22587000","0","3289","24.4"
"22797000","0","3289","24.4"
"23007000","0","3290","24.8"
"23414000","0","3289","25.2"
"23680000","0","3289","25.6"
"23890000","0","3289","25.6"
"24100000","0","3289","25.9"
"24310000","0","3289","25.9"
"24717000","0","3289","26.3"
"24983000","0","3289","26.7"
"25193000","0","3289","27.1"
"25403000","0","3289","27.1"
"25612000","0","3290","27.4"
"26020000","0","3289","27.8"
"26286000","0","3289","28.2"
"26495000","0","3289","28.2"
"26704000","0","3289","28.6"
"26915000","0","3290","28.6"
"27323000","0","3289","29.3"
"27590000","0","3289","29.3"
"27860000","0","3290","29.7"
"28071000","0","3289","30.1"
"28280000","0","3289","30.1"
"28687000","0","3289","30.5"
"28955000","0","3289","30.8"
"29165000","0","3289","31.2"
"29375000","0","3289","31.2"
"29585000","0","3289","31.6"
"29993000","0","3289","32.0"
"30258000","0","3289","32.3"
"30468000","0","3289","32.3"
"30678000","0","3289","32.7"
"30893000","0","3289","32.7"
"31300000","0","3289","33.5"
"31567000","0","3289","33.5"
"31777000","0","3289","33.9"
"31987000","0","3289","33.9"
"32196000","0","3290","34.2"
"32603000","0","3289","34.6"
"32871000","0","3290","35.0"
"33081000","0","3290","35.0"
"33291000","0","3289","35.4"
"33499000","0","3290","35.7"
"33907000","0","3290","36.1"
"34174000","0","3289","36.1"
"34384000","0","3290","36.5"
"34594000","0","3290","36.9"
