Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3280","1.5"
"268000","0","3293","1.9"
"478000","0","3289","2.2"
"686000","0","3285","2.6"
"896000","0","3289","2.6"
"1303000","0","3288","3.4"
"1570000","0","3287","3.8"
"1780000","0","3289","3.8"
"1989000","0","3288","4.1"
"2200000","0","3290","4.5"
"2606000","0","3289","4.9"
"2873000","0","3288","5.3"
"3082000","0","3290","5.7"
"3292000","0","3289","5.7"
"3502000","0","3290","6.1"
"3909000","0","3290","6.4"
"4177000","0","3290","6.8"
"4387000","0","3290","7.2"
"4595000","0","3289","7.6"
"4805000","0","3290","7.6"
"5212000","0","3290","8.3"
"5479000","0","3289","8.3"
"5688000","0","3288","8.7"
"5898000","0","3289","9.1"
"6108000","0","3289","9.5"
"6515000","0","3289","9.9"
"6782000","0","3289","10.3"
"6992000","0","3289","10.3"
"7201000","0","3289","10.6"
"7416000","0","3289","11.0"
"7824000","0","3290","11.4"
"8092000","0","3289","11.8"
"8300000","0","3289","12.2"
"8510000","0","3289","12.2"
"8736000","0","3289","12.5"
"9134000","0","3290","12.9"
"9409000","0","3289","13.3"
"9619000","0","3290","13.7"
"9828000","0","3290","14.1"
"10037000","0","3289","14.1"
"10501000","0","3290","14.8"
"10711000","0","3289","15.2"
"10921000","0","3289","15.2"
"11130000","0","3289","15.6"
"11340000","0","3289","16.0"
"11803000","0","3289","16.3"
"12013000","0","3289","16.7"
"12223000","0","3289","17.1"
"12431000","0","3289","17.1"
"12641000","0","3289","17.5"
"13049000","0","3289","18.3"
"13316000","0","3288","18.3"
"13525000","0","3289","18.6"
"13736000","0","3289","19.0"
"13944000","0","3288","19.4"
"14409000","0","3289","19.8"
"14618000","0","3289","20.2"
"14828000","0","3289","20.2"
"15037000","0","3289","20.5"
"15246000","0","3288","20.9"
"15653000","0","3289","21.3"
"15921000","0","3289","21.7"
"16131000","0","3289","22.1"
"16341000","0","3289","22.5"
"16551000","0","3288","22.5"
"16958000","0","3289","23.2"
"17225000","0","3288","23.2"
"17440000","0","3288","23.6"
"17650000","0","3289","24.0"
"17859000","0","3288","24.4"
"18266000","0","3288","24.7"
"18534000","0","3289","25.1"
"18744000","0","3289","25.5"
"18953000","0","3288","25.5"
"19163000","0","3289","25.9"
"19570000","0","3289","26.3"
"19837000","0","3288","26.7"
"20048000","0","3289","27.0"
"20257000","0","3289","27.4"
"20467000","0","3289","27.4"
"20874000","0","3288","28.2"
"21141000","0","3289","28.2"
"21351000","0","3289","28.6"
"21560000","0","3289","28.9"
"21770000","0","3289","29.3"
"22177000","0","3288","29.7"
"22444000","0","3289","30.1"
"22654000","0","3288","30.1"
"22864000","0","3288","30.5"
"23073000","0","3289","30.9"
"23480000","0","3288","31.2"
"23749000","0","3289","31.6"
"23959000","0","3289","32.0"
"24168000","0","3289","32.4"
"24377000","0","3289","32.4"
"24842000","0","3289","33.1"
"25052000","0","3289","33.1"
"25261000","0","3289","33.5"
