Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3278","2.3"
"267000","0","3294","3.0"
"477000","0","3290","3.4"
"687000","0","3287","3.8"
"896000","0","3292","4.2"
"1303000","0","3290","4.6"
"1570000","0","3293","5.4"
"1778000","0","3291","5.7"
"1988000","0","3290","6.1"
"2197000","0","3292","6.1"
"2604000","0","3291","6.9"
"2872000","0","3292","7.7"
"3082000","0","3292","8.1"
"3291000","0","3291","8.4"
"3501000","0","3292","8.8"
"3967000","0","3292","9.6"
"4176000","0","3291","10.0"
"4386000","0","3292","10.4"
"4595000","0","3291","10.8"
"4804000","0","3290","11.1"
"5211000","0","3291","11.5"
"5479000","0","3291","12.3"
"5689000","0","3290","12.7"
"5899000","0","3291","13.1"
"6109000","0","3291","13.5"
"6516000","0","3290","14.2"
"6783000","0","3291","14.6"
"6993000","0","3291","15.0"
"7208000","0","3290","15.4"
"7417000","0","3291","15.8"
"7883000","0","3290","16.5"
"8093000","0","3290","16.9"
"8303000","0","3290","17.3"
"8512000","0","3290","17.7"
"8720000","0","3290","18.1"
"9185000","0","3290","18.9"
"9394000","0","3290","19.2"
"9604000","0","3290","19.6"
"9815000","0","3290","20.0"
"10023000","0","3290","20.4"
"10429000","0","3290","21.2"
"10697000","0","3290","21.6"
"10907000","0","3289","21.9"
"11115000","0","3290","22.3"
"11325000","0","3290","22.7"
"11791000","0","3290","23.5"
"12000000","0","3290","23.9"
"12209000","0","3289","24.3"
"12419000","0","3290","24.6"
"12628000","0","3290","25.0"
"13036000","0","3290","25.8"
"13304000","0","3290","26.2"
"13514000","0","3290","26.6"
"13724000","0","3290","27.0"
"13932000","0","3289","27.3"
"14340000","0","3290","28.1"
"14607000","0","3289","28.5"
"14817000","0","3290","28.9"
"15027000","0","3290","29.3"
"15238000","0","3290","29.7"
"15645000","0","3290","30.4"
"15912000","0","3289","30.8"
"16121000","0","3290","31.2"
"16331000","0","3290","31.6"
"16541000","0","3290","32.0"
"16948000","0","3290","32.7"
"17220000","0","3290","33.1"
"17429000","0","3289","33.5"
"17640000","0","3289","33.9"
"17849000","0","3290","34.3"
"18257000","0","3289","35.1"
"18525000","0","3289","35.4"
"18733000","0","3290","35.8"
"18943000","0","3289","36.2"
"19153000","0","3290","36.6"
"19561000","0","3290","37.4"
"19828000","0","3289","37.8"
"20038000","0","3290","38.1"
"20247000","0","3290","38.5"
"20457000","0","3289","38.9"
"20869000","0","3290","39.7"
"21137000","0","3290","40.1"
"21347000","0","3290","40.5"
"21558000","0","3290","40.8"
"21766000","0","3290","41.2"
"22230000","0","3290","42.0"
"22440000","0","3290","42.4"
"22650000","0","3290","42.8"
"22860000","0","3290","43.2"
"23071000","0","3290","43.5"
"23478000","0","3290","44.3"
"23745000","0","3290","44.7"
"23955000","0","3290","45.1"
"24164000","0","3290","45.5"
"24374000","0","3290","45.9"
"24781000","0","3290","46.6"
"25049000","0","3290","47.0"
"25259000","0","3290","47.4"
"25469000","0","3290","47.8"
"25679000","0","3290","48.2"
"26084000","542100","3289","48.9"
"26352000","542100","3290","49.3"
"26563000","542100","3289","49.7"
"26772000","542100","3290","50.1"
"26982000","542100","3290","50.5"
"27453000","542100","3290","51.3"
"27662000","542100","3290","51.6"
"27871000","542100","3290","52.0"
"28082000","542100","3290","52.4"
"28292000","542100","3290","52.8"
"28757000","542100","3289","53.6"
"28966000","542100","3290","54.0"
"29177000","542100","3289","54.3"
"29386000","542100","3290","54.7"
"29595000","542100","3289","55.1"
"30059000","542100","3290","55.9"
"30269000","542100","3290","56.3"
"30479000","542100","3290","56.7"
"30688000","542100","3290","57.0"
"30898000","542100","3290","57.4"
"31305000","542100","3289","58.2"
"31573000","542100","3290","58.6"
"31783000","542100","3290","59.0"
"31992000","542100","3290","59.4"
"32202000","542100","3289","59.7"
"32609000","542100","3290","60.5"
"32877000","542100","3290","60.9"
"33086000","542100","3290","61.3"
"33296000","542100","3290","61.7"
"33506000","542100","3290","62.1"
"33913000","542100","3290","62.8"
"34181000","542100","3290","63.2"
"34390000","542100","3290","63.6"
"34599000","542100","3290","64.0"
"34809000","542100","3290","64.4"
"35216000","542100","3290","65.1"
"35483000","542100","3290","65.5"
"35693000","542100","3290","65.9"
"35903000","542100","3290","66.3"
"36112000","542100","3290","66.7"
"36512000","542100","3290","67.5"
"36787000","542100","3290","67.8"
"36998000","542100","3290","68.2"
"37213000","542100","3290","68.6"
"37423000","542100","3290","69.0"
"37887000","542100","3290","69.8"
"38096000","542100","3290","70.2"
"38306000","542100","3290","70.5"
"38516000","542100","3290","70.9"
"38726000","542100","3290","71.3"
"39132000","542100","3290","72.1"
"39399000","542100","3290","72.5"
"39610000","542100","3291","72.9"
"39819000","542100","3290","73.2"
"40030000","542100","3291","73.6"
"40495000","542100","3290","74.8"
"40704000","542100","3290","75.2"
"40914000","542100","3290","75.6"
"41124000","542100","3291","75.6"
"41334000","542100","3290","75.9"
"41799000","542100","3290","77.1"
"42009000","542100","3290","77.5"
"42218000","542100","3290","77.9"
"42427000","542100","3290","78.3"
"42637000","542100","3290","78.3"
"43043000","542100","3290","79.0"
"43311000","542100","3291","79.8"
"43520000","542100","3290","80.2"
"43730000","542100","3290","80.6"
"43940000","542100","3291","81.0"
"44348000","542100","3291","81.3"
"44615000","542100","3291","82.1"
"44825000","542100","3291","82.5"
"45035000","542100","3290","82.9"
"45244000","542100","3291","83.3"
"45652000","542100","3291","83.7"
"45919000","542100","3291","84.4"
"46128000","542100","3291","84.8"
"46338000","542100","3291","85.2"
"46548000","542100","3290","85.6"
"46955000","542100","3291","86.0"
"47227000","542100","3291","86.7"
"47437000","542100","3291","87.1"
"47646000","542100","3291","87.5"
"47856000","542100","3291","87.9"
"48320000","542100","3290","88.7"
"48530000","542100","3291","89.1"
"48740000","542100","3291","89.4"
"48950000","542100","3291","89.8"
"49159000","542100","3291","90.2"
"49566000","542100","3291","90.6"
"49834000","542100","3290","91.4"
"50043000","542100","3291","91.8"
"50253000","542100","3290","92.1"
"50462000","542100","3290","92.5"
"50869000","542100","3290","92.9"
"51136000","542100","3291","93.7"
"51345000","542100","3290","94.1"
"51555000","542100","3291","94.5"
"51765000","542100","3290","94.8"
"52172000","542100","3290","95.6"
"52439000","542100","3290","96.0"
"52650000","542100","3290","96.4"
"52859000","542100","3290","96.8"
"53069000","542100","3290","97.2"
"53535000","540800","3290","97.9"
"53743000","540800","3290","98.3"
"53953000","540800","3290","98.7"
"54163000","540800","3290","99.1"
"54372000","540800","3290","99.5"
"54779000","540800","3291","100.2"
"55047000","540800","3290","100.6"
"55257000","540800","3290","101.0"
"55466000","540800","3291","101.4"
"55677000","540800","3290","101.8"
"56083000","540800","3290","102.6"
"56350000","540800","3290","102.9"
"56560000","540800","3290","103.3"
"56769000","540800","3290","103.7"
"56979000","540800","3290","104.1"
"57450000","540800","3290","104.9"
"57658000","540800","3289","105.3"
"57867000","540800","3289","105.6"
"58077000","540800","3290","106.0"
"58287000","540800","3290","106.4"
"58752000","540800","3289","107.2"
"58960000","540800","3289","107.6"
"59170000","540800","3289","108.0"
"59380000","540800","3289","108.3"
"59588000","540800","3289","108.7"
"60052000","540800","3289","109.5"
"60262000","540800","3289","109.9"
"60472000","540800","3289","110.3"
"60682000","540800","3289","110.7"
"60890000","540800","3289","111.0"
"61355000","540800","3289","111.8"
"61565000","540800","3289","112.2"
"61773000","540800","3289","112.6"
"61981000","540800","3289","113.0"
"62191000","540800","3289","113.4"
"62603000","540800","3288","114.1"
"62870000","540800","3289","114.5"
"63080000","540800","3288","114.9"
"63290000","540800","3289","115.3"
"63501000","540800","3289","115.7"
"63908000","540800","3289","116.4"
"64175000","540800","3289","116.8"
"64386000","540800","3289","117.2"
"64596000","540800","3289","117.6"
"64806000","540800","3289","118.0"
"65213000","540800","3289","118.8"
"65481000","540800","3289","119.1"
"65691000","540800","3289","119.5"
"65900000","540800","3289","119.9"
"66110000","540800","3289","120.3"
"66518000","540800","3289","121.1"
"66783000","540800","3289","121.5"
"66993000","540800","3289","121.8"
"67208000","540800","3289","122.2"
"67419000","540800","3290","122.6"
"67826000","540800","3289","123.4"
