Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3277","1.5"
"267000","0","3291","1.9"
"477000","0","3288","2.2"
"686000","0","3285","2.2"
"895000","0","3289","2.6"
"1302000","0","3288","3.4"
"1570000","0","3286","3.4"
"1779000","0","3288","3.8"
"1988000","0","3287","4.1"
"2197000","0","3287","4.1"
"2604000","0","3289","4.9"
"2871000","0","3288","5.3"
"3080000","0","3287","5.3"
"3290000","0","3288","5.7"
"3500000","0","3288","6.1"
"3907000","0","3287","6.4"
"4175000","0","3288","6.8"
"4384000","0","3287","7.2"
"4593000","0","3286","7.2"
"4803000","0","3287","7.6"
"5210000","0","3287","8.0"
"5477000","0","3288","8.3"
"5688000","0","3288","8.7"
"5897000","0","3287","9.1"
"6106000","0","3288","9.1"
"6514000","0","3288","9.5"
"6781000","0","3287","9.9"
"6997000","0","3288","10.2"
"7207000","0","3288","10.6"
"7416000","0","3287","10.6"
"7824000","0","3288","11.4"
"8091000","0","3288","11.8"
"8300000","0","3287","11.8"
"8510000","0","3288","12.1"
"8720000","0","3287","12.5"
"9127000","0","3287","12.9"
"9394000","0","3288","13.3"
"9605000","0","3287","13.7"
"9815000","0","3287","13.7"
"10023000","0","3288","14.1"
"10431000","0","3287","14.4"
"10699000","0","3288","14.8"
"10908000","0","3288","15.2"
"11118000","0","3287","15.2"
"11327000","0","3288","15.6"
"11735000","0","3288","16.0"
"12002000","0","3288","16.3"
"12212000","0","3288","16.7"
"12420000","0","3288","17.1"
"12630000","0","3288","17.1"
"13037000","0","3288","17.9"
"13304000","0","3287","17.9"
"13513000","0","3287","18.2"
"13722000","0","3288","18.6"
"13932000","0","3287","19.0"
"14339000","0","3287","19.4"
"14606000","0","3288","19.8"
"14817000","0","3287","19.8"
"15026000","0","3288","20.2"
"15236000","0","3288","20.5"
"15643000","0","3287","20.9"
"15911000","0","3288","21.3"
"16121000","0","3288","21.7"
"16330000","0","3287","21.7"
"16540000","0","3288","22.1"
