Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3282","1.5"
"267000","0","3279","1.8"
"477000","0","3287","1.8"
"687000","0","3285","2.2"
"896000","0","3282","2.2"
"1303000","0","3287","3.0"
"1571000","0","3286","3.0"
"1781000","0","3289","3.4"
"1990000","0","3288","3.4"
"2200000","0","3287","3.7"
"2671000","0","3288","4.1"
"2880000","0","3288","4.5"
"3089000","0","3287","4.5"
"3299000","0","3289","4.9"
"3509000","0","3288","5.2"
"3974000","0","3288","5.6"
"4184000","0","3288","5.6"
"4394000","0","3288","6.0"
"4604000","0","3289","6.4"
"4813000","0","3289","6.4"
"5279000","0","3289","6.7"
"5488000","0","3289","7.1"
"5698000","0","3290","7.1"
"5908000","0","3290","7.5"
"6117000","0","3289","7.9"
"6524000","0","3290","8.3"
"6792000","0","3289","8.3"
"7001000","0","3290","8.6"
"7212000","0","3290","9.0"
"7422000","0","3289","9.0"
"7887000","0","3290","9.4"
"8097000","0","3289","9.8"
"8307000","0","3290","10.1"
"8516000","0","3290","10.1"
"8726000","0","3290","10.5"
"9133000","0","3290","10.9"
"9400000","0","3290","10.9"
"9610000","0","3290","11.3"
"9820000","0","3290","11.6"
"10029000","0","3290","11.6"
"10436000","0","3290","12.0"
"10703000","0","3290","12.4"
"10913000","0","3290","12.8"
"11124000","0","3290","12.8"
"11332000","0","3290","13.1"
"11739000","0","3290","13.5"
"12007000","0","3290","13.9"
"12216000","0","3289","13.9"
"12432000","0","3290","14.3"
"12642000","0","3290","14.3"
"13048000","0","3290","14.6"
"13314000","0","3290","15.0"
"13524000","0","3290","15.4"
"13734000","0","3290","15.4"
"13944000","0","3291","15.8"
"14351000","0","3290","16.2"
"14619000","0","3291","16.5"
"14829000","0","3290","16.5"
"15037000","0","3290","16.9"
"15247000","0","3291","17.3"
"15654000","0","3290","17.7"
"15921000","0","3290","17.7"
"16131000","0","3291","18.0"
"16340000","0","3290","18.4"
"16550000","0","3290","18.4"
"16957000","0","3291","18.8"
"17225000","0","3290","19.2"
"17434000","0","3291","19.6"
"17643000","0","3290","19.6"
"17853000","0","3291","19.9"
"18260000","0","3290","20.3"
"18526000","0","3290","20.7"
"18736000","0","3290","20.7"
"18946000","0","3290","21.1"
"19156000","0","3290","21.1"
"19562000","0","3290","21.4"
"19830000","0","3290","21.8"
"20040000","0","3290","22.2"
"20250000","0","3290","22.2"
"20460000","0","3290","22.6"
"20868000","0","3290","22.9"
"21133000","0","3290","23.3"
"21343000","0","3290","23.3"
"21552000","0","3290","23.7"
"21763000","0","3290","23.7"
"22171000","0","3290","24.5"
"22443000","0","3289","24.5"
"22653000","0","3289","24.8"
"22862000","0","3289","24.8"
"23071000","0","3290","25.2"
"23479000","0","3290","25.6"
"23745000","0","3289","26.0"
"23954000","0","3289","26.0"
"24164000","0","3289","26.3"
"24372000","0","3289","26.3"
"24838000","0","3289","27.1"
"25047000","0","3289","27.1"
"25257000","0","3290","27.5"
"25467000","0","3289","27.5"
"25677000","0","3290","27.8"
"26077000","0","3289","28.2"
"26352000","0","3289","28.6"
"26562000","0","3289","28.6"
"26772000","0","3289","29.0"
"26980000","0","3289","29.0"
"27388000","0","3289","29.7"
"27655000","0","3289","29.7"
"27865000","0","3289","30.1"
"28075000","0","3289","30.1"
"28285000","0","3289","30.5"
"28692000","0","3289","30.8"
"28959000","0","3289","31.2"
"29169000","0","3290","31.2"
"29383000","0","3290","31.6"
"29592000","0","3290","32.0"
"29999000","0","3290","32.4"
"30267000","0","3290","32.7"
"30477000","0","3289","32.7"
"30687000","0","3290","33.1"
"30897000","0","3289","33.1"
"31304000","0","3290","33.5"
"31572000","0","3290","33.9"
"31782000","0","3290","34.2"
"31991000","0","3290","34.2"
"32201000","0","3291","34.6"
"32615000","0","3290","35.0"
"32882000","0","3290","35.4"
"33091000","0","3290","35.4"
"33302000","0","3290","35.8"
"33510000","0","3289","36.1"
"33917000","0","3290","36.5"
"34184000","0","3290","36.5"
"34393000","0","3290","36.9"
"34603000","0","3290","37.3"
"34812000","0","3289","37.3"
"35218000","0","3290","37.6"
"35486000","0","3290","38.0"
"35694000","0","3289","38.4"
"35903000","0","3290","38.4"
"36113000","0","3289","38.8"
"36519000","0","3289","39.1"
"36787000","0","3290","39.1"
"36996000","0","3290","39.5"
"37204000","0","3290","39.9"
"37414000","0","3290","39.9"
"37822000","0","3290","40.3"
"38089000","0","3290","40.7"
"38299000","0","3290","41.0"
"38509000","0","3289","41.0"
"38719000","0","3289","41.4"
"39126000","0","3289","41.8"
"39393000","0","3289","42.2"
"39602000","0","3290","42.2"
"39812000","0","3290","42.5"
