Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3305","1.1"
"209000","0","3293","1.5"
"418000","0","3286","1.5"
"627000","0","3292","1.8"
"837000","0","3290","1.8"
"1300000","0","3287","2.2"
"1510000","0","3290","2.6"
"1720000","0","3289","2.6"
"1929000","0","3287","3.0"
"2138000","0","3289","3.0"
"2545000","0","3288","3.3"
"2813000","0","3290","3.7"
"3021000","0","3289","3.7"
"3231000","0","3288","4.1"
"3441000","0","3290","4.1"
"3905000","0","3289","4.5"
"4115000","0","3290","4.8"
"4325000","0","3290","4.8"
"4534000","0","3289","4.8"
"4742000","0","3289","5.2"
"5207000","0","3289","5.6"
"5417000","0","3289","5.6"
"5627000","0","3289","6.0"
"5837000","0","3289","6.0"
"6046000","0","3289","6.3"
"6509000","0","3288","6.7"
"6719000","0","3289","6.7"
"6930000","0","3288","7.1"
"7138000","0","3288","7.1"
"7348000","0","3288","7.5"
"7813000","0","3288","7.8"
"8022000","0","3288","7.8"
"8231000","0","3288","8.2"
"8441000","0","3288","8.2"
"8650000","0","3288","8.6"
"9058000","0","3288","9.0"
"9325000","0","3288","9.0"
"9534000","0","3288","9.3"
"9744000","0","3288","9.3"
"9960000","0","3289","9.7"
"10425000","0","3288","10.1"
"10634000","0","3288","10.1"
"10844000","0","3288","10.5"
"11053000","0","3288","10.5"
"11263000","0","3289","10.8"
"11670000","0","3288","11.2"
"11937000","0","3288","11.2"
"12147000","0","3288","11.6"
"12357000","0","3288","11.6"
"12567000","0","3289","12.0"
"12974000","0","3288","12.3"
"13241000","0","3288","12.3"
"13450000","0","3289","12.7"
"13660000","0","3288","12.7"
"13870000","0","3289","13.1"
"14335000","0","3289","13.5"
"14544000","0","3288","13.5"
"14753000","0","3289","13.8"
"14963000","0","3289","13.8"
"15172000","0","3289","14.2"
"15579000","0","3289","14.6"
"15846000","0","3288","14.6"
"16056000","0","3288","15.0"
"16266000","0","3288","15.0"
"16476000","0","3288","15.4"
"16883000","0","3289","15.7"
"17150000","0","3288","15.7"
"17360000","0","3288","16.1"
"17570000","0","3288","16.1"
"17780000","0","3289","16.5"
"18245000","0","3288","16.9"
"18454000","0","3288","16.9"
"18663000","0","3289","17.2"
"18873000","0","3288","17.2"
"19083000","0","3289","17.6"
"19490000","0","3289","18.0"
"19757000","0","3288","18.0"
"19972000","0","3289","18.4"
"20182000","0","3289","18.4"
"20392000","0","3289","18.7"
"20799000","0","3289","19.1"
"21067000","0","3289","19.1"
"21276000","0","3289","19.5"
"21485000","0","3289","19.5"
"21696000","0","3289","19.9"
"22159000","0","3289","20.2"
"22369000","0","3289","20.2"
"22579000","0","3289","20.6"
"22788000","0","3289","20.6"
"22998000","0","3290","21.0"
"23406000","0","3290","21.4"
"23674000","0","3290","21.4"
"23882000","0","3290","21.7"
"24092000","0","3290","21.7"
"24301000","0","3289","22.1"
"24765000","0","3290","22.5"
"24975000","0","3290","22.5"
"25185000","0","3290","22.9"
"25395000","0","3290","22.9"
"25605000","0","3290","23.2"
"26012000","0","3290","23.6"
"26280000","0","3290","23.6"
"26490000","0","3290","24.0"
"26699000","0","3290","24.0"
"26909000","0","3290","24.4"
"27317000","0","3290","24.7"
"27585000","0","3290","24.7"
"27795000","0","3290","25.1"
"28004000","0","3290","25.1"
"28214000","0","3290","25.5"
"28621000","0","3290","25.9"
"28889000","0","3290","25.9"
"29099000","0","3290","26.2"
"29308000","0","3291","26.2"
"29518000","0","3291","26.6"
"29930000","0","3291","27.0"
"30197000","0","3291","27.0"
"30406000","0","3291","27.4"
"30616000","0","3291","27.4"
"30824000","0","3290","27.7"
"31290000","0","3291","28.1"
"31499000","0","3291","28.1"
"31709000","0","3291","28.5"
"31919000","0","3291","28.5"
"32128000","0","3290","28.9"
"32535000","0","3291","28.9"
"32801000","0","3291","29.2"
"33011000","0","3290","29.6"
"33220000","0","3291","29.6"
"33430000","0","3290","30.0"
"33895000","0","3290","30.4"
"34105000","0","3291","30.4"
"34315000","0","3291","30.8"
"34524000","0","3291","30.8"
"34734000","0","3290","31.1"
"35199000","0","3290","31.5"
"35408000","0","3290","31.5"
"35618000","0","3290","31.9"
"35828000","0","3291","31.9"
"36037000","0","3290","31.9"
"36503000","0","3291","32.6"
"36712000","0","3291","32.6"
"36920000","0","3290","33.0"
"37129000","0","3291","33.0"
"37339000","0","3291","33.0"
"37746000","0","3290","33.4"
"38013000","0","3291","33.7"
"38222000","0","3290","33.7"
"38431000","0","3290","34.1"
"38641000","0","3290","34.1"
"39048000","0","3290","34.5"
"39315000","0","3291","34.9"
"39526000","0","3290","34.9"
"39736000","0","3290","35.3"
"39951000","0","3290","35.3"
"40358000","0","3290","35.6"
"40630000","0","3290","36.0"
"40841000","0","3290","36.0"
"41051000","0","3290","36.4"
"41261000","0","3290","36.4"
"41668000","0","3290","36.7"
"41935000","0","3290","37.1"
"42145000","0","3290","37.1"
"42355000","0","3290","37.5"
"42564000","0","3290","37.5"
"42971000","0","3290","37.9"
"43238000","0","3290","38.3"
"43448000","0","3290","38.3"
"43658000","0","3290","38.6"
"43867000","0","3290","38.6"
"44275000","0","3290","39.0"
"44543000","0","3290","39.4"
"44753000","0","3290","39.4"
"44963000","0","3290","39.8"
"45173000","0","3291","39.8"
"45572000","0","3290","40.1"
"45847000","0","3291","40.5"
"46057000","0","3291","40.5"
"46266000","0","3291","40.9"
"46476000","0","3290","40.9"
"46941000","0","3291","41.6"
"47151000","0","3290","42.0"
"47361000","0","3290","42.0"
"47570000","0","3291","42.4"
"47779000","0","3290","42.8"
"48243000","0","3290","43.2"
