Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3280","1.5"
"210000","0","3296","1.8"
"419000","0","3289","1.8"
"628000","0","3294","2.2"
"838000","0","3292","2.6"
"1302000","0","3288","3.0"
"1512000","0","3290","3.0"
"1722000","0","3289","3.4"
"1932000","0","3291","3.7"
"2141000","0","3290","3.7"
"2549000","0","3292","4.1"
"2822000","0","3291","4.5"
"3030000","0","3289","4.9"
"3240000","0","3291","4.9"
"3450000","0","3290","5.2"
"3914000","0","3289","5.6"
"4124000","0","3290","6.0"
"4334000","0","3290","6.0"
"4545000","0","3291","6.4"
"4753000","0","3290","6.4"
"5160000","0","3291","6.7"
"5428000","0","3291","7.1"
"5638000","0","3291","7.5"
"5848000","0","3291","7.5"
"6056000","0","3290","7.9"
"6463000","0","3291","8.3"
"6732000","0","3291","8.6"
"6941000","0","3290","8.6"
"7151000","0","3291","9.0"
"7361000","0","3290","9.0"
"7768000","0","3291","9.4"
"8035000","0","3290","9.8"
"8243000","0","3290","10.1"
"8453000","0","3290","10.1"
"8663000","0","3290","10.5"
"9070000","0","3290","10.9"
"9337000","0","3290","10.9"
"9546000","0","3290","11.3"
"9756000","0","3291","11.6"
"9966000","0","3290","11.6"
"10431000","0","3291","12.0"
"10641000","0","3291","12.4"
"10850000","0","3290","12.8"
"11059000","0","3291","12.8"
"11270000","0","3290","13.1"
"11669000","0","3290","13.5"
"11886000","0","3290","13.5"
"12152000","0","3290","13.9"
"12362000","0","3291","14.3"
"12572000","0","3290","14.3"
"12984000","0","3291","14.6"
"13251000","0","3290","15.0"
"13461000","0","3290","15.4"
"13670000","0","3290","15.4"
"13881000","0","3290","15.8"
"14288000","0","3291","16.2"
"14556000","0","3290","16.5"
"14766000","0","3290","16.5"
"14975000","0","3290","16.9"
"15185000","0","3290","17.3"
"15592000","0","3290","17.7"
"15859000","0","3290","17.7"
"16069000","0","3290","18.0"
"16278000","0","3290","18.4"
"16488000","0","3290","18.4"
"16896000","0","3291","18.8"
"17164000","0","3290","19.2"
"17373000","0","3290","19.6"
"17582000","0","3290","19.6"
"17793000","0","3290","19.9"
"18200000","0","3290","20.3"
"18467000","0","3290","20.7"
"18677000","0","3289","20.7"
"18886000","0","3290","21.1"
"19097000","0","3290","21.1"
"19503000","0","3290","21.4"
"19771000","0","3290","21.8"
"19981000","0","3290","22.2"
"20191000","0","3290","22.2"
"20401000","0","3290","22.6"
"20808000","0","3290","22.9"
"21075000","0","3290","23.3"
"21285000","0","3290","23.3"
"21494000","0","3290","23.7"
"21704000","0","3290","23.7"
"22117000","0","3291","24.5"
"22385000","0","3290","24.5"
"22594000","0","3290","24.8"
"22810000","0","3290","24.8"
"23019000","0","3290","25.2"
"23484000","0","3290","25.6"
"23692000","0","3289","26.0"
"23901000","0","3290","26.0"
"24111000","0","3290","26.3"
"24319000","0","3289","26.3"
"24726000","0","3290","26.7"
"24994000","0","3289","27.1"
"25205000","0","3290","27.5"
"25414000","0","3289","27.5"
"25623000","0","3290","27.8"
"26031000","0","3289","28.2"
"26297000","0","3289","28.6"
"26506000","0","3290","28.6"
"26717000","0","3289","29.0"
"26925000","0","3289","29.0"
"27332000","0","3289","29.7"
"27600000","0","3289","29.7"
"27809000","0","3290","30.1"
"28020000","0","3289","30.1"
"28229000","0","3290","30.5"
"28636000","0","3290","30.8"
"28904000","0","3290","31.2"
"29114000","0","3290","31.2"
"29324000","0","3290","31.6"
"29533000","0","3290","32.0"
"29941000","0","3289","32.4"
"30208000","0","3290","32.4"
"30418000","0","3290","32.7"
"30627000","0","3290","33.1"
"30838000","0","3290","33.1"
"31245000","0","3290","33.5"
"31512000","0","3290","33.9"
"31722000","0","3291","34.2"
"31932000","0","3290","34.2"
"32140000","0","3290","34.6"
"32547000","0","3290","35.0"
"32821000","0","3290","35.4"
"33030000","0","3289","35.4"
"33240000","0","3290","35.8"
"33450000","0","3289","35.8"
"33857000","0","3290","36.5"
"34125000","0","3290","36.5"
"34335000","0","3290","36.9"
"34545000","0","3290","36.9"
"34754000","0","3290","37.3"
"35162000","0","3290","37.6"
"35428000","0","3290","38.0"
"35637000","0","3290","38.0"
"35848000","0","3290","38.4"
"36056000","0","3289","38.8"
"36463000","0","3290","39.1"
"36731000","0","3290","39.1"
"36940000","0","3290","39.5"
"37150000","0","3290","39.5"
"37359000","0","3290","39.9"
"37767000","0","3290","40.3"
"38034000","0","3290","40.7"
"38243000","0","3290","40.7"
"38453000","0","3290","41.0"
"38662000","0","3290","41.4"
"39070000","0","3290","41.8"
"39337000","0","3290","41.8"
"39547000","0","3290","42.2"
"39757000","0","3290","42.5"
"39966000","0","3291","42.5"
"40374000","0","3291","42.9"
"40642000","0","3291","43.3"
"40852000","0","3290","43.3"
"41061000","0","3290","43.7"
"41271000","0","3290","44.0"
"41678000","0","3291","44.4"
"41945000","0","3290","44.4"
"42155000","0","3290","44.8"
"42365000","0","3290","45.2"
"42575000","0","3290","45.2"
"42988000","0","3290","45.5"
"43256000","0","3290","45.9"
"43464000","0","3290","45.9"
"43674000","0","3290","46.3"
"43884000","0","3290","46.7"
"44292000","0","3290","47.1"
"44559000","0","3290","47.1"
"44769000","0","3289","47.4"
"44977000","0","3289","47.8"
"45187000","0","3290","47.8"
"45595000","0","3289","48.2"
"45862000","311900","3290","48.6"
"46072000","311900","3290","48.9"
"46282000","311900","3289","48.9"
"46492000","311900","3290","49.3"
"46899000","311900","3290","49.7"
"47166000","311900","3289","50.1"
"47375000","311900","3289","50.1"
"47585000","311900","3289","50.4"
"47794000","311900","3289","50.4"
"48259000","311900","3289","51.2"
"48470000","311900","3289","51.2"
"48680000","311900","3289","51.6"
"48890000","311900","3289","51.6"
"49099000","311900","3290","52.0"
"49564000","311900","3289","52.3"
"49773000","311900","3290","52.7"
"49983000","311900","3289","52.7"
"50192000","311900","3290","53.1"
"50403000","311900","3290","53.5"
"50809000","311900","3290","53.8"
"51077000","311900","3290","53.8"
"51287000","311900","3290","54.2"
"51496000","311900","3289","54.6"
"51705000","311900","3290","54.6"
"52111000","311900","3290","55.0"
"52378000","311900","3290","55.3"
"52589000","311900","3290","55.7"
"52804000","311900","3289","55.7"
"53013000","311900","3290","56.1"
"53478000","311900","3289","56.5"
"53687000","311900","3289","56.5"
"53897000","311900","3289","56.8"
"54106000","311900","3289","57.2"
"54316000","311900","3288","57.2"
"54723000","311900","3289","57.6"
"54990000","311900","3289","58.0"
"55200000","311900","3289","58.4"
"55409000","311900","3289","58.4"
"55617000","311900","3289","58.7"
"56024000","311900","3289","59.1"
"56292000","311900","3289","59.1"
"56501000","311900","3289","59.5"
"56710000","311900","3289","59.9"
"56920000","311900","3289","59.9"
"57328000","311900","3290","60.2"
"57596000","311900","3289","60.6"
"57805000","311900","3290","61.0"
"58014000","311900","3290","61.0"
"58223000","311900","3289","61.4"
"58688000","311900","3290","61.7"
"58898000","311900","3289","61.7"
"59107000","311900","3289","62.1"
"59317000","311900","3290","62.5"
"59527000","311900","3289","62.5"
"59935000","311900","3290","62.9"
"60202000","311900","3290","63.2"
"60412000","311900","3290","63.6"
"60622000","311900","3290","63.6"
"60831000","311900","3291","64.0"
"61240000","311900","3290","64.4"
"61507000","311900","3290","64.8"
"61717000","311900","3290","64.8"
"61926000","311900","3290","65.1"
"62135000","311900","3290","65.1"
"62542000","311900","3290","65.5"
"62815000","311900","3290","65.9"
"63025000","311900","3290","66.3"
"63235000","311900","3290","66.3"
"63445000","311900","3290","66.6"
"63857000","311900","3290","67.0"
"64125000","311900","3290","67.4"
"64336000","311900","3290","67.4"
"64546000","311900","3291","67.8"
"64755000","311900","3291","67.8"
"65162000","311900","3291","68.5"
"65430000","311900","3290","68.5"
"65639000","311900","3290","68.9"
"65849000","311900","3291","69.3"
"66059000","311900","3291","69.3"
"66464000","311900","3290","69.7"
"66732000","311900","3291","70.0"
"66941000","311900","3291","70.4"
"67151000","311900","3290","70.4"
"67361000","311900","3291","70.8"
"67768000","311900","3291","71.2"
"68035000","311900","3291","71.5"
"68245000","311900","3291","71.5"
"68455000","311900","3291","71.9"
"68664000","311900","3291","71.9"
"69072000","311900","3291","72.3"
"69340000","311900","3290","72.7"
"69550000","311900","3291","73.1"
"69760000","311900","3290","73.1"
"69969000","311900","3291","73.4"
"70377000","311900","3290","73.8"
"70643000","311900","3290","74.2"
"70853000","311900","3290","74.2"
"71062000","311900","3290","74.6"
"71270000","311900","3290","74.6"
"71677000","311900","3290","74.9"
"71945000","311900","3290","75.3"
"72155000","311900","3291","75.7"
"72365000","311900","3290","75.7"
"72573000","311900","3290","76.1"
"72986000","311900","3290","76.4"
"73253000","311900","3290","76.8"
"73463000","311900","3289","76.8"
"73673000","311900","3290","77.2"
"73883000","311900","3289","77.2"
"74291000","311900","3290","77.6"
"74558000","311900","3290","77.9"
"74768000","311900","3290","78.3"
"74979000","311900","3290","78.3"
"75189000","311900","3291","78.7"
"75596000","311900","3290","79.1"
"75863000","311900","3290","79.5"
"76072000","311900","3290","79.5"
"76282000","311900","3290","79.8"
"76492000","311900","3289","79.8"
"76899000","311900","3290","80.2"
"77167000","311900","3289","80.6"
"77377000","311900","3290","81.0"
"77586000","311900","3289","81.0"
"77797000","311900","3290","81.3"
"78204000","311900","3290","81.7"
"78470000","311900","3289","82.1"
