Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3287","0.7"
"210000","0","3282","1.1"
"419000","0","3289","1.1"
"628000","0","3287","1.4"
"838000","0","3284","1.4"
"1302000","0","3288","1.8"
"1511000","0","3286","1.8"
"1720000","0","3289","2.2"
"1930000","0","3288","2.2"
"2140000","0","3290","2.6"
"2548000","0","3290","2.6"
"2815000","0","3288","2.9"
"3025000","0","3290","2.9"
"3235000","0","3289","3.3"
"3444000","0","3288","3.3"
"3852000","0","3289","3.7"
"4119000","0","3288","4.0"
"4328000","0","3288","4.0"
"4538000","0","3289","4.0"
"4747000","0","3288","4.4"
"5216000","0","3288","4.8"
"5426000","0","3288","4.8"
"5636000","0","3288","4.8"
"5845000","0","3288","5.1"
"6055000","0","3288","5.1"
"6463000","0","3288","5.5"
"6730000","0","3289","5.9"
"6939000","0","3289","5.9"
"7148000","0","3288","5.9"
"7357000","0","3289","6.3"
"7823000","0","3288","6.6"
"8032000","0","3288","6.6"
"8241000","0","3289","7.0"
"8450000","0","3288","7.0"
"8658000","0","3288","7.0"
"9122000","0","3288","7.4"
"9333000","0","3288","7.8"
"9542000","0","3288","7.8"
"9752000","0","3288","8.1"
"9962000","0","3288","8.1"
"10361000","0","3288","8.5"
"10636000","0","3288","8.5"
"10846000","0","3288","8.9"
"11055000","0","3288","8.9"
"11265000","0","3288","8.9"
"11729000","0","3288","9.2"
"11938000","0","3288","9.6"
"12149000","0","3288","9.6"
"12357000","0","3288","10.0"
"12566000","0","3288","10.0"
"13032000","0","3288","10.3"
"13262000","0","3289","10.3"
"13472000","0","3288","10.7"
"13680000","0","3288","10.7"
"13890000","0","3289","11.1"
"14354000","0","3288","11.5"
"14564000","0","3288","11.5"
"14774000","0","3288","11.5"
"14990000","0","3288","11.8"
"15199000","0","3288","11.8"
"15606000","0","3288","12.2"
"15872000","0","3288","12.6"
"16082000","0","3287","12.6"
"16292000","0","3288","12.6"
"16501000","0","3288","12.9"
"16966000","0","3288","13.3"
"17176000","0","3288","13.3"
"17386000","0","3289","13.3"
"17595000","0","3289","13.7"
"17805000","0","3288","13.7"
"18212000","0","3289","14.1"
"18478000","0","3288","14.4"
"18688000","0","3288","14.4"
"18897000","0","3289","14.4"
"19108000","0","3288","14.8"
"19572000","0","3288","15.2"
"19782000","0","3288","15.2"
"19991000","0","3288","15.6"
"20200000","0","3288","15.6"
"20410000","0","3288","15.6"
"20875000","0","3288","15.9"
"21085000","0","3289","16.3"
"21294000","0","3288","16.3"
"21502000","0","3288","16.7"
"21712000","0","3289","16.7"
"22177000","0","3288","17.0"
"22386000","0","3288","17.0"
"22595000","0","3289","17.4"
"22806000","0","3288","17.4"
"23014000","0","3288","17.4"
"23421000","0","3289","17.8"
"23689000","0","3288","18.1"
"23898000","0","3288","18.1"
"24107000","0","3289","18.5"
"24317000","0","3288","18.5"
"24725000","0","3289","18.9"
"24998000","0","3288","18.9"
"25207000","0","3289","19.3"
"25417000","0","3289","19.3"
"25625000","0","3288","19.6"
"26091000","0","3289","19.6"
"26301000","0","3288","20.0"
"26509000","0","3288","20.0"
"26719000","0","3289","20.4"
"26929000","0","3288","20.4"
"27337000","0","3289","20.7"
"27604000","0","3289","20.7"
"27814000","0","3289","21.1"
"28023000","0","3289","21.1"
"28233000","0","3290","21.5"
"28640000","0","3289","21.5"
"28907000","0","3290","21.9"
"29117000","0","3290","21.9"
"29326000","0","3290","22.2"
"29537000","0","3290","22.2"
"30002000","0","3290","22.6"
"30212000","0","3290","23.0"
"30422000","0","3289","23.0"
"30631000","0","3289","23.0"
"30841000","0","3290","23.3"
"31305000","0","3289","23.7"
"31515000","0","3290","23.7"
"31725000","0","3290","23.7"
"31934000","0","3289","24.1"
"32144000","0","3290","24.1"
"32552000","0","3290","24.5"
"32820000","0","3290","24.8"
"33029000","0","3290","24.8"
"33238000","0","3290","24.8"
"33447000","0","3290","25.2"
"33913000","0","3290","25.6"
"34122000","0","3289","25.6"
"34331000","0","3290","26.0"
"34541000","0","3290","26.0"
"34750000","0","3289","26.0"
"35220000","0","3289","26.3"
"35430000","0","3290","26.7"
"35638000","0","3289","26.7"
"35848000","0","3289","27.1"
"36057000","0","3289","27.1"
"36463000","0","3289","27.4"
"36730000","0","3289","27.4"
"36941000","0","3289","27.8"
"37150000","0","3289","27.8"
"37360000","0","3289","27.8"
"37767000","0","3289","28.2"
"38036000","0","3289","28.5"
"38245000","0","3289","28.5"
"38454000","0","3289","28.9"
"38663000","0","3289","28.9"
"39129000","0","3289","29.3"
"39339000","0","3289","29.3"
"39548000","0","3290","29.7"
"39758000","0","3290","29.7"
"39968000","0","3290","30.0"
"40375000","0","3290","30.0"
"40643000","0","3290","30.4"
"40853000","0","3290","30.4"
"41063000","0","3290","30.8"
"41273000","0","3290","30.8"
"41680000","0","3290","31.1"
"41949000","0","3290","31.1"
"42158000","0","3290","31.5"
"42367000","0","3290","31.5"
"42577000","0","3290","31.9"
"42985000","0","3290","31.9"
"43252000","0","3290","32.3"
"43462000","0","3290","32.3"
"43672000","0","3290","32.6"
"43882000","0","3290","32.6"
"44347000","0","3291","33.0"
"44558000","0","3291","33.4"
"44767000","0","3290","33.4"
"44982000","0","3291","33.4"
"45192000","0","3290","33.7"
"45655000","0","3290","34.1"
"45865000","0","3290","34.1"
"46075000","0","3290","34.5"
"46285000","0","3290","34.5"
"46494000","0","3290","34.5"
"46960000","0","3290","34.8"
"47170000","0","3291","35.2"
"47380000","0","3291","35.2"
"47590000","0","3290","35.2"
"47799000","0","3291","35.6"
"48264000","0","3291","36.0"
"48473000","0","3290","36.0"
"48682000","0","3291","36.3"
"48893000","0","3291","36.3"
"49102000","0","3291","36.3"
"49510000","0","3291","36.7"
"49776000","0","3291","37.1"
"49987000","0","3291","37.1"
"50197000","0","3292","37.5"
"50406000","0","3292","37.5"
"50812000","0","3291","37.8"
"51079000","0","3291","37.8"
"51288000","0","3291","38.2"
"51496000","0","3291","38.2"
"51706000","0","3291","38.6"
"52114000","0","3291","38.6"
"52381000","0","3291","38.9"
"52591000","0","3291","38.9"
"52801000","0","3291","39.3"
"53010000","0","3291","39.3"
"53418000","0","3291","39.7"
"53686000","0","3291","39.7"
"53895000","0","3291","40.1"
"54105000","0","3290","40.1"
"54315000","0","3291","40.4"
"54722000","0","3290","40.4"
"54995000","0","3291","40.8"
"55210000","0","3290","40.8"
"55419000","0","3291","41.2"
"55630000","0","3290","41.2"
"56094000","0","3291","41.5"
"56304000","0","3290","41.9"
"56514000","0","3290","41.9"
"56724000","0","3290","41.9"
"56934000","0","3290","42.3"
"57398000","0","3290","42.7"
"57607000","0","3290","42.7"
"57816000","0","3290","42.7"
"58026000","0","3290","43.0"
"58236000","0","3290","43.0"
"58643000","0","3290","43.4"
"58911000","0","3290","43.8"
"59121000","0","3290","43.8"
"59330000","0","3290","43.8"
"59540000","0","3290","44.1"
"59947000","0","3290","44.5"
"60215000","0","3289","44.5"
"60423000","0","3290","44.9"
"60634000","0","3290","44.9"
"60842000","0","3289","44.9"
"61250000","0","3290","45.2"
"61517000","0","3290","45.6"
"61726000","0","3289","45.6"
"61936000","0","3290","45.6"
"62145000","0","3290","46.0"
"62552000","0","3290","46.4"
"62819000","0","3289","46.4"
"63028000","0","3290","46.7"
"63238000","0","3289","46.7"
"63447000","0","3289","46.7"
"63855000","0","3289","47.1"
"64122000","220000","3289","47.5"
"64332000","220000","3289","47.5"
"64542000","220000","3290","47.9"
"64752000","220000","3289","47.9"
"65165000","220000","3289","48.2"
"65432000","220000","3289","48.2"
"65643000","220000","3289","48.6"
"65851000","220000","3289","48.6"
"66060000","220000","3289","49.0"
"66467000","220000","3289","49.0"
"66734000","220000","3289","49.3"
"66944000","220000","3289","49.3"
"67154000","220000","3289","49.7"
"67365000","220000","3289","49.7"
"67772000","220000","3289","50.1"
"68039000","220000","3289","50.1"
"68249000","220000","3289","50.5"
"68457000","220000","3288","50.5"
"68666000","220000","3289","50.8"
"69074000","220000","3288","50.8"
"69341000","220000","3289","51.2"
"69551000","220000","3289","51.2"
"69760000","220000","3289","51.6"
"69970000","220000","3289","51.6"
"70378000","220000","3289","51.9"
"70646000","220000","3289","52.3"
"70855000","220000","3289","52.3"
"71065000","220000","3289","52.3"
"71275000","220000","3289","52.7"
"71739000","220000","3289","53.1"
"71949000","220000","3289","53.1"
"72159000","220000","3289","53.1"
"72368000","220000","3289","53.4"
"72579000","220000","3289","53.4"
"73044000","220000","3289","53.8"
"73254000","220000","3289","54.2"
"73463000","220000","3289","54.2"
"73673000","220000","3289","54.2"
"73883000","220000","3289","54.5"
"74290000","220000","3289","54.9"
"74557000","220000","3289","54.9"
"74766000","220000","3290","55.3"
"74981000","220000","3289","55.3"
"75191000","220000","3289","55.3"
"75598000","220000","3289","55.6"
"75865000","220000","3290","56.0"
"76075000","220000","3290","56.0"
"76284000","220000","3289","56.0"
"76493000","220000","3290","56.4"
"76901000","220000","3290","56.8"
"77168000","220000","3289","56.8"
"77378000","220000","3290","57.1"
"77588000","220000","3289","57.1"
"77798000","220000","3289","57.1"
"78205000","220000","3290","57.5"
"78473000","220000","3290","57.9"
"78683000","220000","3290","57.9"
"78891000","220000","3290","58.3"
"79101000","220000","3290","58.3"
"79508000","220000","3290","58.6"
"79775000","220000","3289","58.6"
"79985000","220000","3290","59.0"
"80195000","220000","3289","59.0"
"80405000","220000","3290","59.4"
"80812000","220000","3290","59.4"
"81080000","220000","3290","59.7"
"81289000","220000","3290","59.7"
"81499000","220000","3291","60.1"
"81710000","220000","3290","60.1"
"82173000","220000","3290","60.5"
"82383000","220000","3290","60.5"
"82592000","220000","3290","60.9"
"82800000","220000","3289","60.9"
"83010000","220000","3290","61.2"
"83410000","220000","3289","61.2"
"83686000","220000","3290","61.6"
"83896000","220000","3290","61.6"
"84106000","220000","3290","62.0"
"84316000","220000","3290","62.0"
"84779000","220000","3290","62.3"
"84994000","220000","3290","62.3"
"85203000","220000","3290","62.7"
"85412000","220000","3289","62.7"
"85622000","220000","3290","63.1"
"86029000","220000","3290","63.5"
"86297000","220000","3289","63.5"
"86505000","220000","3290","63.5"
"86715000","220000","3289","63.8"
"86923000","220000","3289","63.8"
"87330000","220000","3290","64.2"
"87597000","220000","3289","64.6"
"87806000","220000","3289","64.6"
"88016000","220000","3290","64.6"
"88226000","220000","3289","64.9"
"88692000","220000","3290","65.3"
"88901000","220000","3289","65.3"
"89111000","220000","3290","65.7"
"89321000","220000","3290","65.7"
"89529000","220000","3289","65.7"
"89993000","220000","3290","66.0"
"90203000","220000","3290","66.4"
"90413000","220000","3289","66.4"
"90622000","220000","3289","66.4"
"90831000","220000","3289","66.8"
"91296000","220000","3290","67.2"
"91506000","220000","3289","67.2"
"91716000","220000","3290","67.5"
"91926000","220000","3290","67.5"
"92136000","220000","3290","67.5"
"92543000","220000","3289","67.9"
"92810000","220000","3290","68.3"
"93020000","220000","3290","68.3"
"93230000","220000","3290","68.7"
"93439000","220000","3290","68.7"
"93846000","220000","3290","69.0"
"94113000","220000","3289","69.0"
"94322000","220000","3289","69.4"
"94532000","220000","3289","69.4"
"94741000","220000","3289","69.4"
"95153000","220000","3289","69.7"
"95420000","220000","3289","70.1"
"95630000","220000","3289","70.1"
"95840000","220000","3290","70.5"
"96049000","220000","3290","70.5"
"96457000","220000","3290","70.9"
"96725000","220000","3289","70.9"
"96935000","220000","3290","71.2"
"97150000","220000","3290","71.2"
"97360000","220000","3290","71.6"
