Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3310","2.3"
"209000","0","3296","2.6"
"418000","0","3289","3.0"
"628000","0","3294","3.4"
"838000","0","3292","3.8"
"1246000","0","3290","4.2"
"1512000","0","3288","5.0"
"1721000","0","3290","5.3"
"1931000","0","3289","5.7"
"2140000","0","3288","6.1"
"2548000","0","3290","6.5"
"2816000","0","3289","7.3"
"3025000","0","3288","7.7"
"3235000","0","3290","8.0"
"3445000","0","3289","8.4"
"3909000","0","3288","9.2"
"4119000","0","3290","9.6"
"4329000","0","3289","10.0"
"4538000","0","3289","10.4"
"4748000","0","3290","10.4"
"5213000","0","3290","11.5"
"5422000","0","3289","11.9"
"5631000","0","3290","12.3"
"5841000","0","3290","12.7"
"6051000","0","3289","12.7"
"6517000","0","3290","13.8"
"6725000","0","3290","14.2"
"6935000","0","3290","14.6"
"7145000","0","3290","14.6"
"7354000","0","3290","15.0"
"7761000","0","3290","15.8"
"8028000","0","3290","16.5"
"8238000","0","3290","16.9"
"8458000","0","3290","17.3"
"8668000","0","3290","17.7"
"9074000","0","3290","18.1"
"9342000","0","3291","18.8"
"9552000","0","3290","19.2"
"9761000","0","3290","19.6"
"9971000","0","3291","19.6"
"10378000","0","3290","20.4"
"10646000","0","3291","21.2"
"10856000","0","3291","21.5"
"11066000","0","3290","21.9"
"11275000","0","3291","22.3"
"11681000","0","3291","22.7"
"11949000","0","3290","23.5"
"12159000","0","3291","23.9"
"12369000","0","3291","24.2"
"12579000","0","3290","24.2"
"13043000","0","3290","25.4"
"13253000","0","3291","25.8"
"13463000","0","3291","26.2"
"13672000","0","3291","26.6"
"13881000","0","3291","26.6"
"14288000","0","3291","27.3"
"14556000","0","3291","28.1"
"14766000","0","3291","28.5"
"14976000","0","3291","28.5"
"15184000","0","3291","28.9"
"15583000","0","3291","29.6"
"15800000","0","3291","30.0"
"16067000","0","3291","30.4"
"16275000","0","3291","30.8"
"16485000","0","3290","31.2"
"16892000","0","3291","32.0"
"17161000","0","3291","32.3"
"17370000","0","3290","32.7"
"17581000","0","3291","33.1"
"17791000","0","3290","33.5"
"18199000","0","3291","34.3"
"18471000","0","3291","34.6"
"18680000","0","3290","35.0"
"18891000","0","3291","35.4"
"19100000","0","3291","35.8"
"19508000","0","3291","36.6"
"19775000","0","3291","37.0"
"19984000","0","3291","37.3"
"20193000","0","3290","37.7"
"20402000","0","3290","38.1"
"20810000","0","3290","38.9"
"21077000","0","3290","39.3"
"21287000","0","3290","39.7"
"21496000","0","3290","40.0"
"21706000","0","3290","40.4"
"22113000","0","3290","41.2"
"22380000","0","3290","41.6"
"22589000","0","3290","42.0"
"22799000","0","3290","42.4"
"23009000","0","3290","42.7"
"23416000","0","3290","43.5"
"23683000","0","3290","44.3"
"23893000","0","3290","44.7"
"24103000","0","3290","44.7"
"24313000","0","3290","45.1"
"24719000","0","3290","45.8"
"24987000","0","3290","46.6"
"25197000","0","3290","47.0"
"25407000","0","3290","47.0"
"25616000","0","3290","47.4"
"26023000","0","3290","48.2"
"26290000","532400","3290","48.5"
"26499000","532400","3290","48.9"
"26709000","532400","3290","49.3"
"26919000","532400","3289","49.7"
"27326000","532400","3290","50.5"
"27595000","532400","3290","50.8"
"27805000","532400","3289","51.2"
"28014000","532400","3290","51.6"
"28225000","532400","3290","52.0"
"28638000","532400","3290","52.8"
"28905000","532400","3290","53.2"
"29114000","532400","3290","53.5"
"29324000","532400","3289","53.9"
"29533000","532400","3290","54.3"
"29998000","532400","3290","55.1"
"30206000","532400","3289","55.5"
"30416000","532400","3290","55.9"
"30625000","532400","3289","56.2"
"30835000","532400","3290","56.6"
"31299000","532400","3289","57.4"
"31509000","532400","3290","57.8"
"31719000","532400","3290","58.2"
"31928000","532400","3289","58.6"
"32137000","532400","3289","58.9"
"32544000","532400","3289","59.7"
"32812000","532400","3289","60.1"
"33022000","532400","3290","60.5"
"33231000","532400","3290","60.9"
"33441000","532400","3290","61.3"
"33848000","532400","3290","62.0"
"34116000","532400","3290","62.4"
"34325000","532400","3289","62.8"
"34535000","532400","3290","63.2"
"34745000","532400","3290","63.6"
"35152000","532400","3290","64.3"
"35420000","532400","3289","64.7"
"35630000","532400","3290","65.1"
"35839000","532400","3290","65.5"
"36049000","532400","3290","65.9"
"36515000","532400","3290","66.7"
"36725000","532400","3290","67.0"
"36934000","532400","3290","67.4"
"37144000","532400","3290","67.8"
"37353000","532400","3290","68.2"
"37761000","532400","3290","69.0"
"38029000","532400","3290","69.4"
"38238000","532400","3290","69.7"
"38453000","532400","3290","70.1"
"38663000","532400","3291","70.5"
"39070000","532400","3290","71.3"
"39338000","532400","3290","71.7"
"39547000","532400","3290","72.1"
"39756000","532400","3290","72.4"
"39966000","532400","3290","72.8"
"40374000","532400","3291","73.6"
"40642000","532400","3290","74.0"
"40852000","532400","3291","74.4"
"41062000","532400","3291","74.8"
"41272000","532400","3291","75.1"
"41679000","532400","3291","75.5"
"41947000","532400","3291","75.9"
"42158000","532400","3291","76.3"
"42367000","532400","3291","76.3"
"42575000","532400","3291","76.7"
"42983000","532400","3291","77.0"
"43250000","532400","3291","77.4"
"43460000","532400","3291","77.8"
"43669000","532400","3291","78.2"
"43878000","532400","3291","78.2"
"44284000","532400","3291","79.0"
"44552000","532400","3291","79.0"
"44762000","532400","3291","79.3"
"44971000","532400","3291","79.7"
"45179000","532400","3290","79.7"
"45587000","532400","3290","80.5"
"45854000","532400","3291","80.5"
"46064000","532400","3290","80.9"
"46273000","532400","3291","81.2"
"46483000","532400","3290","81.2"
"46890000","532400","3290","82.0"
"47157000","532400","3290","82.4"
"47367000","532400","3290","82.4"
"47577000","532400","3290","82.8"
"47787000","532400","3290","83.1"
"48195000","532400","3290","83.5"
"48468000","532400","3290","83.9"
"48677000","532400","3290","84.3"
"48887000","532400","3290","84.3"
"49096000","532400","3290","84.7"
"49503000","532400","3290","85.0"
"49770000","532400","3290","85.4"
"49980000","532400","3290","85.8"
"50189000","532400","3289","85.8"
"50403000","532400","3290","86.2"
"50810000","532400","3289","86.6"
"51078000","532400","3290","86.9"
