Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3284","1.1"
"267000","0","3278","1.1"
"477000","0","3288","1.4"
"687000","0","3286","1.4"
"903000","0","3291","1.8"
"1368000","0","3290","2.2"
"1578000","0","3287","2.2"
"1787000","0","3289","2.2"
"1997000","0","3288","2.6"
"2207000","0","3290","2.6"
"2614000","0","3289","2.9"
"2882000","0","3290","3.3"
"3092000","0","3289","3.3"
"3302000","0","3291","3.7"
"3512000","0","3290","3.7"
"3919000","0","3291","4.1"
"4187000","0","3291","4.4"
"4397000","0","3290","4.4"
"4605000","0","3290","4.4"
"4815000","0","3290","4.8"
"5281000","0","3290","5.2"
"5491000","0","3290","5.2"
"5700000","0","3291","5.6"
"5910000","0","3290","5.6"
"6120000","0","3291","5.9"
"6528000","0","3291","6.3"
"6795000","0","3290","6.3"
"7004000","0","3291","6.7"
"7214000","0","3290","6.7"
"7424000","0","3291","7.1"
"7831000","0","3290","7.1"
"8099000","0","3291","7.4"
"8309000","0","3291","7.4"
"8519000","0","3291","7.8"
"8728000","0","3291","7.8"
"9193000","0","3291","8.2"
"9403000","0","3291","8.5"
"9613000","0","3290","8.5"
"9822000","0","3291","8.9"
"10032000","0","3290","8.9"
"10497000","0","3291","9.3"
"10707000","0","3291","9.7"
"10923000","0","3290","9.7"
"11133000","0","3291","9.7"
"11342000","0","3291","10.0"
"11749000","0","3290","10.4"
"12015000","0","3291","10.4"
"12226000","0","3290","10.8"
"12434000","0","3290","10.8"
"12644000","0","3290","11.2"
"13051000","0","3290","11.5"
"13319000","0","3290","11.5"
"13528000","0","3290","11.9"
"13738000","0","3290","11.9"
"13948000","0","3290","12.3"
"14355000","0","3290","12.3"
"14623000","0","3291","12.7"
"14833000","0","3290","12.7"
"15042000","0","3291","13.0"
"15253000","0","3290","13.0"
"15660000","0","3291","13.4"
"15928000","0","3290","13.8"
"16137000","0","3290","13.8"
"16346000","0","3290","14.2"
"16556000","0","3290","14.2"
"17021000","0","3290","14.5"
"17231000","0","3290","14.9"
"17441000","0","3290","14.9"
"17650000","0","3291","14.9"
"17860000","0","3291","15.3"
"18267000","0","3290","15.6"
"18534000","0","3291","15.6"
"18745000","0","3290","16.0"
"18953000","0","3290","16.0"
"19163000","0","3290","16.4"
"19562000","0","3290","16.8"
"19837000","0","3290","16.8"
"20046000","0","3290","17.1"
"20256000","0","3290","17.1"
"20465000","0","3289","17.5"
"20936000","0","3290","17.9"
"21145000","0","3289","17.9"
"21355000","0","3289","17.9"
"21564000","0","3289","18.3"
"21774000","0","3289","18.3"
"22181000","0","3289","18.6"
"22449000","0","3289","19.0"
"22658000","0","3289","19.0"
"22867000","0","3289","19.4"
"23078000","0","3289","19.4"
"23483000","0","3289","19.7"
"23750000","0","3289","20.1"
"23961000","0","3289","20.1"
"24169000","0","3288","20.1"
"24379000","0","3289","20.5"
"24787000","0","3289","20.9"
"25054000","0","3288","20.9"
"25264000","0","3289","21.2"
"25474000","0","3289","21.2"
"25684000","0","3289","21.6"
"26091000","0","3289","22.0"
"26358000","0","3289","22.0"
"26568000","0","3289","22.4"
"26777000","0","3289","22.4"
"26987000","0","3288","22.4"
"27394000","0","3289","22.7"
"27661000","0","3288","23.1"
"27871000","0","3289","23.1"
"28081000","0","3288","23.5"
"28289000","0","3288","23.5"
"28696000","0","3288","23.9"
"28963000","0","3288","24.2"
"29172000","0","3288","24.2"
"29382000","0","3288","24.6"
"29592000","0","3288","24.6"
"30056000","0","3287","25.0"
"30265000","0","3288","25.4"
"30475000","0","3288","25.4"
"30683000","0","3287","25.4"
"30898000","0","3288","25.7"
"31364000","0","3288","26.1"
"31572000","0","3287","26.1"
"31782000","0","3288","26.5"
"31997000","0","3288","26.5"
"32207000","0","3288","26.9"
"32614000","0","3288","27.2"
"32881000","0","3288","27.2"
"33090000","0","3288","27.6"
"33300000","0","3288","27.6"
"33508000","0","3288","27.6"
"33972000","0","3287","28.0"
"34181000","0","3288","28.3"
"34390000","0","3288","28.3"
"34600000","0","3288","28.7"
"34810000","0","3288","28.7"
"35218000","0","3288","29.1"
"35485000","0","3288","29.5"
"35695000","0","3288","29.5"
"35905000","0","3288","29.8"
"36114000","0","3288","29.8"
"36521000","0","3288","30.2"
"36788000","0","3288","30.6"
"36998000","0","3288","30.6"
"37206000","0","3288","30.6"
"37416000","0","3288","31.0"
"37823000","0","3288","31.3"
"38090000","0","3288","31.3"
"38299000","0","3288","31.7"
"38509000","0","3288","31.7"
"38717000","0","3287","32.1"
"39124000","0","3288","32.1"
"39392000","0","3288","32.5"
"39600000","0","3288","32.5"
"39810000","0","3288","32.8"
"40020000","0","3288","32.8"
"40427000","0","3288","33.2"
"40694000","0","3288","33.6"
"40908000","0","3288","33.6"
"41118000","0","3288","34.0"
"41328000","0","3288","34.0"
"41734000","0","3288","34.3"
"42002000","0","3288","34.7"
"42211000","0","3289","34.7"
"42420000","0","3288","35.1"
"42629000","0","3288","35.1"
"43036000","0","3289","35.4"
"43303000","0","3288","35.4"
"43513000","0","3288","35.8"
"43723000","0","3288","35.8"
"43933000","0","3288","36.2"
"44340000","0","3288","36.6"
"44607000","0","3289","36.6"
"44817000","0","3289","36.9"
"45027000","0","3289","36.9"
"45235000","0","3288","37.3"
"45642000","0","3288","37.3"
"45909000","0","3288","37.7"
"46119000","0","3288","37.7"
"46328000","0","3288","38.1"
"46538000","0","3289","38.1"
"46945000","0","3289","38.4"
"47213000","0","3289","38.8"
"47423000","0","3289","38.8"
"47632000","0","3289","39.2"
"47842000","0","3289","39.2"
"48249000","0","3289","39.6"
"48517000","0","3289","39.9"
"48726000","0","3289","39.9"
"48935000","0","3289","40.3"
"49145000","0","3289","40.3"
"49609000","0","3289","40.7"
"49819000","0","3289","40.7"
"50029000","0","3289","41.0"
"50239000","0","3290","41.0"
"50449000","0","3289","41.4"
"50920000","0","3289","41.8"
"51129000","0","3289","41.8"
"51340000","0","3289","42.2"
"51549000","0","3289","42.2"
"51758000","0","3289","42.6"
"52165000","0","3289","42.6"
"52433000","0","3289","42.9"
"52642000","0","3289","42.9"
"52850000","0","3289","43.3"
"53059000","0","3289","43.3"
"53466000","0","3289","43.7"
"53734000","0","3289","44.0"
"53944000","0","3289","44.0"
"54153000","0","3289","44.4"
"54363000","0","3289","44.4"
"54769000","0","3289","44.8"
"54978000","0","3289","45.2"
"55245000","0","3289","45.2"
"55455000","0","3289","45.5"
"55665000","0","3289","45.5"
"56071000","0","3289","45.9"
"56338000","0","3289","45.9"
"56548000","0","3289","46.3"
"56758000","0","3289","46.3"
"56968000","0","3289","46.7"
"57374000","0","3289","47.0"
"57583000","0","3289","47.0"
"57851000","0","3289","47.4"
"58061000","0","3288","47.4"
"58270000","243300","3289","47.8"
"58678000","243300","3289","47.8"
"58945000","243300","3289","48.1"
"59155000","243300","3289","48.1"
"59364000","243300","3289","48.5"
"59574000","243300","3289","48.5"
"59981000","243300","3289","48.9"
"60249000","243300","3289","49.3"
"60458000","243300","3289","49.3"
"60668000","243300","3289","49.6"
"60884000","243300","3289","49.6"
"61291000","243300","3289","50.0"
"61559000","243300","3289","50.4"
"61768000","243300","3289","50.4"
"61977000","243300","3289","50.8"
"62187000","243300","3289","50.8"
"62585000","243300","3289","51.1"
"62860000","243300","3289","51.1"
"63071000","243300","3289","51.5"
"63281000","243300","3289","51.5"
"63490000","243300","3289","51.9"
"63897000","243300","3289","52.3"
"64164000","243300","3289","52.3"
"64374000","243300","3289","52.6"
"64584000","243300","3289","52.6"
"64793000","243300","3289","53.0"
"65199000","243300","3289","53.0"
"65467000","243300","3289","53.4"
"65677000","243300","3289","53.8"
"65887000","243300","3289","53.8"
"66097000","243300","3289","53.8"
"66504000","243300","3289","54.1"
"66772000","243300","3289","54.5"
"66982000","243300","3289","54.5"
"67192000","243300","3289","54.9"
"67401000","243300","3290","54.9"
"67809000","243300","3290","55.2"
"68077000","243300","3290","55.6"
"68286000","243300","3290","55.6"
"68495000","243300","3290","56.0"
"68705000","243300","3290","56.0"
"69169000","243300","3290","56.4"
"69378000","243300","3290","56.4"
"69588000","243300","3290","56.7"
"69798000","243300","3290","56.7"
"70009000","243300","3290","57.1"
"70414000","243300","3290","57.5"
"70681000","243300","3290","57.5"
"70897000","243300","3289","57.9"
"71105000","243300","3289","57.9"
"71314000","243300","3289","58.2"
"71722000","243300","3290","58.2"
"71990000","243300","3289","58.6"
"72200000","243300","3290","58.6"
"72409000","243300","3289","59.0"
"72618000","243300","3289","59.0"
"73083000","243300","3289","59.3"
"73293000","243300","3289","59.7"
"73503000","243300","3290","59.7"
"73713000","243300","3289","60.1"
"73927000","243300","3289","60.1"
"74335000","243300","3289","60.5"
"74602000","243300","3289","60.9"
"74811000","243300","3289","60.9"
"75021000","243300","3289","60.9"
"75231000","243300","3289","61.2"
"75638000","243300","3290","61.6"
"75906000","243300","3289","61.6"
"76116000","243300","3290","62.0"
"76326000","243300","3289","62.0"
"76536000","243300","3290","62.4"
"77001000","243300","3290","62.7"
"77210000","243300","3289","62.7"
"77419000","243300","3290","63.1"
"77629000","243300","3290","63.1"
"77837000","243300","3289","63.5"
"78303000","243300","3290","63.5"
"78513000","243300","3289","63.8"
"78722000","243300","3289","63.8"
"78931000","243300","3290","64.2"
"79141000","243300","3289","64.2"
"79606000","243300","3290","64.6"
"79815000","243300","3289","65.0"
"80024000","243300","3289","65.0"
"80233000","243300","3289","65.3"
"80443000","243300","3289","65.3"
"80856000","243300","3289","65.7"
"81124000","243300","3289","66.1"
"81334000","243300","3289","66.1"
"81544000","243300","3289","66.5"
"81754000","243300","3289","66.5"
"82218000","243300","3289","66.8"
"82427000","243300","3289","66.8"
"82637000","243300","3289","67.2"
"82845000","243300","3288","67.2"
"83055000","243300","3289","67.6"
"83463000","243300","3289","68.0"
"83730000","243300","3288","68.0"
"83940000","243300","3289","68.3"
"84150000","243300","3289","68.3"
"84360000","243300","3289","68.7"
"84824000","243300","3289","69.1"
"85033000","243300","3289","69.1"
"85243000","243300","3289","69.1"
"85452000","243300","3289","69.4"
"85660000","243300","3289","69.4"
"86067000","243300","3289","69.8"
"86335000","243300","3289","70.2"
"86545000","243300","3289","70.2"
"86756000","243300","3289","70.6"
"86965000","243300","3289","70.6"
"87371000","243300","3289","70.9"
"87638000","243300","3289","71.3"
"87848000","243300","3289","71.3"
"88057000","243300","3289","71.7"
"88265000","243300","3289","71.7"
"88671000","243300","3288","72.1"
"88937000","243300","3289","72.1"
"89148000","243300","3288","72.4"
"89356000","243300","3288","72.4"
"89565000","243300","3288","72.8"
"90031000","243300","3288","73.2"
"90240000","243300","3288","73.2"
"90450000","243300","3288","73.6"
"90660000","243300","3288","73.6"
"90875000","243300","3289","73.6"
"91282000","243300","3288","73.9"
"91550000","243300","3289","74.3"
"91760000","243300","3289","74.3"
"91970000","243300","3289","74.7"
"92180000","243300","3289","74.7"
"92587000","243300","3289","75.0"
"92854000","243300","3289","75.4"
"93064000","243300","3289","75.4"
"93273000","243300","3289","75.8"
"93484000","243300","3289","75.8"
"93892000","243300","3289","76.2"
"94159000","243300","3289","76.6"
"94369000","243300","3289","76.6"
"94578000","243300","3289","76.6"
"94789000","243300","3289","76.9"
"95254000","243300","3290","77.3"
"95464000","243300","3289","77.3"
"95673000","243300","3290","77.7"
"95883000","243300","3290","77.7"
"96093000","243300","3290","78.0"
"96559000","243300","3290","78.4"
"96769000","243300","3290","78.4"
"96978000","243300","3290","78.8"
"97188000","243300","3290","78.8"
"97396000","243300","3289","78.8"
"97803000","243300","3290","79.2"
"98070000","243300","3290","79.5"
"98280000","243300","3290","79.5"
"98490000","243300","3290","79.9"
"98698000","243300","3290","79.9"
"99106000","243300","3290","80.3"
"99373000","243300","3290","80.7"
"99583000","243300","3289","80.7"
"99792000","243300","3290","81.0"
"100002000","243300","3290","81.0"
"100409000","243300","3290","81.4"
"100677000","243300","3290","81.8"
"100893000","243300","3290","81.8"
"101102000","243300","3290","81.8"
"101312000","243300","3290","82.2"
"101718000","243300","3290","82.5"
