Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3277","0.7"
"267000","0","3292","1.1"
"476000","0","3290","1.1"
"685000","0","3286","1.4"
"893000","0","3289","1.4"
"1301000","0","3287","1.8"
"1568000","0","3290","2.2"
"1777000","0","3288","2.2"
"1987000","0","3290","2.6"
"2196000","0","3288","2.6"
"2602000","0","3290","2.9"
"2869000","0","3289","3.3"
"3076000","0","3288","3.3"
"3285000","0","3289","3.7"
"3494000","0","3288","3.7"
"3893000","0","3289","4.1"
"4168000","0","3289","4.4"
"4376000","0","3288","4.4"
"4585000","0","3289","4.8"
"4794000","0","3288","4.8"
"5201000","0","3289","5.2"
"5468000","0","3289","5.6"
"5676000","0","3288","5.6"
"5885000","0","3289","6.0"
"6094000","0","3288","6.0"
"6500000","0","3288","6.3"
"6766000","0","3289","6.7"
"6975000","0","3288","6.7"
"7190000","0","3289","7.1"
"7400000","0","3289","7.1"
"7805000","0","3288","7.4"
"8071000","0","3289","7.8"
"8281000","0","3289","7.8"
"8488000","0","3288","8.2"
"8697000","0","3289","8.2"
"9105000","0","3289","8.6"
"9372000","0","3289","9.0"
"9581000","0","3289","9.0"
"9789000","0","3289","9.3"
"9998000","0","3289","9.3"
"10406000","0","3289","9.7"
"10672000","0","3289","10.1"
"10881000","0","3289","10.1"
"11091000","0","3289","10.5"
"11300000","0","3289","10.5"
"11706000","0","3289","10.8"
"11973000","0","3289","11.2"
"12182000","0","3289","11.2"
"12390000","0","3289","11.2"
"12600000","0","3289","11.6"
"13007000","0","3289","12.0"
"13274000","0","3289","12.0"
"13483000","0","3289","12.3"
"13692000","0","3289","12.3"
"13901000","0","3289","12.7"
"14309000","0","3290","13.1"
"14575000","0","3289","13.1"
"14784000","0","3289","13.5"
"14993000","0","3289","13.5"
"15202000","0","3289","13.8"
"15608000","0","3289","14.2"
"15873000","0","3289","14.2"
"16083000","0","3289","14.6"
"16292000","0","3289","14.6"
"16501000","0","3289","15.0"
"16901000","0","3289","15.3"
"17181000","0","3289","15.3"
"17390000","0","3289","15.7"
"17599000","0","3289","15.7"
"17809000","0","3289","16.1"
"18274000","0","3289","16.5"
"18483000","0","3289","16.5"
"18692000","0","3289","16.8"
"18901000","0","3289","16.8"
"19110000","0","3289","17.2"
"19576000","0","3290","17.6"
"19785000","0","3289","17.6"
"19994000","0","3289","18.0"
"20204000","0","3289","18.0"
"20413000","0","3289","18.3"
"20820000","0","3289","18.7"
"21086000","0","3289","18.7"
"21295000","0","3289","19.1"
"21505000","0","3289","19.1"
"21715000","0","3289","19.5"
"22120000","0","3290","19.8"
"22387000","0","3289","19.8"
"22597000","0","3289","20.2"
"22806000","0","3289","20.2"
"23014000","0","3289","20.6"
"23420000","0","3289","20.6"
"23687000","0","3290","21.0"
"23896000","0","3289","21.3"
"24104000","0","3289","21.3"
"24314000","0","3290","21.3"
"24720000","0","3289","21.7"
"24988000","0","3289","22.1"
"25197000","0","3290","22.1"
"25406000","0","3289","22.5"
"25615000","0","3289","22.5"
"26022000","0","3289","22.8"
"26289000","0","3289","23.2"
"26499000","0","3289","23.2"
"26708000","0","3289","23.6"
"26917000","0","3289","23.6"
"27387000","0","3289","24.0"
"27595000","0","3289","24.3"
"27803000","0","3289","24.3"
"28012000","0","3289","24.7"
"28221000","0","3289","24.7"
"28628000","0","3290","25.1"
"28895000","0","3289","25.5"
"29104000","0","3290","25.5"
"29313000","0","3290","25.8"
"29523000","0","3290","25.8"
"29933000","0","3290","26.2"
"30201000","0","3290","26.6"
"30410000","0","3290","26.6"
"30620000","0","3290","27.0"
"30829000","0","3290","27.0"
"31236000","0","3290","27.3"
"31503000","0","3290","27.7"
"31710000","0","3290","27.7"
"31919000","0","3290","28.1"
"32129000","0","3290","28.1"
"32536000","0","3290","28.5"
"32804000","0","3290","28.8"
"33011000","0","3289","28.8"
"33220000","0","3290","29.2"
"33430000","0","3289","29.2"
"33837000","0","3290","29.6"
"34104000","0","3290","30.0"
"34313000","0","3289","30.0"
"34522000","0","3290","30.4"
"34731000","0","3289","30.4"
"35138000","0","3290","30.7"
"35406000","0","3290","31.1"
"35615000","0","3289","31.1"
"35824000","0","3290","31.5"
"36033000","0","3290","31.5"
"36440000","0","3290","31.8"
"36707000","0","3290","32.2"
"36916000","0","3290","32.2"
"37130000","0","3290","32.6"
"37340000","0","3290","32.6"
"37803000","0","3290","33.0"
"38012000","0","3290","33.4"
"38221000","0","3290","33.4"
"38429000","0","3290","33.7"
"38638000","0","3290","33.7"
"39045000","0","3290","34.1"
"39312000","0","3290","34.5"
"39521000","0","3290","34.5"
"39730000","0","3290","34.9"
"39939000","0","3290","34.9"
"40403000","0","3289","35.2"
"40612000","0","3290","35.6"
"40821000","0","3290","35.6"
"41030000","0","3289","35.6"
"41239000","0","3290","36.0"
"41645000","0","3290","36.4"
"41911000","0","3289","36.4"
"42120000","0","3290","36.7"
"42329000","0","3289","36.7"
"42538000","0","3290","37.1"
"42945000","0","3290","37.5"
"43212000","0","3289","37.5"
"43420000","0","3289","37.9"
"43630000","0","3289","37.9"
"43839000","0","3289","38.2"
"44246000","0","3289","38.6"
"44513000","0","3289","38.6"
"44723000","0","3290","39.0"
"44932000","0","3289","39.0"
"45141000","0","3290","39.4"
"45548000","0","3289","39.7"
"45815000","0","3289","39.7"
"46024000","0","3290","40.1"
"46234000","0","3289","40.1"
"46443000","0","3290","40.5"
"46851000","0","3289","40.9"
"47122000","0","3289","40.9"
"47331000","0","3289","41.2"
"47540000","0","3289","41.2"
"47748000","0","3289","41.6"
"48156000","0","3289","42.0"
"48421000","0","3289","42.0"
"48630000","0","3289","42.4"
"48840000","0","3289","42.4"
"49050000","0","3289","42.7"
"49457000","0","3289","43.1"
"49724000","0","3289","43.1"
"49933000","0","3289","43.5"
"50142000","0","3289","43.5"
"50351000","0","3289","43.9"
"50758000","0","3290","44.2"
"51025000","0","3289","44.2"
"51234000","0","3289","44.6"
"51443000","0","3289","44.6"
"51651000","0","3289","45.0"
"52058000","0","3289","45.4"
"52325000","0","3289","45.4"
"52534000","0","3289","45.7"
"52744000","0","3289","45.7"
"52954000","0","3289","46.1"
"53361000","0","3289","46.5"
"53628000","0","3289","46.5"
"53837000","0","3289","46.9"
"54046000","0","3289","46.9"
"54255000","0","3290","47.2"
"54663000","0","3290","47.6"
"54929000","0","3290","47.6"
"55137000","258200","3290","48.0"
"55347000","258200","3290","48.0"
"55555000","258200","3289","48.4"
"55962000","258200","3290","48.4"
"56228000","258200","3290","48.7"
"56437000","258200","3289","49.1"
"56646000","258200","3290","49.1"
"56854000","258200","3289","49.1"
"57324000","258200","3289","49.9"
"57534000","258200","3290","49.9"
"57743000","258200","3290","50.3"
"57952000","258200","3290","50.3"
"58161000","258200","3290","50.3"
"58568000","258200","3289","50.6"
"58836000","258200","3290","51.0"
"59045000","258200","3290","51.0"
"59254000","258200","3290","51.4"
"59463000","258200","3290","51.4"
"59870000","258200","3290","51.7"
"60136000","258200","3290","52.1"
"60346000","258200","3290","52.1"
"60556000","258200","3290","52.5"
"60765000","258200","3290","52.5"
"61171000","258200","3290","52.9"
"61437000","258200","3290","53.2"
"61645000","258200","3290","53.2"
"61855000","258200","3290","53.6"
"62064000","258200","3290","53.6"
"62470000","258200","3290","54.0"
"62737000","258200","3290","54.4"
"62946000","258200","3290","54.4"
"63155000","258200","3290","54.7"
"63364000","258200","3289","54.7"
"63772000","258200","3290","55.1"
"64039000","258200","3290","55.5"
"64248000","258200","3289","55.5"
"64456000","258200","3290","55.9"
"64666000","258200","3289","55.9"
"65073000","258200","3290","56.2"
"65340000","258200","3290","56.6"
"65549000","258200","3289","56.6"
"65757000","258200","3290","57.0"
"65966000","258200","3289","57.0"
"66373000","258200","3290","57.4"
"66641000","258200","3290","57.8"
"66850000","258200","3289","57.8"
"67064000","258200","3290","58.1"
"67274000","258200","3289","58.1"
"67738000","258200","3289","58.5"
"67948000","258200","3290","58.9"
"68156000","258200","3289","58.9"
"68366000","258200","3289","59.3"
"68575000","258200","3290","59.3"
"68982000","258200","3289","59.6"
"69249000","258200","3289","60.0"
"69458000","258200","3289","60.0"
"69667000","258200","3289","60.4"
"69875000","258200","3289","60.4"
"70280000","258200","3289","60.8"
"70547000","258200","3289","61.1"
"70756000","258200","3289","61.1"
"70965000","258200","3290","61.5"
"71173000","258200","3289","61.5"
"71583000","258200","3289","61.9"
"71850000","258200","3289","62.3"
"72060000","258200","3289","62.3"
"72269000","258200","3290","62.6"
"72479000","258200","3289","63.0"
"72886000","258200","3289","63.4"
"73151000","258200","3289","63.8"
"73361000","258200","3289","64.2"
"73570000","258200","3289","64.2"
"73779000","258200","3289","64.6"
"74185000","258200","3289","64.9"
"74452000","258200","3289","65.3"
"74661000","258200","3289","65.7"
"74870000","258200","3289","66.1"
"75080000","258200","3289","66.5"
"75487000","258200","3289","66.9"
"75754000","258200","3289","67.2"
"75963000","258200","3289","67.6"
"76172000","258200","3289","67.6"
"76380000","258200","3289","68.0"
"76787000","258200","3289","68.4"
"77059000","258200","3289","68.8"
"77268000","258200","3290","69.1"
"77477000","258200","3289","69.5"
"77686000","258200","3289","69.5"
"78092000","258200","3289","70.3"
"78358000","258200","3289","70.7"
"78568000","258200","3289","70.7"
