Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3276","1.1"
"267000","0","3290","1.1"
"477000","0","3286","1.5"
"687000","0","3291","1.5"
"896000","0","3289","1.8"
"1303000","0","3287","2.2"
"1570000","0","3290","2.2"
"1780000","0","3289","2.6"
"1990000","0","3287","2.6"
"2199000","0","3289","3.0"
"2606000","0","3289","3.3"
"2873000","0","3287","3.3"
"3081000","0","3289","3.7"
"3291000","0","3288","3.7"
"3501000","0","3290","3.7"
"3908000","0","3289","4.1"
"4176000","0","3290","4.4"
"4386000","0","3290","4.4"
"4626000","0","3291","4.8"
"4837000","0","3290","4.8"
"5243000","0","3291","5.2"
"5511000","0","3290","5.6"
"5721000","0","3291","5.6"
"5931000","0","3290","5.9"
"6140000","0","3290","5.9"
"6605000","0","3290","6.3"
"6815000","0","3290","6.7"
"7024000","0","3289","6.7"
"7234000","0","3290","6.7"
"7444000","0","3289","7.1"
"7910000","0","3290","7.4"
"8119000","0","3290","7.4"
"8329000","0","3290","7.8"
"8539000","0","3290","7.8"
"8749000","0","3290","8.2"
"9163000","0","3290","8.6"
"9430000","0","3290","8.6"
"9639000","0","3290","8.9"
"9849000","0","3290","8.9"
"10058000","0","3290","8.9"
"10465000","0","3290","9.3"
"10733000","0","3290","9.7"
"10941000","0","3289","9.7"
"11151000","0","3290","10.0"
"11361000","0","3289","10.0"
"11768000","0","3290","10.4"
"12036000","0","3290","10.8"
"12246000","0","3289","10.8"
"12456000","0","3290","11.2"
"12666000","0","3289","11.2"
"13074000","0","3290","11.5"
"13341000","0","3290","11.5"
"13551000","0","3290","11.9"
"13760000","0","3290","11.9"
"13970000","0","3290","12.3"
"14377000","0","3290","12.7"
"14645000","0","3290","12.7"
"14855000","0","3290","13.0"
"15065000","0","3290","13.0"
"15275000","0","3290","13.4"
"15682000","0","3290","13.4"
"15950000","0","3291","13.8"
"16160000","0","3290","13.8"
"16370000","0","3291","14.2"
"16580000","0","3290","14.2"
"16987000","0","3291","14.5"
"17255000","0","3290","14.9"
"17464000","0","3290","14.9"
"17673000","0","3290","15.3"
"17883000","0","3290","15.3"
"18291000","0","3290","15.6"
"18559000","0","3290","16.0"
"18768000","0","3290","16.0"
"18983000","0","3290","16.0"
"19193000","0","3291","16.4"
"19600000","0","3290","16.8"
"19867000","0","3290","16.8"
"20077000","0","3291","17.1"
"20288000","0","3291","17.1"
"20497000","0","3291","17.5"
"20903000","0","3290","17.9"
"21170000","0","3291","17.9"
"21380000","0","3290","18.3"
"21590000","0","3290","18.3"
"21799000","0","3290","18.3"
"22205000","0","3290","18.6"
"22473000","0","3290","19.0"
"22683000","0","3290","19.0"
"22893000","0","3290","19.4"
"23103000","0","3291","19.4"
"23510000","0","3291","19.8"
"23777000","0","3291","20.1"
"23988000","0","3291","20.1"
"24198000","0","3291","20.5"
"24407000","0","3291","20.5"
"24813000","0","3291","20.9"
"25081000","0","3291","20.9"
"25291000","0","3291","21.2"
"25501000","0","3291","21.2"
"25710000","0","3291","21.6"
"26118000","0","3290","22.0"
"26384000","0","3291","22.0"
"26594000","0","3290","22.4"
"26802000","0","3290","22.4"
"27011000","0","3290","22.8"
"27477000","0","3290","23.1"
"27686000","0","3290","23.1"
"27896000","0","3290","23.1"
"28105000","0","3290","23.5"
"28313000","0","3289","23.5"
"28720000","0","3290","23.9"
"28994000","0","3289","24.2"
"29203000","0","3289","24.2"
"29413000","0","3289","24.6"
"29622000","0","3289","24.6"
"30088000","0","3289","25.0"
"30298000","0","3289","25.4"
"30508000","0","3289","25.4"
"30717000","0","3289","25.4"
"30927000","0","3289","25.7"
"31335000","0","3289","26.1"
"31602000","0","3289","26.1"
"31812000","0","3290","26.5"
"32022000","0","3289","26.5"
"32232000","0","3289","26.9"
"32696000","0","3290","27.2"
"32905000","0","3289","27.2"
"33115000","0","3290","27.6"
"33325000","0","3289","27.6"
"33535000","0","3290","27.6"
"33942000","0","3290","28.0"
"34210000","0","3290","28.3"
"34420000","0","3290","28.3"
"34629000","0","3290","28.7"
"34839000","0","3290","28.7"
"35246000","0","3290","29.1"
"35514000","0","3290","29.5"
"35723000","0","3290","29.5"
"35933000","0","3290","29.8"
"36143000","0","3290","29.8"
"36608000","0","3290","30.2"
"36819000","0","3290","30.2"
"37028000","0","3290","30.6"
"37239000","0","3290","30.6"
"37448000","0","3290","31.0"
"37856000","0","3290","31.3"
"38123000","0","3290","31.3"
"38333000","0","3290","31.7"
"38542000","0","3290","31.7"
"38751000","0","3290","32.1"
"39164000","0","3290","32.1"
"39431000","0","3290","32.5"
"39641000","0","3290","32.5"
"39851000","0","3290","32.8"
"40061000","0","3290","32.8"
"40468000","0","3290","33.2"
"40736000","0","3291","33.6"
"40946000","0","3290","33.6"
"41156000","0","3291","34.0"
"41364000","0","3291","34.0"
"41770000","0","3291","34.3"
"42038000","0","3291","34.7"
"42247000","0","3291","34.7"
"42457000","0","3291","34.7"
"42666000","0","3291","35.1"
"43131000","0","3291","35.4"
"43341000","0","3290","35.4"
"43550000","0","3291","35.8"
"43760000","0","3290","35.8"
"43970000","0","3291","36.2"
"44378000","0","3291","36.6"
"44646000","0","3291","36.6"
"44855000","0","3291","36.6"
"45063000","0","3291","36.9"
"45273000","0","3290","36.9"
"45738000","0","3290","37.3"
"45947000","0","3290","37.7"
"46158000","0","3290","37.7"
"46368000","0","3290","38.1"
"46582000","0","3290","38.1"
"46989000","0","3290","38.4"
"47256000","0","3290","38.8"
"47465000","0","3290","38.8"
"47674000","0","3290","38.8"
"47885000","0","3290","39.2"
"48291000","0","3289","39.6"
"48558000","0","3289","39.6"
"48768000","0","3290","39.9"
"48982000","0","3289","39.9"
"49191000","0","3289","40.3"
"49599000","0","3289","40.7"
"49867000","0","3289","40.7"
"50076000","0","3289","41.0"
"50286000","0","3289","41.0"
"50496000","0","3289","41.4"
"50903000","0","3289","41.4"
"51170000","0","3290","41.8"
"51381000","0","3289","41.8"
"51590000","0","3290","42.2"
"51801000","0","3290","42.2"
"52208000","0","3290","42.5"
"52475000","0","3290","42.9"
"52685000","0","3289","42.9"
"52894000","0","3290","43.3"
"53103000","0","3289","43.3"
"53511000","0","3290","43.7"
"53779000","0","3289","44.0"
"53989000","0","3289","44.0"
"54198000","0","3289","44.0"
"54408000","0","3289","44.4"
"54814000","0","3289","44.8"
"55081000","0","3289","44.8"
"55291000","0","3289","45.2"
"55499000","0","3289","45.2"
"55709000","0","3289","45.5"
"56116000","0","3289","45.9"
"56384000","0","3289","45.9"
"56594000","0","3289","46.3"
"56802000","0","3289","46.3"
"57012000","0","3288","46.3"
"57476000","0","3289","46.6"
"57686000","0","3289","47.0"
"57894000","0","3288","47.0"
"58103000","0","3289","47.4"
"58313000","0","3289","47.4"
"58779000","241400","3289","47.8"
"58994000","241400","3289","48.1"
"59204000","241400","3288","48.1"
"59413000","241400","3289","48.1"
"59622000","241400","3289","48.5"
"60086000","241400","3288","48.9"
"60295000","241400","3289","48.9"
"60505000","241400","3289","49.3"
"60715000","241400","3288","49.3"
"60923000","241400","3289","49.6"
"61331000","241400","3289","50.0"
"61598000","241400","3288","50.0"
"61807000","241400","3289","50.4"
"62018000","241400","3289","50.4"
"62226000","241400","3288","50.4"
"62633000","241400","3289","50.7"
"62900000","241400","3289","51.1"
"63110000","241400","3289","51.1"
"63320000","241400","3289","51.5"
"63529000","241400","3288","51.5"
"63936000","241400","3289","51.9"
"64205000","241400","3288","52.3"
"64414000","241400","3288","52.3"
"64624000","241400","3288","52.6"
