Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3284","1.9"
"209000","0","3278","1.9"
"419000","0","3288","2.2"
"629000","0","3286","2.2"
"837000","0","3284","2.6"
"1244000","0","3289","3.0"
"1454000","0","3287","3.0"
"1721000","0","3286","3.4"
"1930000","0","3288","3.4"
"2139000","0","3288","3.7"
"2547000","0","3287","4.1"
"2814000","0","3288","4.1"
"3024000","0","3288","4.5"
"3234000","0","3287","4.5"
"3443000","0","3288","4.9"
"3852000","0","3288","4.9"
"4119000","0","3288","5.2"
"4328000","0","3289","5.6"
"4538000","0","3288","5.6"
"4746000","0","3288","6.0"
"5153000","0","3289","6.0"
"5421000","0","3288","6.4"
"5631000","0","3289","6.7"
"5841000","0","3289","6.7"
"6049000","0","3288","6.7"
"6455000","0","3288","7.1"
"6722000","0","3288","7.5"
"6931000","0","3288","7.5"
"7141000","0","3288","7.9"
"7351000","0","3288","7.9"
"7758000","0","3289","8.2"
"8026000","0","3288","8.6"
"8234000","0","3288","8.6"
"8444000","0","3288","9.0"
"8654000","0","3288","9.0"
"9061000","0","3288","9.4"
"9333000","0","3288","9.7"
"9542000","0","3288","9.7"
"9751000","0","3288","10.1"
"9962000","0","3288","10.1"
"10369000","0","3288","10.5"
"10636000","0","3288","10.9"
"10844000","0","3288","10.9"
"11054000","0","3288","11.2"
"11264000","0","3288","11.2"
"11671000","0","3288","11.6"
"11939000","0","3288","12.0"
"12149000","0","3288","12.0"
"12359000","0","3288","12.4"
"12568000","0","3288","12.4"
"13033000","0","3289","12.7"
"13244000","0","3289","13.1"
"13453000","0","3288","13.1"
"13663000","0","3289","13.5"
"13872000","0","3289","13.5"
"14280000","0","3289","13.9"
"14548000","0","3289","14.2"
"14757000","0","3289","14.2"
"14967000","0","3289","14.6"
"15177000","0","3289","14.6"
"15576000","0","3289","15.0"
"15856000","0","3289","15.4"
"16065000","0","3289","15.4"
"16275000","0","3290","15.7"
"16484000","0","3289","15.7"
"16948000","0","3289","16.1"
"17158000","0","3289","16.1"
"17367000","0","3289","16.5"
"17577000","0","3289","16.5"
"17787000","0","3289","16.9"
"18193000","0","3289","17.2"
"18461000","0","3290","17.2"
"18670000","0","3289","17.6"
"18879000","0","3289","17.6"
"19095000","0","3289","18.0"
"19502000","0","3290","18.4"
"19769000","0","3289","18.4"
"19979000","0","3290","18.7"
"20189000","0","3289","18.7"
"20398000","0","3290","19.1"
"20864000","0","3289","19.5"
"21072000","0","3289","19.5"
"21281000","0","3290","19.9"
"21491000","0","3289","19.9"
"21701000","0","3290","20.2"
"22167000","0","3289","20.6"
"22376000","0","3289","20.6"
"22585000","0","3290","21.0"
"22795000","0","3289","21.0"
"23005000","0","3290","21.4"
"23412000","0","3289","21.7"
"23680000","0","3289","21.7"
"23889000","0","3290","22.1"
"24099000","0","3289","22.1"
"24309000","0","3290","22.5"
"24717000","0","3289","22.9"
"24984000","0","3289","22.9"
"25194000","0","3290","23.2"
"25404000","0","3289","23.2"
"25614000","0","3290","23.6"
"26023000","0","3290","24.0"
"26289000","0","3289","24.0"
"26498000","0","3290","24.4"
"26708000","0","3290","24.4"
"26918000","0","3290","24.7"
"27324000","0","3290","24.7"
"27592000","0","3290","25.1"
"27802000","0","3290","25.5"
"28012000","0","3290","25.5"
"28222000","0","3290","25.5"
"28630000","0","3289","25.8"
"28897000","0","3290","26.2"
"29112000","0","3290","26.2"
"29321000","0","3290","26.6"
"29531000","0","3290","26.6"
"29996000","0","3290","27.0"
"30206000","0","3290","27.4"
"30416000","0","3290","27.4"
"30625000","0","3290","27.7"
"30835000","0","3290","27.7"
"31301000","0","3290","28.1"
"31511000","0","3290","28.5"
"31720000","0","3290","28.5"
"31929000","0","3291","28.9"
"32139000","0","3290","28.9"
"32546000","0","3291","29.2"
"32814000","0","3291","29.6"
"33023000","0","3290","29.6"
"33233000","0","3291","30.0"
"33443000","0","3290","30.0"
"33850000","0","3291","30.3"
"34117000","0","3291","30.7"
"34325000","0","3290","30.7"
"34535000","0","3291","31.1"
"34745000","0","3290","31.1"
"35152000","0","3290","31.5"
"35419000","0","3291","31.9"
"35629000","0","3290","31.9"
"35840000","0","3291","32.2"
"36049000","0","3290","32.2"
"36456000","0","3291","32.6"
"36724000","0","3291","33.0"
"36933000","0","3290","33.0"
"37143000","0","3291","33.4"
"37352000","0","3290","33.4"
"37760000","0","3291","33.7"
"38028000","0","3291","34.1"
"38238000","0","3290","34.1"
"38447000","0","3291","34.5"
"38656000","0","3290","34.5"
"39062000","0","3290","34.8"
"39335000","0","3291","35.2"
"39544000","0","3290","35.2"
"39754000","0","3291","35.6"
"39964000","0","3290","35.6"
"40428000","0","3290","36.0"
"40638000","0","3290","36.4"
"40846000","0","3290","36.4"
"41054000","0","3290","36.4"
"41263000","0","3289","36.7"
"41669000","0","3290","37.1"
"41937000","0","3290","37.1"
"42146000","0","3290","37.5"
"42357000","0","3290","37.5"
"42567000","0","3290","37.8"
"42974000","0","3290","38.2"
"43241000","0","3290","38.2"
"43450000","0","3290","38.6"
"43660000","0","3289","38.6"
"43870000","0","3289","39.0"
"44277000","0","3290","39.4"
"44544000","0","3289","39.4"
"44753000","0","3289","39.7"
"44963000","0","3289","39.7"
"45173000","0","3290","40.1"
"45580000","0","3289","40.5"
"45847000","0","3289","40.5"
"46056000","0","3290","40.8"
"46267000","0","3289","40.8"
"46477000","0","3290","41.2"
"46885000","0","3289","41.6"
"47152000","0","3289","41.6"
"47361000","0","3290","42.0"
"47570000","0","3289","42.0"
"47780000","0","3290","42.4"
"48187000","0","3290","42.4"
"48455000","0","3290","42.7"
"48664000","0","3290","43.1"
"48874000","0","3290","43.1"
"49088000","0","3289","43.5"
"49495000","0","3290","43.5"
"49704000","0","3290","43.8"
"49971000","0","3290","44.2"
"50181000","0","3290","44.2"
"50391000","0","3290","44.2"
"50798000","0","3289","44.6"
"51066000","0","3289","45.0"
"51276000","0","3290","45.4"
"51485000","0","3289","45.4"
"51695000","0","3289","45.4"
"52160000","0","3290","45.7"
"52369000","0","3289","46.1"
"52578000","0","3289","46.1"
"52788000","0","3289","46.5"
"52998000","0","3289","46.5"
"53405000","0","3289","46.8"
"53672000","0","3289","47.2"
"53882000","0","3289","47.2"
"54092000","0","3290","47.6"
"54302000","0","3290","47.6"
"54710000","259400","3290","48.0"
"54977000","259400","3290","48.3"
"55187000","259400","3290","48.3"
"55397000","259400","3290","48.7"
"55607000","259400","3289","48.7"
"56014000","259400","3290","49.1"
"56282000","259400","3290","49.5"
"56492000","259400","3290","49.5"
"56702000","259400","3290","49.8"
"56911000","259400","3289","49.8"
"57318000","259400","3290","50.2"
"57586000","259400","3290","50.6"
"57800000","259400","3289","50.6"
"58010000","259400","3290","51.0"
"58220000","259400","3289","51.0"
"58620000","259400","3289","51.3"
"58895000","259400","3290","51.7"
"59109000","259400","3289","51.7"
"59319000","259400","3289","52.1"
"59528000","259400","3289","52.1"
"59936000","259400","3289","52.5"
"60204000","259400","3289","52.8"
"60413000","259400","3289","52.8"
"60623000","259400","3289","53.2"
"60833000","259400","3289","53.2"
"61239000","259400","3288","53.6"
"61507000","259400","3289","54.0"
"61717000","259400","3289","54.0"
"61927000","259400","3289","54.3"
"62136000","259400","3289","54.3"
"62542000","259400","3288","54.7"
"62808000","259400","3289","55.1"
"63019000","259400","3289","55.1"
"63227000","259400","3289","55.1"
"63435000","259400","3288","55.5"
"63843000","259400","3289","55.8"
"64111000","259400","3289","55.8"
