Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3277","0.7"
"267000","0","3293","1.1"
"477000","0","3288","1.1"
"687000","0","3294","1.4"
"902000","0","3291","1.4"
"1310000","0","3294","1.8"
"1578000","0","3292","2.2"
"1787000","0","3290","2.2"
"1996000","0","3292","2.2"
"2206000","0","3291","2.6"
"2614000","0","3293","2.9"
"2880000","0","3291","2.9"
"3090000","0","3293","3.3"
"3300000","0","3292","3.3"
"3510000","0","3293","3.7"
"3916000","0","3292","3.7"
"4184000","0","3293","4.0"
"4394000","0","3292","4.0"
"4603000","0","3293","4.4"
"4814000","0","3292","4.4"
"5220000","0","3291","4.8"
"5487000","0","3292","5.2"
"5697000","0","3292","5.2"
"5906000","0","3291","5.2"
"6116000","0","3292","5.5"
"6523000","0","3291","5.9"
"6790000","0","3291","5.9"
"7000000","0","3291","6.3"
"7210000","0","3291","6.3"
"7420000","0","3292","6.7"
"7826000","0","3291","6.7"
"8093000","0","3292","7.0"
"8304000","0","3291","7.0"
"8513000","0","3292","7.4"
"8724000","0","3291","7.4"
"9131000","0","3292","7.8"
"9399000","0","3292","8.1"
"9608000","0","3291","8.1"
"9818000","0","3292","8.1"
"10028000","0","3291","8.5"
"10435000","0","3291","8.9"
"10702000","0","3291","8.9"
"10918000","0","3291","9.3"
"11128000","0","3291","9.3"
"11338000","0","3291","9.6"
"11745000","0","3291","9.6"
"12013000","0","3291","10.0"
"12223000","0","3291","10.0"
"12432000","0","3291","10.4"
"12642000","0","3291","10.4"
"13050000","0","3291","10.7"
"13318000","0","3291","11.1"
"13527000","0","3291","11.1"
"13736000","0","3291","11.5"
"13946000","0","3291","11.5"
"14411000","0","3290","11.9"
"14621000","0","3291","11.9"
"14831000","0","3291","12.2"
"15039000","0","3290","12.2"
"15248000","0","3291","12.6"
"15656000","0","3290","12.6"
"15922000","0","3290","13.0"
"16132000","0","3290","13.0"
"16341000","0","3290","13.4"
"16550000","0","3289","13.4"
"17016000","0","3290","13.7"
"17226000","0","3289","14.1"
"17434000","0","3289","14.1"
"17644000","0","3289","14.5"
"17853000","0","3289","14.5"
"18259000","0","3289","14.9"
"18527000","0","3289","14.9"
"18736000","0","3289","15.2"
"18949000","0","3289","15.2"
"19158000","0","3289","15.6"
"19566000","0","3289","16.0"
"19834000","0","3289","16.0"
"20043000","0","3289","16.3"
"20252000","0","3289","16.3"
"20461000","0","3288","16.3"
"20874000","0","3289","16.7"
"21141000","0","3288","17.1"
"21350000","0","3288","17.1"
"21559000","0","3288","17.5"
"21769000","0","3288","17.5"
"22175000","0","3288","17.8"
"22443000","0","3288","17.8"
"22652000","0","3288","18.2"
"22860000","0","3287","18.2"
"23070000","0","3288","18.6"
"23478000","0","3288","19.0"
"23745000","0","3288","19.0"
"23954000","0","3288","19.3"
"24164000","0","3288","19.3"
"24373000","0","3287","19.3"
"24780000","0","3288","19.7"
"25048000","0","3288","20.1"
"25257000","0","3287","20.1"
"25467000","0","3287","20.4"
"25677000","0","3287","20.4"
"26085000","0","3288","20.8"
"26351000","0","3287","20.8"
"26561000","0","3288","21.2"
"26770000","0","3288","21.2"
"26980000","0","3288","21.6"
"27387000","0","3288","21.9"
"27654000","0","3288","21.9"
"27864000","0","3288","22.3"
"28074000","0","3289","22.3"
"28283000","0","3288","22.3"
"28749000","0","3288","22.7"
"28959000","0","3288","23.0"
"29169000","0","3288","23.0"
"29378000","0","3288","23.4"
"29588000","0","3288","23.4"
"29995000","0","3288","23.8"
"30263000","0","3288","23.8"
"30473000","0","3289","24.2"
"30683000","0","3288","24.2"
"30898000","0","3289","24.5"
"31305000","0","3289","24.9"
"31572000","0","3288","24.9"
"31782000","0","3289","25.3"
"31992000","0","3289","25.3"
"32200000","0","3288","25.3"
"32607000","0","3289","25.6"
"32875000","0","3289","26.0"
"33083000","0","3288","26.0"
"33293000","0","3289","26.4"
"33503000","0","3289","26.4"
"33967000","0","3289","26.8"
"34177000","0","3289","27.2"
"34386000","0","3289","27.2"
"34596000","0","3289","27.2"
"34806000","0","3289","27.5"
"35271000","0","3289","27.9"
"35480000","0","3289","27.9"
"35691000","0","3289","28.3"
"35900000","0","3289","28.3"
"36110000","0","3289","28.6"
"36517000","0","3289","28.6"
"36784000","0","3289","29.0"
"36994000","0","3289","29.0"
"37204000","0","3289","29.4"
"37414000","0","3290","29.4"
"37822000","0","3290","29.8"
"38089000","0","3290","30.1"
"38299000","0","3290","30.1"
"38509000","0","3290","30.1"
"38720000","0","3290","30.5"
"39126000","0","3289","30.9"
"39393000","0","3290","30.9"
"39602000","0","3289","31.2"
"39812000","0","3289","31.2"
"40021000","0","3289","31.6"
"40487000","0","3289","31.6"
"40697000","0","3289","32.0"
"40913000","0","3289","32.0"
"41122000","0","3289","32.4"
"41332000","0","3290","32.4"
"41797000","0","3290","32.7"
"42007000","0","3290","33.1"
"42217000","0","3289","33.1"
"42427000","0","3289","33.1"
"42637000","0","3290","33.5"
"43044000","0","3290","33.9"
"43312000","0","3290","33.9"
"43522000","0","3290","34.2"
"43732000","0","3290","34.2"
"43942000","0","3290","34.6"
"44351000","0","3290","34.6"
"44618000","0","3290","35.0"
"44828000","0","3290","35.0"
"45038000","0","3290","35.3"
"45248000","0","3290","35.3"
"45656000","0","3291","35.7"
"45924000","0","3291","36.1"
"46133000","0","3291","36.1"
"46342000","0","3291","36.5"
"46552000","0","3291","36.5"
"46957000","0","3290","36.8"
"47224000","0","3291","36.8"
"47435000","0","3291","37.2"
"47644000","0","3290","37.2"
"47853000","0","3291","37.6"
"48261000","0","3291","37.6"
"48529000","0","3291","37.9"
"48738000","0","3291","37.9"
"48948000","0","3291","38.3"
"49157000","0","3291","38.3"
"49623000","0","3291","38.7"
"49833000","0","3291","39.1"
"50042000","0","3291","39.1"
"50252000","0","3291","39.4"
"50462000","0","3291","39.4"
"50933000","0","3291","39.8"
"51143000","0","3290","39.8"
"51353000","0","3291","40.2"
"51563000","0","3291","40.2"
"51773000","0","3291","40.6"
"52180000","0","3291","40.9"
"52447000","0","3291","40.9"
"52657000","0","3291","41.3"
"52867000","0","3291","41.3"
"53077000","0","3291","41.3"
"53485000","0","3291","41.7"
"53752000","0","3291","42.1"
"53963000","0","3291","42.1"
"54173000","0","3291","42.4"
"54383000","0","3291","42.4"
"54847000","0","3291","42.8"
"55057000","0","3291","42.8"
"55266000","0","3291","43.2"
"55477000","0","3291","43.2"
"55686000","0","3291","43.5"
"56086000","0","3291","43.9"
"56361000","0","3291","43.9"
"56572000","0","3291","44.3"
"56781000","0","3291","44.3"
"56991000","0","3291","44.3"
"57399000","0","3291","44.6"
"57666000","0","3291","45.0"
"57876000","0","3291","45.0"
"58086000","0","3291","45.4"
"58295000","0","3291","45.4"
"58702000","0","3290","45.8"
"58969000","0","3291","45.8"
"59180000","0","3291","46.1"
"59388000","0","3290","46.1"
"59597000","0","3291","46.5"
"60005000","0","3291","46.9"
"60272000","0","3290","46.9"
"60481000","0","3291","47.3"
"60691000","0","3291","47.3"
"60911000","0","3290","47.3"
"61318000","230700","3291","47.6"
"61585000","230700","3290","48.0"
"61793000","230700","3290","48.0"
"62002000","230700","3291","48.4"
"62212000","230700","3290","48.4"
"62620000","230700","3291","48.8"
"62888000","230700","3290","48.8"
"63097000","230700","3291","49.1"
"63307000","230700","3290","49.1"
"63517000","230700","3291","49.5"
"63924000","230700","3290","49.9"
"64192000","230700","3290","49.9"
"64402000","230700","3290","50.3"
"64612000","230700","3290","50.3"
"64820000","230700","3289","50.3"
"65227000","230700","3290","50.6"
"65494000","230700","3290","51.0"
"65705000","230700","3290","51.0"
"65915000","230700","3290","51.4"
"66124000","230700","3289","51.4"
"66589000","230700","3290","51.7"
"66799000","230700","3289","52.1"
"67008000","230700","3289","52.1"
"67217000","230700","3289","52.1"
"67428000","230700","3289","52.5"
"67891000","230700","3289","52.9"
"68100000","230700","3289","52.9"
"68310000","230700","3289","53.2"
"68519000","230700","3288","53.2"
"68728000","230700","3289","53.6"
"69137000","230700","3289","53.6"
"69404000","230700","3289","54.0"
"69614000","230700","3289","54.0"
"69824000","230700","3289","54.3"
"70034000","230700","3289","54.3"
"70441000","230700","3290","54.7"
"70708000","230700","3289","55.1"
"70923000","230700","3289","55.1"
"71133000","230700","3289","55.1"
"71343000","230700","3289","55.5"
"71750000","230700","3289","55.8"
"72018000","230700","3289","55.8"
"72229000","230700","3290","56.2"
"72439000","230700","3290","56.2"
"72647000","230700","3289","56.6"
"73055000","230700","3290","56.6"
"73323000","230700","3290","57.0"
"73532000","230700","3289","57.0"
"73741000","230700","3289","57.3"
"73951000","230700","3290","57.3"
"74358000","230700","3290","57.7"
"74626000","230700","3290","58.1"
"74836000","230700","3290","58.1"
"75046000","230700","3290","58.1"
"75256000","230700","3290","58.4"
"75662000","230700","3289","58.8"
"75929000","230700","3290","58.8"
"76139000","230700","3289","59.2"
"76348000","230700","3289","59.2"
"76557000","230700","3289","59.6"
"76964000","230700","3289","59.6"
"77232000","230700","3290","59.9"
"77442000","230700","3289","59.9"
"77652000","230700","3290","60.3"
"77862000","230700","3290","60.3"
"78270000","230700","3290","60.7"
"78537000","230700","3290","61.1"
"78747000","230700","3289","61.1"
"78957000","230700","3290","61.1"
"79167000","230700","3290","61.4"
"79573000","230700","3289","61.8"
"79841000","230700","3290","61.8"
"80050000","230700","3290","62.2"
"80259000","230700","3289","62.2"
"80469000","230700","3290","62.5"
"80882000","230700","3290","62.5"
"81150000","230700","3290","62.9"
"81360000","230700","3290","62.9"
"81570000","230700","3291","63.3"
"81780000","230700","3290","63.3"
"82187000","230700","3291","63.7"
"82456000","230700","3290","64.0"
"82665000","230700","3290","64.0"
"82874000","230700","3290","64.4"
"83083000","230700","3290","64.4"
"83491000","230700","3290","64.8"
"83759000","230700","3290","64.8"
"83969000","230700","3290","65.2"
"84178000","230700","3290","65.2"
"84388000","230700","3291","65.5"
"84796000","230700","3290","65.5"
"85064000","230700","3290","65.9"
"85274000","230700","3290","65.9"
"85484000","230700","3290","66.3"
"85693000","230700","3290","66.3"
"86093000","230700","3290","66.6"
"86369000","230700","3290","67.0"
"86578000","230700","3290","67.0"
"86786000","230700","3290","67.4"
"86996000","230700","3290","67.4"
"87402000","230700","3289","67.8"
"87670000","230700","3290","67.8"
"87880000","230700","3290","68.1"
"88089000","230700","3289","68.1"
"88298000","230700","3290","68.5"
"88763000","230700","3290","68.9"
"88973000","230700","3289","68.9"
"89182000","230700","3290","68.9"
"89393000","230700","3290","69.2"
"89602000","230700","3289","69.2"
