Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3283","1.1"
"267000","0","3276","1.1"
"477000","0","3287","1.5"
"687000","0","3285","1.5"
"896000","0","3289","1.8"
"1304000","0","3288","2.2"
"1571000","0","3286","2.2"
"1780000","0","3289","2.6"
"1990000","0","3287","2.6"
"2200000","0","3289","3.0"
"2607000","0","3289","3.3"
"2874000","0","3287","3.3"
"3083000","0","3289","3.7"
"3294000","0","3288","3.7"
"3503000","0","3289","4.1"
"3910000","0","3289","4.5"
"4177000","0","3288","4.5"
"4387000","0","3289","4.8"
"4596000","0","3288","4.8"
"4806000","0","3289","5.2"
"5206000","0","3289","5.6"
"5481000","0","3288","5.6"
"5691000","0","3289","6.0"
"5901000","0","3289","6.0"
"6109000","0","3288","6.3"
"6574000","0","3289","6.7"
"6785000","0","3289","6.7"
"6995000","0","3289","7.1"
"7203000","0","3289","7.1"
"7411000","0","3289","7.5"
"7818000","0","3289","7.8"
"8091000","0","3289","7.8"
"8301000","0","3290","8.2"
"8511000","0","3289","8.2"
"8721000","0","3290","8.6"
"9185000","0","3290","9.0"
"9394000","0","3289","9.0"
"9604000","0","3290","9.3"
"9814000","0","3290","9.3"
"10022000","0","3289","9.7"
"10429000","0","3290","9.7"
"10696000","0","3290","10.1"
"10904000","0","3289","10.5"
"11114000","0","3290","10.5"
"11324000","0","3290","10.5"
"11731000","0","3289","10.8"
"11999000","0","3290","11.2"
"12208000","0","3289","11.6"
"12417000","0","3289","11.6"
"12626000","0","3289","11.6"
"13034000","0","3289","11.9"
"13302000","0","3290","12.3"
"13512000","0","3289","12.3"
"13722000","0","3290","12.7"
"13931000","0","3289","12.7"
"14339000","0","3290","13.1"
"14607000","0","3290","13.4"
"14815000","0","3289","13.4"
"15025000","0","3290","13.8"
"15235000","0","3289","13.8"
"15704000","0","3290","14.2"
"15915000","0","3290","14.6"
"16124000","0","3289","14.6"
"16333000","0","3290","15.0"
"16543000","0","3289","15.0"
"16950000","0","3289","15.3"
"17218000","0","3290","15.7"
"17426000","0","3289","15.7"
"17636000","0","3290","16.1"
"17846000","0","3289","16.1"
"18259000","0","3289","16.4"
"18527000","0","3290","16.8"
"18737000","0","3289","16.8"
"18947000","0","3289","17.2"
"19157000","0","3290","17.2"
"19563000","0","3289","17.6"
"19829000","0","3289","18.0"
"20040000","0","3289","18.0"
"20248000","0","3289","18.3"
"20457000","0","3289","18.3"
"20865000","0","3289","18.7"
"21133000","0","3289","19.1"
"21341000","0","3289","19.1"
"21550000","0","3289","19.5"
"21760000","0","3289","19.5"
"22168000","0","3289","19.8"
"22433000","0","3289","20.2"
"22643000","0","3289","20.2"
"22853000","0","3289","20.2"
"23063000","0","3289","20.6"
"23470000","0","3289","20.9"
"23738000","0","3289","20.9"
"23947000","0","3289","21.3"
"24157000","0","3289","21.3"
"24367000","0","3289","21.7"
"24833000","0","3289","22.1"
"25042000","0","3289","22.1"
"25252000","0","3289","22.4"
"25462000","0","3289","22.4"
"25672000","0","3290","22.8"
"26080000","0","3290","23.2"
"26347000","0","3289","23.2"
"26556000","0","3290","23.6"
"26767000","0","3289","23.6"
"26976000","0","3290","23.9"
"27384000","0","3289","24.3"
"27651000","0","3289","24.3"
"27861000","0","3290","24.7"
"28075000","0","3289","24.7"
"28285000","0","3290","25.1"
"28693000","0","3289","25.4"
"28961000","0","3289","25.4"
"29170000","0","3290","25.8"
"29380000","0","3289","25.8"
"29589000","0","3290","26.2"
"29996000","0","3289","26.6"
"30263000","0","3289","26.6"
"30473000","0","3290","26.9"
"30683000","0","3289","26.9"
"30892000","0","3290","27.3"
"31300000","0","3289","27.7"
"31567000","0","3289","27.7"
"31776000","0","3290","28.1"
"31986000","0","3289","28.1"
"32196000","0","3290","28.4"
"32604000","0","3290","28.8"
"32871000","0","3289","28.8"
"33080000","0","3290","29.2"
"33291000","0","3290","29.2"
"33501000","0","3290","29.6"
"33908000","0","3290","30.0"
"34176000","0","3289","30.0"
"34385000","0","3290","30.3"
"34594000","0","3290","30.3"
"34804000","0","3290","30.7"
"35212000","0","3290","31.1"
"35480000","0","3290","31.1"
"35689000","0","3290","31.4"
"35899000","0","3289","31.4"
"36107000","0","3289","31.8"
"36514000","0","3290","32.2"
"36783000","0","3289","32.2"
"36993000","0","3290","32.6"
"37201000","0","3290","32.6"
"37409000","0","3290","33.0"
"37817000","0","3290","33.3"
"38090000","0","3290","33.3"
"38300000","0","3290","33.7"
"38510000","0","3290","33.7"
"38721000","0","3290","34.1"
"39126000","0","3290","34.1"
"39394000","0","3290","34.4"
"39603000","0","3290","34.8"
"39812000","0","3290","34.8"
"40023000","0","3290","35.2"
"40431000","0","3290","35.2"
"40698000","0","3291","35.6"
"40908000","0","3290","36.0"
"41117000","0","3290","36.0"
"41327000","0","3290","36.0"
"41736000","0","3290","36.3"
"42003000","0","3291","36.7"
"42212000","0","3290","36.7"
"42422000","0","3291","37.1"
"42632000","0","3290","37.1"
"43039000","0","3290","37.4"
"43306000","0","3291","37.8"
"43516000","0","3291","37.8"
"43725000","0","3291","38.2"
"43936000","0","3291","38.2"
"44343000","0","3291","38.6"
"44611000","0","3291","38.9"
"44819000","0","3291","38.9"
"45030000","0","3291","39.3"
"45240000","0","3291","39.3"
"45647000","0","3291","39.7"
"45914000","0","3291","40.1"
"46124000","0","3291","40.1"
"46334000","0","3291","40.4"
"46543000","0","3291","40.4"
"46950000","0","3291","40.8"
"47217000","0","3291","41.2"
"47426000","0","3290","41.2"
"47635000","0","3291","41.6"
"47845000","0","3290","41.6"
"48258000","0","3291","41.9"
"48526000","0","3291","42.3"
"48736000","0","3290","42.3"
"48946000","0","3291","42.7"
"49155000","0","3291","42.7"
"49563000","0","3291","43.1"
"49831000","0","3291","43.4"
"50040000","0","3290","43.4"
"50250000","0","3291","43.8"
"50459000","0","3291","43.8"
"50867000","0","3291","44.2"
"51135000","0","3291","44.6"
"51344000","0","3290","44.6"
"51554000","0","3291","44.9"
"51764000","0","3290","44.9"
"52228000","0","3290","45.3"
"52438000","0","3291","45.7"
"52648000","0","3290","45.7"
"52858000","0","3290","45.7"
"53067000","0","3290","46.1"
"53475000","0","3290","46.4"
"53741000","0","3289","46.4"
"53951000","0","3290","46.8"
"54161000","0","3290","46.8"
"54370000","0","3290","47.2"
"54778000","0","3290","47.6"
"55046000","0","3290","47.6"
"55256000","257400","3290","47.9"
"55466000","257400","3290","47.9"
"55675000","257400","3290","48.3"
"56082000","257400","3290","48.7"
"56349000","257400","3290","48.7"
"56559000","257400","3290","49.1"
"56769000","257400","3290","49.1"
"56979000","257400","3290","49.4"
"57391000","257400","3290","49.8"
"57659000","257400","3289","49.8"
"57868000","257400","3290","50.2"
"58084000","257400","3289","50.2"
"58293000","257400","3290","50.6"
"58701000","257400","3289","50.9"
"58968000","257400","3289","50.9"
"59177000","257400","3289","51.3"
"59387000","257400","3289","51.3"
"59597000","257400","3290","51.7"
"60004000","257400","3289","52.1"
"60271000","257400","3289","52.1"
"60481000","257400","3290","52.4"
"60691000","257400","3289","52.4"
"60902000","257400","3290","52.8"
"61307000","257400","3289","53.2"
"61575000","257400","3289","53.2"
"61785000","257400","3290","53.6"
"61995000","257400","3289","53.6"
"62205000","257400","3290","53.9"
"62612000","257400","3290","54.3"
"62879000","257400","3289","54.3"
"63089000","257400","3290","54.7"
"63298000","257400","3290","54.7"
"63508000","257400","3290","55.1"
"63914000","257400","3290","55.1"
"64182000","257400","3290","55.4"
"64390000","257400","3290","55.8"
"64600000","257400","3290","55.8"
"64810000","257400","3290","56.2"
"65217000","257400","3290","56.2"
"65483000","257400","3290","56.6"
"65693000","257400","3290","56.9"
"65902000","257400","3290","56.9"
"66110000","257400","3290","56.9"
"66518000","257400","3290","57.3"
"66785000","257400","3290","57.7"
"66995000","257400","3290","57.7"
"67206000","257400","3290","58.1"
"67414000","257400","3290","58.1"
"67821000","257400","3290","58.4"
"68094000","257400","3290","58.8"
"68305000","257400","3290","58.8"
"68514000","257400","3290","59.2"
"68723000","257400","3289","59.2"
"69187000","257400","3289","59.5"
"69397000","257400","3289","59.9"
"69608000","257400","3289","59.9"
"69818000","257400","3290","60.3"
"70027000","257400","3289","60.3"
"70434000","257400","3289","60.7"
"70702000","257400","3289","61.1"
"70911000","257400","3289","61.1"
"71120000","257400","3289","61.4"
"71330000","257400","3289","61.4"
"71738000","257400","3289","61.8"
"72005000","257400","3289","62.2"
"72214000","257400","3289","62.2"
"72424000","257400","3289","62.6"
"72634000","257400","3289","62.6"
"73042000","257400","3289","62.9"
"73310000","257400","3289","63.3"
"73519000","257400","3289","63.3"
"73729000","257400","3289","63.7"
"73939000","257400","3289","63.7"
"74346000","257400","3289","64.1"
"74613000","257400","3289","64.4"
"74822000","257400","3288","64.4"
"75032000","257400","3289","64.8"
"75243000","257400","3288","64.8"
"75650000","257400","3289","65.2"
"75919000","257400","3289","65.6"
"76128000","257400","3288","65.6"
"76338000","257400","3289","65.9"
"76547000","257400","3288","65.9"
"76955000","257400","3289","66.3"
"77222000","257400","3289","66.7"
"77432000","257400","3288","66.7"
"77642000","257400","3289","67.1"
"77851000","257400","3289","67.1"
"78265000","257400","3289","67.4"
"78533000","257400","3289","67.8"
"78742000","257400","3288","67.8"
"78951000","257400","3289","67.8"
"79162000","257400","3289","68.2"
"79624000","257400","3288","68.6"
"79834000","257400","3289","68.6"
"80045000","257400","3289","68.9"
"80254000","257400","3288","68.9"
"80463000","257400","3289","69.3"
"80871000","257400","3289","69.7"
"81138000","257400","3289","69.7"
"81348000","257400","3289","70.1"
"81557000","257400","3289","70.1"
"81766000","257400","3289","70.4"
"82174000","257400","3289","70.8"
"82441000","257400","3289","70.8"
"82650000","257400","3289","71.2"
"82860000","257400","3289","71.2"
"83069000","257400","3289","71.6"
"83476000","257400","3289","71.9"
"83744000","257400","3289","71.9"
"83953000","257400","3290","72.3"
"84164000","257400","3289","72.3"
"84374000","257400","3290","72.7"
"84838000","257400","3289","73.1"
"85048000","257400","3289","73.1"
"85258000","257400","3290","73.4"
"85468000","257400","3289","73.4"
"85678000","257400","3290","73.8"
"86086000","257400","3289","74.2"
"86353000","257400","3289","74.2"
"86563000","257400","3290","74.6"
"86773000","257400","3289","74.6"
"86982000","257400","3289","74.9"
"87390000","257400","3289","74.9"
"87658000","257400","3289","75.3"
"87866000","257400","3289","75.7"
"88081000","257400","3289","75.7"
"88291000","257400","3289","76.1"
"88698000","257400","3289","76.1"
"88966000","257400","3289","76.4"
"89176000","257400","3290","76.8"
"89386000","257400","3289","76.8"
"89595000","257400","3290","76.8"
"90061000","257400","3289","77.6"
"90270000","257400","3289","77.6"
"90479000","257400","3290","77.9"
"90689000","257400","3289","77.9"
"90897000","257400","3289","77.9"
"91303000","257400","3288","78.3"
"91570000","257400","3289","78.7"
"91780000","257400","3289","78.7"
"91990000","257400","3288","79.0"
"92200000","257400","3289","79.0"
"92607000","257400","3289","79.4"
"92874000","257400","3289","79.8"
"93084000","257400","3289","79.8"
"93294000","257400","3289","80.2"
"93504000","257400","3289","80.2"
"93912000","257400","3289","80.5"
"94179000","257400","3289","80.9"
"94390000","257400","3289","80.9"
"94599000","257400","3289","81.3"
"94808000","257400","3289","81.3"
"95214000","257400","3289","81.7"
"95482000","257400","3289","82.1"
"95691000","257400","3289","82.1"
"95900000","257400","3289","82.4"
"96110000","257400","3289","82.4"
"96518000","257400","3289","82.8"
"96786000","257400","3290","83.2"
"96995000","257400","3289","83.2"
"97205000","257400","3289","83.6"
"97415000","257400","3289","83.6"
"97823000","257400","3289","83.9"
"98096000","257400","3290","84.3"
"98305000","257400","3289","84.3"
"98515000","257400","3289","84.7"
"98725000","257400","3289","84.7"
"99133000","257400","3289","85.0"
"99405000","257400","3289","85.4"
"99615000","257400","3289","85.4"
"99825000","257400","3289","85.8"
"100035000","257400","3289","85.8"
"100443000","257400","3289","86.2"
"100710000","257400","3289","86.6"
"100920000","257400","3289","86.6"
"101130000","257400","3290","86.9"
"101339000","257400","3289","86.9"
"101746000","257400","3289","87.3"
"102013000","257400","3289","87.7"
"102224000","257400","3289","87.7"
"102433000","257400","3289","87.7"
"102642000","257400","3289","88.0"
"103050000","257400","3289","88.4"
"103317000","257400","3290","88.4"
"103526000","257400","3289","88.8"
"103736000","257400","3290","88.8"
"103946000","257400","3290","89.2"
"104353000","257400","3290","89.5"
"104621000","257400","3290","89.5"
"104831000","257400","3290","89.9"
"105042000","257400","3290","89.9"
"105252000","257400","3290","90.3"
"105659000","257400","3291","90.7"
"105926000","257400","3290","90.7"
"106136000","257400","3291","91.0"
"106346000","257400","3290","91.0"
"106555000","257400","3290","91.4"
