Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3304","1.1"
"268000","0","3293","1.5"
"477000","0","3287","1.5"
"687000","0","3293","1.8"
"897000","0","3290","1.8"
"1304000","0","3288","2.2"
"1572000","0","3290","2.2"
"1782000","0","3289","2.6"
"1990000","0","3287","2.6"
"2200000","0","3289","3.0"
"2607000","0","3288","3.3"
"2874000","0","3287","3.3"
"3084000","0","3289","3.7"
"3293000","0","3288","3.7"
"3501000","0","3288","3.7"
"3909000","0","3289","4.1"
"4176000","0","3288","4.4"
"4387000","0","3289","4.4"
"4597000","0","3289","4.8"
"4805000","0","3288","4.8"
"5212000","0","3288","5.2"
"5480000","0","3288","5.6"
"5690000","0","3288","5.6"
"5900000","0","3289","5.9"
"6109000","0","3288","5.9"
"6515000","0","3288","6.3"
"6781000","0","3288","6.3"
"6991000","0","3288","6.7"
"7201000","0","3289","6.7"
"7411000","0","3288","7.1"
"7819000","0","3288","7.4"
"8086000","0","3289","7.4"
"8296000","0","3288","7.8"
"8506000","0","3288","7.8"
"8715000","0","3289","7.8"
"9121000","0","3288","8.2"
"9388000","0","3289","8.5"
"9598000","0","3289","8.5"
"9813000","0","3289","8.9"
"10023000","0","3289","8.9"
"10431000","0","3289","9.3"
"10698000","0","3289","9.7"
"10908000","0","3289","9.7"
"11117000","0","3289","10.0"
"11327000","0","3289","10.0"
"11733000","0","3288","10.4"
"12000000","0","3289","10.4"
"12210000","0","3289","10.8"
"12419000","0","3289","10.8"
"12629000","0","3289","11.2"
"13037000","0","3288","11.5"
"13304000","0","3288","11.5"
"13513000","0","3289","11.9"
"13723000","0","3288","11.9"
"13932000","0","3288","12.3"
"14339000","0","3289","12.3"
"14606000","0","3288","12.7"
"14817000","0","3289","12.7"
"15026000","0","3289","13.0"
"15235000","0","3288","13.0"
"15642000","0","3289","13.4"
"15910000","0","3289","13.8"
"16120000","0","3288","13.8"
"16329000","0","3289","14.2"
"16539000","0","3289","14.2"
"16947000","0","3289","14.5"
"17214000","0","3289","14.9"
"17423000","0","3288","14.9"
"17633000","0","3289","14.9"
"17844000","0","3289","15.3"
"18252000","0","3289","15.6"
"18519000","0","3289","15.6"
"18729000","0","3290","16.0"
"18938000","0","3289","16.0"
"19148000","0","3290","16.4"
"19613000","0","3290","16.8"
"19829000","0","3289","16.8"
"20038000","0","3290","16.8"
"20248000","0","3289","17.1"
"20457000","0","3289","17.1"
"20864000","0","3290","17.5"
"21131000","0","3289","17.9"
"21340000","0","3289","17.9"
"21549000","0","3290","18.3"
"21759000","0","3289","18.3"
"22167000","0","3290","18.6"
"22435000","0","3289","19.0"
"22644000","0","3289","19.0"
"22854000","0","3289","19.0"
"23064000","0","3289","19.4"
"23528000","0","3288","19.7"
"23738000","0","3289","19.7"
"23948000","0","3289","20.1"
"24157000","0","3288","20.1"
"24366000","0","3289","20.5"
"24831000","0","3289","20.9"
"25041000","0","3288","20.9"
"25251000","0","3289","20.9"
"25460000","0","3289","21.2"
