Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3309","1.1"
"268000","0","3299","1.1"
"478000","0","3291","1.4"
"687000","0","3294","1.4"
"898000","0","3292","1.8"
"1305000","0","3289","2.2"
"1572000","0","3291","2.2"
"1781000","0","3290","2.6"
"1989000","0","3288","2.6"
"2199000","0","3290","3.0"
"2664000","0","3290","3.3"
"2874000","0","3288","3.3"
"3082000","0","3289","3.3"
"3292000","0","3289","3.7"
"3500000","0","3287","3.7"
"3965000","0","3288","4.1"
"4175000","0","3288","4.4"
"4383000","0","3287","4.4"
"4593000","0","3288","4.8"
"4803000","0","3288","4.8"
"5208000","0","3287","5.2"
"5476000","0","3288","5.6"
"5687000","0","3288","5.6"
"5896000","0","3288","5.6"
"6106000","0","3288","5.9"
"6576000","0","3288","6.3"
"6786000","0","3288","6.3"
"6996000","0","3288","6.7"
"7205000","0","3287","6.7"
"7414000","0","3288","7.1"
"7880000","0","3288","7.4"
"8089000","0","3287","7.4"
"8299000","0","3288","7.8"
"8508000","0","3288","7.8"
"8718000","0","3288","7.8"
"9182000","0","3288","8.2"
"9392000","0","3288","8.5"
"9601000","0","3288","8.5"
"9811000","0","3288","8.9"
"10019000","0","3288","8.9"
"10484000","0","3288","9.3"
"10694000","0","3288","9.7"
"10903000","0","3288","9.7"
"11113000","0","3288","10.0"
"11323000","0","3288","10.0"
"11729000","0","3288","10.4"
"11997000","0","3288","10.4"
"12206000","0","3288","10.8"
"12415000","0","3288","10.8"
"12624000","0","3288","11.2"
"13032000","0","3288","11.5"
"13299000","0","3287","11.5"
"13509000","0","3288","11.9"
"13719000","0","3287","11.9"
"13928000","0","3288","12.3"
"14336000","0","3288","12.3"
"14603000","0","3288","12.7"
"14813000","0","3288","12.7"
"15022000","0","3289","13.0"
"15233000","0","3288","13.0"
"15639000","0","3288","13.4"
"15907000","0","3289","13.8"
"16116000","0","3288","13.8"
"16325000","0","3288","14.2"
"16540000","0","3289","14.2"
"16948000","0","3289","14.5"
"17216000","0","3289","14.9"
"17425000","0","3289","14.9"
"17635000","0","3289","14.9"
"17845000","0","3289","15.3"
"18245000","0","3289","15.6"
"18521000","0","3289","15.6"
"18731000","0","3290","16.0"
"18941000","0","3289","16.0"
"19151000","0","3290","16.4"
"19557000","0","3290","16.8"
"19824000","0","3289","16.8"
"20033000","0","3290","17.1"
"20243000","0","3290","17.1"
"20451000","0","3289","17.1"
"20858000","0","3290","17.5"
"21126000","0","3290","17.9"
"21336000","0","3290","17.9"
"21546000","0","3290","18.3"
"21754000","0","3289","18.3"
"22161000","0","3289","18.6"
"22429000","0","3289","19.0"
"22638000","0","3289","19.0"
"22847000","0","3289","19.4"
"23058000","0","3290","19.4"
"23523000","0","3289","19.7"
"23733000","0","3290","19.7"
"23942000","0","3290","20.1"
"24152000","0","3289","20.1"
"24360000","0","3290","20.5"
"24768000","0","3290","20.9"
"25035000","0","3289","20.9"
"25245000","0","3290","21.2"
"25455000","0","3290","21.2"
"25665000","0","3290","21.6"
"26071000","0","3290","21.6"
"26339000","0","3290","22.0"
"26554000","0","3290","22.4"
"26763000","0","3290","22.4"
"26971000","0","3289","22.4"
"27379000","0","3290","22.7"
"27646000","0","3289","23.1"
"27855000","0","3289","23.1"
"28065000","0","3289","23.5"
"28275000","0","3289","23.5"
"28682000","0","3289","23.9"
"28950000","0","3289","24.2"
"29160000","0","3289","24.2"
"29370000","0","3289","24.6"
"29580000","0","3289","24.6"
"30044000","0","3289","25.0"
"30254000","0","3289","25.0"
"30464000","0","3289","25.4"
"30672000","0","3289","25.4"
"30882000","0","3289","25.7"
"31290000","0","3289","26.1"
"31557000","0","3288","26.1"
"31771000","0","3288","26.5"
"31981000","0","3288","26.5"
"32189000","0","3288","26.9"
"32654000","0","3288","26.9"
"32863000","0","3289","27.2"
"33073000","0","3288","27.2"
"33283000","0","3288","27.6"
"33493000","0","3288","27.6"
"33900000","0","3289","28.0"
"34168000","0","3289","28.3"
"34378000","0","3288","28.3"
