Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3312","1.1"
"266000","0","3296","1.1"
"477000","0","3301","1.4"
"685000","0","3296","1.4"
"894000","0","3293","1.4"
"1302000","0","3295","1.8"
"1570000","0","3293","2.2"
"1779000","0","3291","2.2"
"1989000","0","3293","2.6"
"2199000","0","3291","2.6"
"2605000","0","3290","2.9"
"2872000","0","3291","2.9"
"3087000","0","3290","3.3"
"3295000","0","3289","3.3"
"3504000","0","3290","3.7"
"3970000","0","3289","4.1"
"4179000","0","3288","4.1"
"4389000","0","3290","4.4"
"4604000","0","3289","4.4"
"4812000","0","3288","4.4"
"5277000","0","3289","4.8"
"5488000","0","3288","5.2"
"5697000","0","3288","5.2"
"5906000","0","3289","5.5"
"6116000","0","3288","5.5"
"6522000","0","3288","5.9"
"6790000","0","3288","5.9"
"7000000","0","3288","6.3"
"7209000","0","3288","6.3"
"7420000","0","3288","6.7"
"7826000","0","3288","7.0"
"8094000","0","3288","7.0"
"8304000","0","3288","7.0"
"8514000","0","3288","7.4"
"8723000","0","3288","7.4"
"9131000","0","3288","7.8"
"9398000","0","3289","8.1"
"9608000","0","3288","8.1"
"9817000","0","3289","8.5"
"10028000","0","3289","8.5"
"10434000","0","3288","8.9"
"10701000","0","3289","8.9"
"10911000","0","3288","9.3"
"11120000","0","3289","9.3"
"11331000","0","3289","9.6"
"11737000","0","3288","9.6"
"12005000","0","3289","10.0"
"12215000","0","3289","10.0"
"12424000","0","3289","10.4"
"12634000","0","3289","10.4"
"13042000","0","3289","10.7"
"13310000","0","3289","11.1"
"13519000","0","3288","11.1"
"13728000","0","3289","11.1"
"13936000","0","3289","11.5"
"14344000","0","3288","11.9"
"14616000","0","3288","11.9"
"14825000","0","3289","12.2"
"15035000","0","3288","12.2"
"15244000","0","3288","12.6"
"15652000","0","3289","12.6"
"15919000","0","3289","13.0"
"16129000","0","3289","13.0"
"16339000","0","3289","13.4"
"16549000","0","3289","13.4"
"16957000","0","3289","13.7"
"17224000","0","3290","14.1"
"17433000","0","3289","14.1"
"17643000","0","3289","14.1"
"17853000","0","3290","14.5"
"18259000","0","3289","14.8"
"18527000","0","3290","14.8"
"18736000","0","3290","15.2"
"18946000","0","3289","15.2"
"19154000","0","3290","15.2"
"19562000","0","3290","15.6"
"19829000","0","3290","16.0"
"20039000","0","3290","16.0"
"20249000","0","3290","16.3"
"20459000","0","3290","16.3"
"20865000","0","3290","16.7"
"21133000","0","3290","16.7"
"21343000","0","3290","17.1"
"21551000","0","3290","17.1"
"21760000","0","3290","17.5"
"22167000","0","3290","17.8"
"22434000","0","3289","17.8"
"22644000","0","3290","17.8"
"22854000","0","3289","18.2"
"23062000","0","3289","18.2"
"23527000","0","3290","18.6"
"23737000","0","3289","18.9"
"23945000","0","3289","18.9"
"24155000","0","3289","19.3"
"24365000","0","3289","19.3"
"24834000","0","3289","19.7"
"25044000","0","3289","19.7"
"25253000","0","3289","20.1"
"25461000","0","3288","20.1"
"25670000","0","3289","20.4"
"26078000","0","3288","20.4"
"26345000","0","3289","20.8"
"26555000","0","3289","20.8"
"26765000","0","3289","21.2"
"26975000","0","3289","21.2"
"27382000","0","3289","21.5"
"27649000","0","3289","21.9"
"27858000","0","3288","21.9"
"28067000","0","3289","21.9"
"28276000","0","3289","22.3"
"28683000","0","3289","22.7"
"28951000","0","3289","22.7"
"29160000","0","3289","23.0"
"29369000","0","3288","23.0"
"29578000","0","3289","23.4"
"29986000","0","3288","23.4"
"30253000","0","3288","23.8"
"30463000","0","3288","23.8"
"30672000","0","3289","24.2"
"30882000","0","3289","24.2"
"31290000","0","3289","24.5"
"31558000","0","3289","24.9"
"31767000","0","3289","24.9"
"31977000","0","3289","24.9"
"32187000","0","3289","25.3"
"32594000","0","3289","25.6"
"32861000","0","3289","25.6"
"33070000","0","3289","26.0"
"33280000","0","3288","26.0"
"33490000","0","3289","26.0"
"33955000","0","3289","26.4"
"34165000","0","3289","26.8"
"34375000","0","3289","26.8"
"34585000","0","3289","27.1"
"34800000","0","3289","27.1"
"35263000","0","3289","27.5"
"35473000","0","3289","27.5"
"35683000","0","3289","27.9"
"35894000","0","3289","27.9"
"36103000","0","3289","28.2"
"36510000","0","3289","28.2"
"36777000","0","3289","28.6"
"36987000","0","3289","28.6"
"37197000","0","3289","29.0"
"37407000","0","3289","29.0"
"37814000","0","3290","29.4"
"38081000","0","3289","29.7"
"38290000","0","3289","29.7"
"38500000","0","3290","29.7"
"38709000","0","3290","30.1"
"39174000","0","3290","30.5"
"39383000","0","3289","30.5"
"39594000","0","3290","30.9"
"39803000","0","3289","30.9"
"40012000","0","3289","31.2"
"40420000","0","3289","31.2"
"40687000","0","3289","31.6"
"40897000","0","3290","31.6"
"41107000","0","3289","32.0"
"41317000","0","3289","32.0"
"41780000","0","3289","32.3"
"41990000","0","3289","32.7"
"42199000","0","3289","32.7"
"42408000","0","3289","32.7"
"42618000","0","3289","33.1"
"43026000","0","3290","33.5"
"43293000","0","3289","33.5"
"43503000","0","3289","33.8"
"43712000","0","3289","33.8"
"43921000","0","3289","34.2"
"44328000","0","3289","34.2"
"44601000","0","3289","34.6"
"44810000","0","3288","34.6"
"45024000","0","3289","34.9"
"45234000","0","3289","34.9"
"45700000","0","3289","35.3"
"45910000","0","3289","35.7"
"46119000","0","3289","35.7"
"46329000","0","3289","35.7"
"46538000","0","3289","36.1"
"46945000","0","3289","36.4"
"47213000","0","3289","36.4"
"47423000","0","3289","36.8"
"47632000","0","3288","36.8"
"47842000","0","3289","36.8"
"48250000","0","3289","37.2"
"48517000","0","3289","37.6"
"48727000","0","3289","37.6"
"48937000","0","3289","37.9"
"49147000","0","3289","37.9"
"49554000","0","3290","38.3"
"49823000","0","3289","38.3"
"50032000","0","3290","38.7"
"50242000","0","3289","38.7"
"50452000","0","3290","39.0"
"50859000","0","3289","39.0"
"51126000","0","3290","39.4"
"51337000","0","3290","39.4"
"51546000","0","3290","39.8"
"51755000","0","3290","39.8"
"52163000","0","3290","40.1"
"52431000","0","3290","40.5"
"52641000","0","3290","40.5"
"52851000","0","3291","40.5"
"53061000","0","3290","40.9"
"53468000","0","3290","41.3"
"53735000","0","3290","41.3"
"53945000","0","3290","41.6"
"54153000","0","3289","41.6"
"54362000","0","3290","41.6"
"54775000","0","3290","42.0"
"55044000","0","3290","42.4"
"55254000","0","3290","42.4"
"55463000","0","3291","42.8"
"55673000","0","3290","42.8"
"56081000","0","3291","43.1"
"56349000","0","3291","43.1"
"56559000","0","3290","43.5"
"56768000","0","3291","43.5"
"56978000","0","3291","43.9"
"57385000","0","3290","44.3"
"57652000","0","3291","44.3"
"57863000","0","3291","44.6"
"58072000","0","3291","44.6"
"58281000","0","3291","44.6"
"58688000","0","3290","45.0"
"58956000","0","3291","45.4"
"59166000","0","3291","45.4"
"59376000","0","3291","45.7"
"59586000","0","3291","45.7"
"59994000","0","3292","46.1"
"60262000","0","3291","46.1"
"60471000","0","3291","46.5"
"60681000","0","3291","46.5"
"60891000","0","3292","46.9"
"61298000","0","3292","47.2"
"61566000","0","3291","47.2"
"61776000","0","3292","47.2"
"61985000","228100","3291","47.6"
"62194000","228100","3291","47.6"
"62659000","228100","3291","48.0"
"62869000","228100","3291","48.3"
"63078000","228100","3290","48.3"
"63287000","228100","3291","48.7"
"63497000","228100","3290","48.7"
"63905000","228100","3291","49.1"
"64173000","228100","3290","49.1"
"64383000","228100","3291","49.5"
"64599000","228100","3290","49.5"
"64809000","228100","3291","49.8"
"65273000","228100","3290","50.2"
"65482000","228100","3290","50.2"
"65691000","228100","3291","50.2"
"65901000","228100","3290","50.6"
"66109000","228100","3290","50.6"
"66516000","228100","3291","50.9"
"66784000","228100","3290","51.3"
"66993000","228100","3290","51.3"
"67203000","228100","3291","51.3"
"67414000","228100","3290","51.7"
"67821000","228100","3291","52.1"
"68089000","228100","3290","52.1"
"68299000","228100","3291","52.4"
"68508000","228100","3290","52.4"
"68717000","228100","3290","52.4"
"69124000","228100","3290","52.8"
"69391000","228100","3290","53.2"
"69599000","228100","3290","53.2"
"69809000","228100","3290","53.6"
"70019000","228100","3290","53.6"
"70485000","228100","3290","53.9"
"70695000","228100","3290","53.9"
"70905000","228100","3290","54.3"
"71115000","228100","3290","54.3"
"71325000","228100","3290","54.7"
"71790000","228100","3291","55.0"
"71999000","228100","3290","55.0"
"72208000","228100","3291","55.4"
"72418000","228100","3290","55.4"
"72628000","228100","3290","55.4"
"73035000","228100","3290","55.8"
"73303000","228100","3290","56.2"
"73512000","228100","3289","56.2"
"73722000","228100","3290","56.5"
"73932000","228100","3289","56.5"
"74395000","228100","3289","56.9"
"74610000","228100","3289","56.9"
"74820000","228100","3289","57.3"
"75028000","228100","3288","57.3"
"75238000","228100","3289","57.7"
"75645000","228100","3289","57.7"
"75913000","228100","3289","58.0"
"76123000","228100","3290","58.0"
