Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3280","1.1"
"210000","0","3293","1.1"
"420000","0","3289","1.4"
"629000","0","3285","1.4"
"839000","0","3289","1.8"
"1304000","0","3288","2.2"
"1514000","0","3285","2.2"
"1723000","0","3288","2.6"
"1933000","0","3287","2.6"
"2143000","0","3289","3.0"
"2550000","0","3289","3.3"
"2823000","0","3287","3.3"
"3038000","0","3289","3.7"
"3248000","0","3288","3.7"
"3458000","0","3290","4.1"
"3923000","0","3289","4.4"
"4133000","0","3288","4.4"
"4342000","0","3289","4.8"
"4552000","0","3289","4.8"
"4762000","0","3290","5.2"
"5169000","0","3290","5.6"
"5437000","0","3289","5.6"
"5647000","0","3290","6.0"
"5856000","0","3289","6.0"
"6065000","0","3289","6.3"
"6473000","0","3290","6.3"
"6740000","0","3289","6.7"
"6950000","0","3290","6.7"
"7160000","0","3290","7.1"
"7369000","0","3289","7.1"
"7834000","0","3290","7.4"
"8044000","0","3289","7.8"
"8254000","0","3290","7.8"
"8464000","0","3290","8.2"
"8673000","0","3289","8.2"
"9081000","0","3289","8.6"
"9349000","0","3289","8.9"
"9557000","0","3289","8.9"
"9767000","0","3289","9.3"
"9976000","0","3289","9.3"
"10384000","0","3289","9.7"
"10652000","0","3289","10.1"
"10862000","0","3289","10.1"
"11071000","0","3289","10.4"
"11281000","0","3289","10.4"
"11688000","0","3289","10.8"
"11956000","0","3289","11.2"
"12165000","0","3289","11.2"
"12374000","0","3289","11.6"
"12584000","0","3289","11.6"
"13053000","0","3289","11.9"
"13262000","0","3289","12.3"
"13472000","0","3289","12.3"
"13682000","0","3290","12.3"
"13893000","0","3289","12.7"
"14298000","0","3289","13.1"
"14565000","0","3290","13.1"
"14776000","0","3289","13.4"
"14986000","0","3290","13.4"
"15196000","0","3289","13.8"
"15662000","0","3290","14.2"
"15872000","0","3290","14.2"
"16082000","0","3290","14.6"
"16292000","0","3290","14.6"
"16501000","0","3290","14.9"
"16967000","0","3290","15.3"
"17176000","0","3290","15.3"
"17386000","0","3290","15.7"
"17596000","0","3290","15.7"
"17806000","0","3290","16.1"
"18271000","0","3290","16.4"
"18481000","0","3290","16.4"
"18691000","0","3290","16.8"
"18901000","0","3289","16.8"
"19111000","0","3290","17.2"
"19576000","0","3290","17.6"
"19786000","0","3290","17.6"
"19996000","0","3289","17.9"
"20205000","0","3289","17.9"
"20415000","0","3290","18.3"
"20822000","0","3290","18.3"
"21089000","0","3290","18.7"
"21299000","0","3290","18.7"
"21509000","0","3290","19.1"
"21717000","0","3290","19.1"
"22126000","0","3290","19.4"
"22392000","0","3290","19.8"
"22603000","0","3290","19.8"
"22812000","0","3290","20.2"
"23027000","0","3290","20.2"
"23493000","0","3290","20.5"
"23703000","0","3290","20.9"
"23911000","0","3290","20.9"
"24120000","0","3290","21.3"
"24330000","0","3290","21.3"
"24738000","0","3290","21.7"
"25006000","0","3290","22.1"
"25215000","0","3290","22.1"
"25424000","0","3290","22.4"
"25634000","0","3290","22.4"
"26042000","0","3291","22.8"
"26310000","0","3290","23.2"
"26519000","0","3290","23.2"
"26728000","0","3290","23.6"
"26938000","0","3290","23.6"
"27346000","0","3291","23.9"
"27614000","0","3291","24.3"
"27823000","0","3290","24.3"
"28033000","0","3291","24.7"
"28243000","0","3291","24.7"
"28643000","0","3291","25.0"
"28920000","0","3291","25.0"
"29129000","0","3290","25.4"
"29338000","0","3291","25.4"
"29548000","0","3290","25.8"
"30014000","0","3290","26.2"
"30223000","0","3291","26.2"
"30433000","0","3291","26.5"
"30643000","0","3291","26.5"
"30852000","0","3290","26.9"
"31260000","0","3290","27.3"
"31527000","0","3290","27.3"
"31737000","0","3290","27.7"
"31947000","0","3290","27.7"
"32157000","0","3290","28.0"
"32565000","0","3290","28.4"
"32832000","0","3290","28.4"
"33046000","0","3290","28.8"
"33256000","0","3290","28.8"
"33467000","0","3290","29.2"
"33875000","0","3290","29.5"
"34142000","0","3290","29.5"
"34351000","0","3290","29.9"
"34561000","0","3290","29.9"
"34771000","0","3291","30.3"
"35179000","0","3291","30.7"
"35446000","0","3290","30.7"
"35655000","0","3291","31.0"
"35865000","0","3290","31.0"
"36074000","0","3291","31.4"
"36481000","0","3290","31.4"
"36749000","0","3290","31.8"
"36959000","0","3291","32.2"
"37169000","0","3291","32.2"
"37377000","0","3290","32.5"
"37784000","0","3290","32.5"
"38052000","0","3290","32.9"
"38262000","0","3291","32.9"
"38471000","0","3291","33.3"
"38680000","0","3291","33.3"
"39088000","0","3290","33.7"
"39356000","0","3290","34.0"
"39564000","0","3290","34.0"
"39774000","0","3290","34.4"
"39984000","0","3290","34.4"
"40449000","0","3290","34.8"
"40659000","0","3290","35.2"
"40869000","0","3291","35.2"
"41078000","0","3290","35.5"
"41286000","0","3290","35.5"
"41694000","0","3290","35.9"
"41962000","0","3290","36.3"
"42171000","0","3290","36.3"
"42380000","0","3290","36.7"
"42590000","0","3290","36.7"
"43061000","0","3290","37.0"
"43271000","0","3290","37.4"
"43480000","0","3289","37.4"
"43690000","0","3290","37.8"
"43900000","0","3289","37.8"
"44305000","0","3289","38.2"
"44574000","0","3290","38.5"
"44788000","0","3289","38.5"
"44997000","0","3289","38.5"
"45207000","0","3289","38.9"
"45672000","0","3289","39.3"
"45881000","0","3289","39.3"
"46090000","0","3289","39.7"
"46300000","0","3289","39.7"
"46510000","0","3289","40.0"
"46975000","0","3289","40.4"
"47185000","0","3289","40.4"
"47395000","0","3289","40.8"
"47605000","0","3289","40.8"
"47814000","0","3289","41.2"
"48280000","0","3289","41.5"
"48489000","0","3289","41.5"
"48698000","0","3289","41.9"
"48908000","0","3289","41.9"
"49118000","0","3289","42.3"
"49583000","0","3289","42.7"
"49793000","0","3289","42.7"
"50003000","0","3289","43.0"
"50212000","0","3289","43.0"
"50422000","0","3289","43.4"
"50886000","0","3289","43.8"
"51096000","0","3289","43.8"
"51304000","0","3289","44.2"
"51515000","0","3289","44.2"
"51723000","0","3289","44.5"
"52131000","0","3289","44.5"
"52399000","0","3289","44.9"
"52608000","0","3289","44.9"
"52816000","0","3288","45.3"
"53032000","0","3289","45.3"
"53438000","0","3289","45.6"
"53706000","0","3289","46.0"
"53916000","0","3289","46.0"
"54126000","0","3289","46.4"
"54335000","0","3289","46.4"
"54742000","0","3289","46.8"
"55009000","0","3289","47.1"
"55219000","0","3290","47.1"
"55429000","0","3289","47.5"
"55637000","0","3289","47.5"
"56101000","252800","3289","47.9"
"56311000","252800","3289","48.3"
"56519000","252800","3289","48.3"
"56729000","252800","3289","48.7"
"56940000","252800","3289","48.7"
"57347000","252800","3289","49.0"
"57615000","252800","3289","49.4"
"57824000","252800","3289","49.4"
"58033000","252800","3289","49.8"
"58243000","252800","3289","49.8"
"58650000","252800","3289","50.1"
"58918000","252800","3289","50.5"
"59127000","252800","3289","50.5"
"59337000","252800","3289","50.9"
"59547000","252800","3289","50.9"
"60011000","252800","3289","51.3"
"60221000","252800","3289","51.7"
"60431000","252800","3289","51.7"
"60639000","252800","3289","51.7"
"60848000","252800","3289","52.0"
"61313000","252800","3288","52.4"
"61523000","252800","3289","52.4"
"61733000","252800","3289","52.8"
"61943000","252800","3289","52.8"
"62152000","252800","3289","53.1"
"62617000","252800","3289","53.5"
"62826000","252800","3289","53.5"
"63042000","252800","3289","53.9"
"63251000","252800","3288","53.9"
"63461000","252800","3288","54.3"
"63926000","252800","3288","54.6"
"64135000","252800","3288","54.6"
"64345000","252800","3288","55.0"
"64555000","252800","3288","55.0"
"64765000","252800","3289","55.4"
"65231000","252800","3288","55.8"
"65440000","252800","3288","55.8"
"65650000","252800","3289","56.1"
"65859000","252800","3289","56.1"
"66067000","252800","3288","56.5"
"66532000","252800","3289","56.9"
"66742000","252800","3288","56.9"
"66952000","252800","3289","57.3"
"67160000","252800","3288","57.3"
"67370000","252800","3288","57.3"
"67777000","252800","3288","57.6"
"68045000","252800","3288","58.0"
"68253000","252800","3288","58.0"
"68463000","252800","3288","58.4"
"68672000","252800","3288","58.4"
"69080000","252800","3288","58.8"
"69348000","252800","3288","59.1"
"69556000","252800","3288","59.1"
"69766000","252800","3288","59.5"
"69976000","252800","3288","59.5"
"70442000","252800","3288","59.9"
"70651000","252800","3288","60.3"
"70861000","252800","3289","60.3"
"71070000","252800","3288","60.6"
"71280000","252800","3289","60.6"
"71687000","252800","3288","61.0"
"71955000","252800","3289","61.4"
"72165000","252800","3289","61.4"
"72374000","252800","3289","61.8"
"72583000","252800","3289","61.8"
"72995000","252800","3289","62.1"
"73262000","252800","3289","62.5"
"73471000","252800","3289","62.5"
"73682000","252800","3290","62.9"
"73892000","252800","3289","62.9"
"74298000","252800","3289","63.3"
"74565000","252800","3289","63.6"
"74774000","252800","3289","63.6"
"74985000","252800","3290","64.0"
"75194000","252800","3290","64.0"
"75601000","252800","3290","64.4"
"75869000","252800","3290","64.4"
"76078000","252800","3290","64.8"
"76287000","252800","3290","64.8"
"76497000","252800","3290","65.1"
"76963000","252800","3290","65.5"
"77171000","252800","3290","65.5"
"77380000","252800","3290","65.9"
"77590000","252800","3290","65.9"
"77799000","252800","3290","66.3"
"78264000","252800","3290","66.6"
"78474000","252800","3290","66.6"
"78684000","252800","3290","67.0"
"78894000","252800","3289","67.0"
"79103000","252800","3290","67.4"
"79510000","252800","3290","67.8"
"79778000","252800","3289","67.8"
"79987000","252800","3289","68.1"
"80197000","252800","3289","68.1"
"80407000","252800","3290","68.5"
"80814000","252800","3290","68.9"
"81082000","252800","3290","68.9"
"81291000","252800","3290","69.3"
"81502000","252800","3290","69.3"
"81711000","252800","3291","69.6"
"82175000","252800","3290","70.0"
"82385000","252800","3290","70.0"
"82594000","252800","3291","70.4"
"82803000","252800","3290","70.4"
"83018000","252800","3290","70.4"
"83483000","252800","3290","70.7"
"83692000","252800","3290","71.1"
"83902000","252800","3290","71.1"
"84112000","252800","3290","71.5"
"84323000","252800","3290","71.5"
"84730000","252800","3290","71.9"
"84997000","252800","3290","72.2"
"85206000","252800","3290","72.2"
"85416000","252800","3290","72.6"
"85626000","252800","3290","72.6"
"86034000","252800","3291","73.0"
"86302000","252800","3290","73.4"
"86511000","252800","3290","73.4"
"86726000","252800","3290","73.7"
"86936000","252800","3290","73.7"
"87343000","252800","3291","74.1"
"87611000","252800","3290","74.5"
"87820000","252800","3290","74.5"
"88030000","252800","3290","74.9"
"88239000","252800","3290","74.9"
"88646000","252800","3290","75.2"
"88915000","252800","3290","75.6"
"89124000","252800","3290","75.6"
"89334000","252800","3290","76.0"
"89544000","252800","3290","76.0"
"89951000","252800","3290","76.4"
"90219000","252800","3291","76.7"
"90429000","252800","3290","76.7"
"90638000","252800","3291","77.1"
"90848000","252800","3290","77.1"
"91313000","252800","3291","77.5"
"91524000","252800","3291","77.5"
"91734000","252800","3290","77.9"
"91943000","252800","3291","77.9"
"92152000","252800","3290","78.2"
"92560000","252800","3291","78.6"
"92827000","252800","3291","78.6"
"93042000","252800","3291","79.0"
"93251000","252800","3291","79.0"
"93461000","252800","3291","79.4"
"93869000","252800","3291","79.7"
"94136000","252800","3291","79.7"
"94346000","252800","3291","80.1"
"94556000","252800","3291","80.1"
"94766000","252800","3291","80.5"
"95231000","252800","3291","80.9"
"95440000","252800","3291","80.9"
"95649000","252800","3291","81.2"
"95859000","252800","3291","81.2"
"96069000","252800","3291","81.6"
"96534000","252800","3291","82.0"
"96744000","252800","3291","82.0"
"96954000","252800","3291","82.4"
"97163000","252800","3291","82.4"
"97372000","252800","3290","82.4"
"97780000","252800","3291","82.7"
"98047000","252800","3290","83.1"
"98257000","252800","3291","83.1"
"98467000","252800","3290","83.5"
"98676000","252800","3290","83.5"
"99141000","252800","3290","83.8"
"99350000","252800","3290","84.2"
"99560000","252800","3291","84.2"
"99770000","252800","3290","84.6"
"99979000","252800","3290","84.6"
"100444000","252800","3290","85.0"
"100653000","252800","3290","85.4"
"100862000","252800","3290","85.4"
"101071000","252800","3290","85.7"
"101281000","252800","3290","85.7"
"101678000","252800","3289","86.1"
"101953000","252800","3290","86.5"
"102163000","252800","3290","86.5"
"102373000","252800","3290","86.9"
"102583000","252800","3290","86.9"
"102996000","252800","3290","87.2"
"103263000","252800","3290","87.6"
"103473000","252800","3290","87.6"
"103682000","252800","3290","88.0"
"103892000","252800","3290","88.0"
"104299000","252800","3290","88.4"
"104567000","252800","3290","88.7"
"104777000","252800","3290","88.7"
"104987000","252800","3290","89.1"
"105195000","252800","3290","89.1"
"105603000","252800","3290","89.5"
"105871000","252800","3290","89.9"
"106081000","252800","3289","89.9"
"106291000","252800","3290","90.2"
"106501000","252800","3289","90.2"
"106906000","252800","3289","90.6"
"107173000","252800","3290","90.6"
"107382000","252800","3289","91.0"
"107591000","252800","3289","91.0"
"107800000","252800","3289","91.4"
"108208000","252800","3289","91.7"
"108474000","252800","3289","91.7"
"108684000","252800","3289","92.1"
"108894000","252800","3289","92.1"
"109103000","252800","3289","92.5"
"109510000","252800","3289","92.9"
"109778000","252800","3289","92.9"
"109987000","252800","3289","93.2"
"110197000","252800","3289","93.2"
"110406000","252800","3289","93.6"
"110814000","252800","3289","94.0"
"111081000","252800","3289","94.0"
"111290000","252800","3289","94.4"
