Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3270","1.1"
"266000","0","3287","1.5"
"481000","0","3285","1.8"
"689000","0","3281","1.8"
"899000","0","3286","2.2"
"1307000","0","3285","2.6"
"1573000","0","3284","3.0"
"1783000","0","3287","3.0"
"1992000","0","3286","3.3"
"2202000","0","3288","3.3"
"2602000","0","3287","3.7"
"2878000","0","3288","4.1"
"3088000","0","3288","4.5"
"3296000","0","3286","4.5"
"3505000","0","3288","4.8"
"3971000","0","3287","5.2"
"4181000","0","3288","5.6"
"4391000","0","3288","5.6"
"4601000","0","3289","6.0"
"4810000","0","3288","6.0"
"5275000","0","3289","6.7"
"5485000","0","3289","6.7"
"5693000","0","3288","7.1"
"5903000","0","3289","7.1"
"6112000","0","3288","7.5"
"6578000","0","3289","7.9"
"6788000","0","3289","8.2"
"6997000","0","3288","8.2"
"7207000","0","3289","8.6"
"7417000","0","3288","8.6"
"7824000","0","3289","9.4"
"8092000","0","3289","9.4"
"8302000","0","3289","9.7"
"8512000","0","3289","9.7"
"8721000","0","3290","10.1"
"9187000","0","3289","10.5"
"9397000","0","3290","10.9"
"9607000","0","3289","10.9"
"9817000","0","3290","11.2"
"10026000","0","3290","11.2"
"10496000","0","3290","12.0"
"10706000","0","3290","12.0"
"10916000","0","3290","12.4"
"11126000","0","3290","12.4"
"11337000","0","3290","12.8"
"11744000","0","3290","13.1"
"12012000","0","3291","13.5"
"12220000","0","3290","13.5"
"12430000","0","3291","13.9"
"12640000","0","3291","13.9"
"13047000","0","3291","14.2"
"13314000","0","3291","14.6"
"13524000","0","3291","15.0"
"13734000","0","3292","15.0"
"13943000","0","3292","15.4"
"14351000","0","3292","15.8"
"14618000","0","3292","16.1"
"14827000","0","3292","16.1"
"15036000","0","3292","16.5"
"15244000","0","3291","16.5"
"15651000","0","3291","16.9"
"15919000","0","3291","17.3"
"16128000","0","3291","17.6"
"16337000","0","3292","17.6"
"16547000","0","3292","18.0"
"16954000","0","3292","18.4"
"17221000","0","3291","18.8"
"17431000","0","3292","18.8"
"17641000","0","3291","19.2"
"17849000","0","3291","19.2"
"18313000","0","3291","19.9"
"18524000","0","3291","19.9"
"18734000","0","3292","20.3"
"18942000","0","3291","20.3"
"19152000","0","3292","20.7"
"19560000","0","3291","21.0"
"19826000","0","3291","21.4"
"20036000","0","3292","21.4"
"20245000","0","3291","21.8"
"20459000","0","3291","21.8"
"20866000","0","3291","22.2"
"21133000","0","3291","22.5"
"21343000","0","3291","22.9"
"21552000","0","3291","22.9"
"21762000","0","3291","23.3"
"22227000","0","3291","23.7"
"22437000","0","3291","24.0"
"22647000","0","3291","24.0"
"22857000","0","3291","24.4"
"23067000","0","3291","24.4"
"23475000","0","3291","25.2"
"23742000","0","3291","25.2"
"23952000","0","3291","25.6"
"24161000","0","3291","25.6"
"24371000","0","3291","25.9"
"24836000","0","3291","26.3"
"25046000","0","3291","26.7"
"25256000","0","3291","26.7"
"25466000","0","3291","27.1"
"25676000","0","3291","27.1"
"26142000","0","3291","27.8"
"26350000","0","3291","27.8"
"26560000","0","3291","28.2"
"26770000","0","3291","28.2"
"26979000","0","3291","28.6"
"27387000","0","3291","28.9"
"27653000","0","3291","29.3"
"27863000","0","3291","29.3"
"28072000","0","3291","29.7"
"28281000","0","3291","29.7"
"28688000","0","3291","30.1"
"28956000","0","3291","30.4"
"29165000","0","3291","30.8"
"29375000","0","3291","30.8"
"29585000","0","3291","31.2"
"30050000","0","3291","31.6"
"30258000","0","3291","32.0"
"30474000","0","3291","32.0"
