Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3283","1.1"
"267000","0","3277","1.1"
"477000","0","3288","1.4"
"688000","0","3286","1.4"
"896000","0","3284","1.8"
"1302000","0","3287","1.8"
"1569000","0","3286","2.2"
"1779000","0","3288","2.2"
"1995000","0","3287","2.6"
"2203000","0","3286","2.6"
"2668000","0","3287","2.9"
"2878000","0","3287","3.3"
"3088000","0","3288","3.3"
"3297000","0","3288","3.7"
"3507000","0","3287","3.7"
"3971000","0","3288","4.1"
"4181000","0","3288","4.4"
"4391000","0","3287","4.4"
"4600000","0","3288","4.4"
"4810000","0","3287","4.8"
"5217000","0","3288","5.2"
"5485000","0","3288","5.2"
"5695000","0","3289","5.6"
"5905000","0","3288","5.6"
"6115000","0","3289","5.9"
"6581000","0","3289","6.3"
"6790000","0","3288","6.3"
"6999000","0","3289","6.7"
"7209000","0","3289","6.7"
"7417000","0","3288","6.7"
"7824000","0","3289","7.0"
"8092000","0","3289","7.4"
"8301000","0","3288","7.4"
"8510000","0","3289","7.8"
"8725000","0","3288","7.8"
"9133000","0","3289","8.2"
"9401000","0","3289","8.5"
"9610000","0","3288","8.5"
"9820000","0","3289","8.9"
"10029000","0","3289","8.9"
"10437000","0","3289","9.3"
"10705000","0","3289","9.3"
"10914000","0","3289","9.7"
"11124000","0","3289","9.7"
"11335000","0","3289","10.0"
"11742000","0","3289","10.4"
"12014000","0","3289","10.4"
"12224000","0","3289","10.8"
"12433000","0","3289","10.8"
"12644000","0","3290","10.8"
"13109000","0","3290","11.1"
"13319000","0","3290","11.5"
"13529000","0","3290","11.5"
"13738000","0","3290","11.9"
"13948000","0","3290","11.9"
"14414000","0","3290","12.3"
"14624000","0","3290","12.7"
"14833000","0","3290","12.7"
"15042000","0","3290","13.0"
"15251000","0","3291","13.0"
"15659000","0","3291","13.4"
"15927000","0","3291","13.4"
"16137000","0","3290","13.8"
"16346000","0","3291","13.8"
"16557000","0","3291","14.1"
"17020000","0","3290","14.5"
"17230000","0","3291","14.5"
"17440000","0","3291","14.9"
"17649000","0","3290","14.9"
"17858000","0","3291","15.3"
"18323000","0","3290","15.6"
"18533000","0","3290","15.6"
"18743000","0","3290","15.6"
"18952000","0","3290","16.0"
"19162000","0","3290","16.0"
"19627000","0","3290","16.4"
"19837000","0","3290","16.8"
"20046000","0","3289","16.8"
"20256000","0","3290","17.1"
"20466000","0","3290","17.1"
"20874000","0","3290","17.5"
"21142000","0","3290","17.9"
"21352000","0","3290","17.9"
"21562000","0","3291","17.9"
"21770000","0","3291","18.2"
"22181000","0","3290","18.6"
"22449000","0","3290","18.6"
"22659000","0","3290","19.0"
"22869000","0","3290","19.0"
"23078000","0","3290","19.4"
"23486000","0","3290","19.7"
"23753000","0","3290","19.7"
"23962000","0","3290","20.1"
"24172000","0","3290","20.1"
"24380000","0","3289","20.1"
"24788000","0","3289","20.5"
"25055000","0","3290","20.9"
"25265000","0","3289","20.9"
"25475000","0","3289","21.2"
"25685000","0","3289","21.2"
"26150000","0","3289","21.6"
"26360000","0","3289","22.0"
"26570000","0","3289","22.0"
"26778000","0","3289","22.4"
"26988000","0","3289","22.4"
"27395000","0","3289","22.7"
"27662000","0","3289","22.7"
"27872000","0","3289","23.1"
"28082000","0","3289","23.1"
"28292000","0","3289","23.5"
"28757000","0","3289","23.9"
"28967000","0","3288","23.9"
"29176000","0","3289","24.2"
"29386000","0","3289","24.2"
"29595000","0","3289","24.2"
"30060000","0","3289","24.6"
"30270000","0","3289","25.0"
"30481000","0","3289","25.0"
"30691000","0","3289","25.3"
"30900000","0","3289","25.3"
"31365000","0","3289","25.7"
"31575000","0","3289","26.1"
"31784000","0","3288","26.1"
"32000000","0","3289","26.5"
"32209000","0","3289","26.5"
"32673000","0","3288","26.8"
"32882000","0","3289","26.8"
"33091000","0","3289","27.2"
"33300000","0","3288","27.2"
"33509000","0","3289","27.6"
"33975000","0","3288","28.0"
"34184000","0","3288","28.0"
"34394000","0","3289","28.3"
"34604000","0","3288","28.3"
"34814000","0","3289","28.7"
"35221000","0","3289","28.7"
"35488000","0","3288","29.1"
"35698000","0","3289","29.1"
"35907000","0","3289","29.4"
"36117000","0","3288","29.4"
"36581000","0","3289","29.8"
"36792000","0","3289","30.2"
"37000000","0","3288","30.2"
"37210000","0","3289","30.6"
"37420000","0","3289","30.6"
"37827000","0","3289","30.9"
"38094000","0","3289","31.3"
"38304000","0","3288","31.3"
"38513000","0","3289","31.3"
"38723000","0","3288","31.7"
"39188000","0","3288","32.1"
"39398000","0","3288","32.1"
"39608000","0","3288","32.4"
"39816000","0","3288","32.4"
"40026000","0","3288","32.8"
"40491000","0","3288","33.2"
"40700000","0","3288","33.2"
