Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3278","0.7"
"267000","0","3293","1.1"
"478000","0","3287","1.1"
"687000","0","3292","1.4"
"897000","0","3289","1.4"
"1304000","0","3292","1.8"
"1572000","0","3290","2.2"
"1781000","0","3288","2.2"
"1991000","0","3290","2.6"
"2201000","0","3289","2.6"
"2615000","0","3291","2.9"
"2882000","0","3290","3.3"
"3091000","0","3289","3.3"
"3301000","0","3290","3.7"
"3511000","0","3290","3.7"
"3916000","0","3289","4.1"
"4184000","0","3290","4.1"
"4394000","0","3289","4.4"
"4604000","0","3290","4.4"
"4814000","0","3290","4.8"
"5221000","0","3289","5.2"
"5488000","0","3290","5.2"
"5699000","0","3289","5.6"
"5907000","0","3288","5.6"
"6117000","0","3289","5.9"
"6583000","0","3289","6.3"
"6792000","0","3288","6.3"
"7001000","0","3289","6.7"
"7211000","0","3289","6.7"
"7419000","0","3288","7.1"
"7826000","0","3289","7.1"
"8094000","0","3288","7.4"
"8304000","0","3289","7.4"
"8513000","0","3289","7.8"
"8722000","0","3288","7.8"
"9187000","0","3289","8.2"
"9402000","0","3288","8.5"
"9612000","0","3288","8.5"
"9821000","0","3288","8.9"
"10031000","0","3288","8.9"
"10494000","0","3288","9.3"
"10704000","0","3288","9.7"
"10913000","0","3288","9.7"
"11123000","0","3289","10.0"
"11333000","0","3288","10.0"
"11740000","0","3288","10.4"
"12009000","0","3289","10.4"
"12218000","0","3289","10.8"
"12432000","0","3288","10.8"
"12642000","0","3289","11.2"
"13107000","0","3289","11.5"
"13315000","0","3288","11.5"
"13525000","0","3289","11.9"
"13735000","0","3288","11.9"
"13945000","0","3289","12.3"
"14352000","0","3288","12.7"
"14619000","0","3288","12.7"
"14828000","0","3289","13.0"
"15039000","0","3288","13.0"
"15249000","0","3289","13.4"
"15648000","0","3288","13.4"
"15923000","0","3288","13.8"
"16133000","0","3289","14.2"
"16342000","0","3288","14.2"
"16552000","0","3288","14.2"
"16959000","0","3288","14.5"
"17226000","0","3288","14.9"
"17436000","0","3288","14.9"
"17646000","0","3289","15.3"
"17855000","0","3288","15.3"
"18320000","0","3289","15.6"
"18529000","0","3289","16.0"
"18738000","0","3288","16.0"
"18947000","0","3289","16.4"
"19157000","0","3289","16.4"
"19565000","0","3289","16.8"
"19833000","0","3289","17.2"
"20042000","0","3289","17.2"
"20252000","0","3289","17.5"
"20462000","0","3289","17.5"
"20868000","0","3289","17.9"
"21135000","0","3289","17.9"
"21345000","0","3289","18.3"
"21553000","0","3289","18.3"
"21763000","0","3289","18.6"
"22171000","0","3289","19.0"
"22444000","0","3289","19.0"
"22653000","0","3289","19.4"
"22864000","0","3289","19.4"
"23073000","0","3289","19.8"
"23539000","0","3290","20.1"
"23748000","0","3289","20.1"
"23957000","0","3290","20.5"
"24167000","0","3289","20.5"
"24376000","0","3289","20.5"
"24784000","0","3290","20.9"
"25052000","0","3289","21.3"
"25261000","0","3289","21.3"
"25470000","0","3289","21.6"
"25680000","0","3289","21.6"
"26088000","0","3289","22.0"
"26355000","0","3289","22.4"
"26564000","0","3289","22.4"
"26774000","0","3289","22.8"
"26984000","0","3289","22.8"
"27390000","0","3289","23.1"
"27658000","0","3289","23.5"
"27868000","0","3289","23.5"
"28076000","0","3289","23.5"
"28286000","0","3289","23.9"
"28693000","0","3289","24.3"
"28960000","0","3288","24.3"
"29169000","0","3289","24.6"
"29379000","0","3289","24.6"
"29589000","0","3289","25.0"
"30055000","0","3289","25.4"
"30264000","0","3288","25.4"
"30474000","0","3289","25.8"
"30684000","0","3288","25.8"
"30892000","0","3288","26.1"
"31300000","0","3288","26.5"
"31566000","0","3288","26.5"
"31776000","0","3289","26.9"
"31985000","0","3289","26.9"
"32195000","0","3289","26.9"
"32608000","0","3289","27.2"
"32876000","0","3289","27.6"
"33084000","0","3288","27.6"
"33294000","0","3288","28.0"
"33504000","0","3288","28.0"
"33912000","0","3289","28.4"
"34179000","0","3289","28.7"
"34389000","0","3288","28.7"
"34598000","0","3289","29.1"
"34808000","0","3288","29.1"
"35216000","0","3289","29.5"
"35483000","0","3289","29.9"
"35692000","0","3289","29.9"
"35902000","0","3289","30.2"
"36112000","0","3289","30.2"
"36518000","0","3288","30.6"
"36785000","0","3289","31.0"
"36995000","0","3288","31.0"
"37205000","0","3288","31.0"
"37415000","0","3289","31.4"
"37822000","0","3288","31.7"
"38090000","0","3288","31.7"
"38299000","0","3289","32.1"
"38509000","0","3288","32.1"
"38719000","0","3289","32.5"
"39125000","0","3289","32.9"
"39392000","0","3289","32.9"
"39602000","0","3289","33.2"
"39812000","0","3289","33.2"
"40022000","0","3289","33.6"
"40428000","0","3289","33.6"
"40696000","0","3289","34.0"
"40906000","0","3289","34.0"
"41115000","0","3290","34.3"
"41325000","0","3289","34.3"
"41732000","0","3290","34.7"
"42000000","0","3290","35.1"
"42208000","0","3289","35.1"
"42423000","0","3290","35.5"
