Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3278","0.7"
"210000","0","3293","1.1"
"420000","0","3288","1.1"
"630000","0","3293","1.4"
"840000","0","3291","1.4"
"1310000","0","3288","1.8"
"1519000","0","3290","1.8"
"1728000","0","3289","2.2"
"1938000","0","3291","2.2"
"2148000","0","3290","2.6"
"2555000","0","3289","2.9"
"2822000","0","3290","2.9"
"3032000","0","3290","3.3"
"3242000","0","3289","3.3"
"3451000","0","3290","3.3"
"3917000","0","3289","3.7"
"4127000","0","3290","4.0"
"4336000","0","3289","4.0"
"4547000","0","3290","4.4"
"4757000","0","3290","4.4"
"5222000","0","3291","4.8"
"5432000","0","3290","4.8"
"5642000","0","3291","5.2"
"5852000","0","3290","5.2"
"6062000","0","3291","5.5"
"6527000","0","3291","5.9"
"6736000","0","3290","5.9"
"6946000","0","3291","5.9"
"7155000","0","3291","6.3"
"7365000","0","3291","6.3"
"7830000","0","3291","6.6"
"8039000","0","3291","7.0"
"8248000","0","3291","7.0"
"8459000","0","3291","7.4"
"8669000","0","3291","7.4"
"9076000","0","3291","7.8"
"9343000","0","3291","7.8"
"9553000","0","3291","8.1"
"9762000","0","3290","8.1"
"9971000","0","3291","8.5"
"10436000","0","3290","8.9"
"10646000","0","3290","8.9"
"10855000","0","3290","8.9"
"11071000","0","3290","9.3"
"11280000","0","3291","9.3"
"11687000","0","3290","9.6"
"11956000","0","3291","10.0"
"12166000","0","3290","10.0"
"12375000","0","3291","10.0"
"12585000","0","3291","10.4"
"13050000","0","3291","10.7"
"13261000","0","3291","10.7"
"13470000","0","3291","11.1"
"13680000","0","3291","11.1"
"13890000","0","3291","11.5"
"14355000","0","3291","11.9"
"14565000","0","3291","11.9"
"14774000","0","3291","11.9"
"14984000","0","3291","12.2"
"15194000","0","3291","12.2"
"15593000","0","3291","12.6"
"15869000","0","3291","13.0"
"16079000","0","3291","13.0"
"16288000","0","3291","13.0"
"16498000","0","3291","13.3"
"16905000","0","3292","13.7"
"17173000","0","3291","13.7"
"17383000","0","3292","14.1"
"17593000","0","3291","14.1"
"17803000","0","3292","14.5"
"18267000","0","3291","14.8"
"18477000","0","3291","14.8"
"18686000","0","3291","14.8"
"18896000","0","3291","15.2"
"19106000","0","3291","15.2"
"19572000","0","3291","15.6"
"19782000","0","3292","16.0"
"19992000","0","3291","16.0"
"20200000","0","3291","16.0"
"20409000","0","3291","16.3"
"20875000","0","3291","16.7"
"21088000","0","3290","16.7"
