Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3276","1.5"
"303000","0","3290","1.5"
"514000","0","3286","1.8"
"724000","0","3293","2.2"
"932000","0","3290","2.2"
"1404000","0","3292","2.6"
"1613000","0","3291","3.0"
"1823000","0","3293","3.4"
"2032000","0","3292","3.4"
"2242000","0","3294","3.7"
"2649000","0","3292","4.1"
"2916000","0","3291","4.5"
"3126000","0","3292","4.5"
"3336000","0","3292","4.9"
"3546000","0","3290","4.9"
"3952000","0","3291","5.2"
"4220000","0","3291","5.6"
"4431000","0","3292","6.0"
"4639000","0","3291","6.0"
"4850000","0","3292","6.4"
"5257000","0","3291","6.7"
"5524000","0","3292","7.1"
"5733000","0","3292","7.1"
"5943000","0","3293","7.5"
"6153000","0","3292","7.5"
"6619000","0","3293","7.9"
"6828000","0","3292","8.2"
"7037000","0","3291","8.6"
"7246000","0","3292","8.6"
"7456000","0","3292","9.0"
"7861000","0","3291","9.4"
"8129000","0","3291","9.4"
"8340000","0","3291","9.7"
"8549000","0","3292","10.1"
"8758000","0","3291","10.1"
"9165000","0","3292","10.5"
"9433000","0","3291","10.9"
"9643000","0","3292","11.3"
"9851000","0","3291","11.3"
"10061000","0","3292","11.6"
"10468000","0","3292","12.0"
"10735000","0","3291","12.4"
"10945000","0","3292","12.4"
"11155000","0","3291","12.8"
"11369000","0","3291","12.8"
"11776000","0","3291","13.1"
"12044000","0","3291","13.5"
"12253000","0","3291","13.9"
"12464000","0","3291","13.9"
"12674000","0","3291","14.3"
"13073000","0","3291","14.6"
"13347000","0","3291","15.0"
"13557000","0","3291","15.0"
"13767000","0","3291","15.4"
"13977000","0","3291","15.8"
"14441000","0","3291","16.2"
"14651000","0","3291","16.2"
"14860000","0","3291","16.5"
"15070000","0","3291","16.9"
"15280000","0","3290","16.9"
"15687000","0","3290","17.3"
"15954000","0","3290","17.7"
"16164000","0","3290","18.0"
"16373000","0","3290","18.0"
"16583000","0","3291","18.4"
"16991000","0","3290","18.8"
"17258000","0","3290","19.2"
"17468000","0","3290","19.2"
"17678000","0","3290","19.5"
"17886000","0","3290","19.5"
"18351000","0","3290","20.3"
"18561000","0","3290","20.3"
"18770000","0","3289","20.7"
"18978000","0","3289","20.7"
"19189000","0","3289","21.1"
"19595000","0","3289","21.4"
"19863000","0","3289","21.8"
"20073000","0","3289","21.8"
"20283000","0","3289","22.2"
"20492000","0","3289","22.2"
"20899000","0","3290","22.5"
"21166000","0","3290","22.9"
"21381000","0","3290","23.3"
"21591000","0","3289","23.3"
"21801000","0","3290","23.7"
"22209000","0","3290","24.1"
"22476000","0","3290","24.4"
"22685000","0","3289","24.4"
"22895000","0","3290","24.8"
"23104000","0","3289","24.8"
"23569000","0","3289","25.6"
"23779000","0","3289","25.6"
"23989000","0","3289","25.9"
"24199000","0","3289","25.9"
"24409000","0","3290","26.3"
"24816000","0","3290","26.7"
"25084000","0","3290","27.1"
"25293000","0","3290","27.1"
"25503000","0","3290","27.5"
"25712000","0","3289","27.5"
"26119000","0","3289","27.8"
"26386000","0","3289","28.2"
"26595000","0","3290","28.6"
"26806000","0","3289","28.6"
"27016000","0","3289","29.0"
"27481000","0","3289","29.3"
"27689000","0","3290","29.7"
"27899000","0","3289","29.7"
"28109000","0","3289","30.1"
"28319000","0","3290","30.1"
"28726000","0","3290","30.8"
"28994000","0","3290","30.8"
"29203000","0","3290","31.2"
"29412000","0","3290","31.6"
"29621000","0","3289","31.6"
"30029000","0","3290","32.0"
"30297000","0","3290","32.4"
"30506000","0","3289","32.7"
"30715000","0","3290","32.7"
"30924000","0","3290","33.1"
"31336000","0","3289","33.5"
"31603000","0","3290","33.9"
"31813000","0","3290","33.9"
"32024000","0","3290","34.2"
"32233000","0","3290","34.2"
"32640000","0","3291","34.6"
"32907000","0","3290","35.0"
"33116000","0","3290","35.4"
"33326000","0","3290","35.4"
"33536000","0","3290","35.7"
"33999000","0","3289","36.1"
"34208000","0","3290","36.5"
"34419000","0","3289","36.5"
"34628000","0","3290","36.9"
"34838000","0","3289","37.3"
"35303000","0","3289","37.6"
"35513000","0","3289","37.6"
"35723000","0","3289","38.0"
"35931000","0","3289","38.0"
"36141000","0","3289","38.4"
"36548000","0","3289","38.8"
"36816000","0","3289","39.1"
"37026000","0","3289","39.1"
"37235000","0","3289","39.5"
"37445000","0","3289","39.5"
"37852000","0","3289","40.3"
"38120000","0","3289","40.3"
"38330000","0","3289","40.6"
"38539000","0","3289","40.6"
"38748000","0","3289","41.0"
"39155000","0","3289","41.4"
"39422000","0","3290","41.8"
"39632000","0","3289","41.8"
"39842000","0","3290","42.1"
"40052000","0","3289","42.1"
"40517000","0","3289","42.9"
"40727000","0","3290","42.9"
"40936000","0","3289","43.3"
"41144000","0","3289","43.3"
"41359000","0","3289","43.7"
"41824000","0","3289","44.0"
"42034000","0","3289","44.4"
"42248000","0","3289","44.4"
"42459000","0","3289","44.8"
"42668000","0","3290","44.8"
"43075000","0","3289","45.5"
"43344000","0","3290","45.5"
"43553000","0","3290","45.9"
"43762000","0","3289","45.9"
"43970000","0","3290","46.3"
"44377000","0","3290","46.7"
"44645000","0","3290","47.0"
"44855000","0","3290","47.0"
"45064000","0","3289","47.4"
"45274000","0","3290","47.8"
"45740000","0","3289","48.2"
"45949000","0","3289","48.2"
"46159000","310700","3290","48.5"
"46369000","310700","3289","48.9"
"46578000","310700","3289","48.9"
"47043000","310700","3290","49.7"
"47253000","310700","3289","49.7"
"47463000","310700","3290","50.1"
"47672000","310700","3289","50.1"
"47882000","310700","3290","50.4"
"48290000","310700","3290","50.8"
"48558000","310700","3290","51.2"
"48768000","310700","3290","51.2"
"48978000","310700","3291","51.6"
"49188000","310700","3290","52.0"
"49653000","310700","3290","52.3"
"49863000","310700","3290","52.3"
"50073000","310700","3290","52.7"
"50281000","310700","3289","53.1"
"50491000","310700","3290","53.1"
"50956000","310700","3290","53.4"
"51165000","310700","3290","53.8"
"51381000","310700","3290","54.2"
"51591000","310700","3290","54.2"
"51799000","310700","3290","54.6"
"52265000","310700","3290","55.0"
"52473000","310700","3290","55.0"
"52682000","310700","3290","55.3"
"52892000","310700","3290","55.7"
"53101000","310700","3289","55.7"
"53567000","310700","3290","56.1"
"53777000","310700","3289","56.5"
"53987000","310700","3290","56.8"
"54195000","310700","3290","56.8"
"54405000","310700","3290","57.2"
"54813000","310700","3290","57.6"
"55080000","310700","3290","57.6"
"55289000","310700","3290","58.0"
"55500000","310700","3290","58.4"
"55709000","310700","3289","58.4"
"56117000","310700","3290","58.7"
"56384000","310700","3289","59.1"
"56594000","310700","3289","59.1"
"56803000","310700","3290","59.5"
"57012000","310700","3289","59.9"
"57420000","310700","3289","60.2"
"57687000","310700","3289","60.2"
"57896000","310700","3289","60.6"
"58107000","310700","3290","60.6"
"58316000","310700","3289","61.0"
"58725000","310700","3290","61.4"
"58992000","310700","3290","61.7"
"59202000","310700","3289","61.7"
"59411000","310700","3289","62.1"
"59621000","310700","3290","62.1"
"60028000","310700","3289","62.9"
"60296000","310700","3290","62.9"
"60505000","310700","3289","63.2"
"60716000","310700","3290","63.2"
"60925000","310700","3289","63.6"
"61337000","310700","3289","64.0"
"61603000","310700","3289","64.4"
"61813000","310700","3289","64.8"
"62023000","310700","3288","64.8"
"62233000","310700","3289","65.1"
"62697000","310700","3289","65.5"
"62906000","310700","3288","65.5"
"63116000","310700","3289","65.9"
"63326000","310700","3289","66.3"
"63535000","310700","3288","66.3"
"63942000","310700","3289","66.6"
"64210000","310700","3288","67.0"
"64420000","310700","3289","67.4"
"64629000","310700","3289","67.4"
"64839000","310700","3289","67.8"
"65247000","310700","3289","68.1"
"65513000","310700","3289","68.5"
"65722000","310700","3289","68.5"
"65932000","310700","3289","68.9"
"66142000","310700","3290","68.9"
"66549000","310700","3289","69.7"
"66817000","310700","3289","69.7"
"67027000","310700","3289","70.0"
"67236000","310700","3289","70.4"
"67445000","310700","3288","70.4"
"67852000","310700","3289","70.8"
"68120000","310700","3289","71.2"
"68330000","310700","3289","71.5"
"68539000","310700","3289","71.5"
"68748000","310700","3290","71.9"
"69156000","310700","3289","72.3"
"69424000","310700","3289","72.3"
"69632000","310700","3289","72.7"
"69841000","310700","3289","73.0"
"70050000","310700","3289","73.0"
"70457000","310700","3290","73.4"
"70725000","310700","3289","73.8"
"70935000","310700","3290","74.2"
"71145000","310700","3290","74.2"
"71361000","310700","3290","74.5"
"71769000","310700","3290","74.9"
"72035000","310700","3289","74.9"
"72245000","310700","3290","75.3"
"72455000","310700","3290","75.7"
"72665000","310700","3289","75.7"
"73072000","310700","3290","76.0"
"73339000","310700","3289","76.4"
"73547000","310700","3289","76.4"
"73756000","310700","3289","76.8"
"73966000","310700","3289","77.2"
"74430000","310700","3289","77.6"
"74640000","310700","3289","77.6"
"74850000","310700","3289","77.9"
"75058000","310700","3289","77.9"
"75268000","310700","3289","78.3"
"75733000","310700","3289","78.7"
"75943000","310700","3290","79.1"
"76153000","310700","3289","79.1"
"76363000","310700","3289","79.4"
"76572000","310700","3290","79.8"
"77038000","310700","3289","80.2"
"77247000","310700","3290","80.2"
"77458000","310700","3289","80.6"
"77666000","310700","3289","80.9"
"77875000","310700","3289","80.9"
"78282000","310700","3289","81.3"
"78549000","310700","3289","81.7"
"78759000","310700","3289","82.1"
"78969000","310700","3289","82.1"
"79179000","310700","3289","82.5"
"79644000","310700","3289","82.8"
"79852000","310700","3289","83.2"
"80062000","310700","3289","83.2"
"80271000","310700","3289","83.6"
"80480000","310700","3289","83.6"
"80887000","310700","3289","83.9"
"81155000","310700","3289","84.3"
"81371000","310700","3289","84.7"
"81580000","310700","3289","84.7"
"81790000","310700","3289","85.1"
"82197000","310700","3288","85.5"
"82464000","310700","3289","85.8"
"82674000","310700","3289","85.8"
"82884000","310700","3289","86.2"
"83094000","310700","3289","86.6"
"83559000","310700","3288","87.0"
"83769000","310700","3289","87.0"
"83978000","310700","3288","87.4"
"84193000","310700","3289","87.7"
"84403000","310700","3288","87.7"
"84811000","310700","3289","88.1"
"85078000","310700","3289","88.5"
"85289000","310700","3289","88.9"
"85497000","310700","3289","88.9"
"85707000","310700","3290","89.2"
"86107000","310700","3289","89.6"
"86382000","310700","3289","90.0"
"86592000","310700","3290","90.0"
"86802000","310700","3289","90.4"
"87011000","310700","3289","90.4"
"87417000","310700","3290","90.7"
"87685000","310700","3289","91.1"
"87896000","310700","3290","91.5"
"88106000","310700","3290","91.5"
"88314000","310700","3290","91.9"
"88722000","310700","3290","92.2"
"88989000","310700","3290","92.2"
"89198000","310700","3290","92.6"
"89408000","310700","3290","93.0"
"89618000","310700","3290","93.0"
"90083000","310700","3290","93.4"
"90293000","310700","3290","93.8"
"90503000","310700","3290","94.1"
"90713000","310700","3290","94.1"
"90921000","310700","3290","94.5"
"91334000","310700","3290","94.9"
"91602000","310700","3290","94.9"
"91811000","310700","3290","95.3"
"92021000","310700","3291","95.6"
"92231000","310700","3290","95.6"
"92638000","310700","3290","96.0"
"92907000","310700","3290","96.4"
"93116000","310700","3290","96.8"
"93325000","310700","3290","96.8"
"93533000","310900","3291","97.1"
"93940000","310900","3291","97.5"
"94208000","310900","3291","97.9"
"94418000","310900","3290","97.9"
"94627000","310900","3291","98.3"
"94837000","310900","3290","98.3"
"95245000","310900","3291","98.6"
"95512000","310900","3290","99.0"
"95721000","310900","3291","99.4"
"95931000","310900","3290","99.4"
"96141000","310900","3291","99.8"
"96549000","310900","3291","100.2"
"96817000","310900","3291","100.5"
"97027000","310900","3291","100.5"
"97236000","310900","3291","100.9"
"97447000","310900","3291","101.3"
"97912000","310900","3290","101.7"
"98121000","310900","3291","101.7"
"98332000","310900","3290","102.0"
"98542000","310900","3291","102.4"
"98750000","310900","3290","102.4"
"99158000","310900","3291","102.8"
"99426000","310900","3291","103.2"
"99634000","310900","3290","103.6"
"99843000","310900","3291","103.6"
