Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3273","1.1"
"266000","0","3288","1.1"
"476000","0","3285","1.4"
"686000","0","3290","1.4"
"896000","0","3289","1.8"
"1303000","0","3287","2.2"
"1571000","0","3289","2.2"
"1780000","0","3288","2.6"
"1988000","0","3286","2.6"
"2196000","0","3289","3.0"
"2605000","0","3288","3.0"
"2872000","0","3290","3.3"
"3082000","0","3289","3.3"
"3291000","0","3290","3.7"
"3501000","0","3289","3.7"
"3907000","0","3288","4.1"
"4175000","0","3289","4.4"
"4385000","0","3289","4.4"
"4595000","0","3290","4.8"
"4804000","0","3289","4.8"
"5211000","0","3290","5.2"
"5479000","0","3290","5.6"
"5689000","0","3290","5.6"
"5899000","0","3290","5.6"
"6109000","0","3290","5.9"
"6515000","0","3289","6.3"
"6783000","0","3290","6.3"
"6992000","0","3289","6.7"
"7200000","0","3289","6.7"
"7414000","0","3289","7.1"
"7822000","0","3289","7.1"
"8089000","0","3289","7.4"
"8299000","0","3290","7.8"
"8509000","0","3289","7.8"
"8717000","0","3289","7.8"
"9124000","0","3289","8.2"
"9393000","0","3289","8.5"
"9601000","0","3288","8.5"
"9811000","0","3289","8.9"
"10026000","0","3289","8.9"
"10433000","0","3289","9.3"
"10701000","0","3289","9.7"
"10911000","0","3288","9.7"
"11119000","0","3289","10.0"
"11329000","0","3289","10.0"
"11735000","0","3288","10.4"
"12003000","0","3289","10.4"
"12213000","0","3289","10.8"
"12421000","0","3288","10.8"
"12631000","0","3289","11.2"
"13039000","0","3289","11.5"
"13306000","0","3288","11.5"
"13515000","0","3289","11.9"
"13725000","0","3288","11.9"
"13935000","0","3289","12.3"
"14343000","0","3289","12.3"
"14611000","0","3289","12.7"
"14820000","0","3289","12.7"
"15030000","0","3289","13.0"
"15240000","0","3289","13.0"
"15704000","0","3289","13.4"
"15914000","0","3289","13.8"
"16123000","0","3289","13.8"
"16333000","0","3289","14.2"
"16542000","0","3289","14.2"
"16948000","0","3289","14.5"
"17215000","0","3289","14.9"
"17425000","0","3289","14.9"
"17635000","0","3289","14.9"
"17844000","0","3289","15.3"
"18251000","0","3289","15.6"
"18518000","0","3289","15.6"
"18728000","0","3289","16.0"
"18936000","0","3288","16.0"
"19146000","0","3289","16.4"
"19554000","0","3289","16.8"
"19821000","0","3288","16.8"
"20036000","0","3289","17.1"
"20246000","0","3289","17.1"
"20456000","0","3289","17.5"
"20863000","0","3289","17.5"
"21131000","0","3289","17.9"
"21340000","0","3288","17.9"
"21550000","0","3289","18.3"
"21760000","0","3289","18.3"
"22168000","0","3289","18.6"
