Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3278","1.5"
"267000","0","3291","1.9"
"477000","0","3287","2.2"
"687000","0","3293","2.6"
"897000","0","3292","2.6"
"1297000","0","3289","3.4"
"1571000","0","3292","3.8"
"1781000","0","3291","4.2"
"1991000","0","3289","4.2"
"2201000","0","3290","4.5"
"2608000","0","3290","4.9"
"2875000","0","3288","5.3"
"3085000","0","3289","5.7"
"3294000","0","3288","6.1"
"3504000","0","3290","6.5"
"3912000","0","3289","6.8"
"4180000","0","3290","7.2"
"4390000","0","3290","7.6"
"4600000","0","3289","8.0"
"4810000","0","3290","8.0"
"5217000","0","3290","8.8"
"5483000","0","3289","9.1"
"5693000","0","3290","9.1"
"5902000","0","3289","9.5"
"6112000","0","3290","9.9"
"6520000","0","3289","10.3"
"6787000","0","3290","10.7"
"6997000","0","3289","11.1"
"7207000","0","3290","11.4"
"7417000","0","3290","11.8"
"7830000","0","3289","12.2"
"8098000","0","3290","12.6"
"8308000","0","3290","13.0"
"8517000","0","3289","13.0"
"8727000","0","3290","13.3"
"9135000","0","3290","14.1"
"9401000","0","3289","14.5"
"9611000","0","3290","14.5"
"9821000","0","3289","14.9"
"10031000","0","3290","15.3"
"10438000","0","3289","15.6"
"10706000","0","3290","16.0"
"10915000","0","3289","16.4"
"11125000","0","3290","16.8"
"11335000","0","3290","17.2"
"11800000","0","3289","17.6"
"12010000","0","3290","17.9"
"12219000","0","3290","17.9"
"12429000","0","3289","18.3"
"12639000","0","3290","18.3"
"13046000","0","3290","18.7"
"13314000","0","3290","19.1"
"13524000","0","3290","19.1"
"13734000","0","3290","19.5"
"13944000","0","3289","19.5"
"14351000","0","3290","19.8"
"14619000","0","3290","20.2"
"14828000","0","3289","20.2"
"15037000","0","3290","20.2"
"15247000","0","3290","20.6"
"15710000","0","3289","20.9"
"15919000","0","3290","20.9"
"16129000","0","3290","21.3"
"16339000","0","3290","21.3"
"16549000","0","3290","21.7"
"16956000","0","3289","22.1"
"17223000","0","3289","22.1"
"17433000","0","3289","22.4"
"17648000","0","3289","22.4"
"17857000","0","3289","22.8"
"18264000","0","3289","22.8"
"18474000","0","3290","23.2"
"18741000","0","3290","23.2"
"18951000","0","3290","23.6"
"19162000","0","3290","23.6"
"19626000","0","3290","23.9"
"19836000","0","3290","24.3"
"20045000","0","3290","24.3"
"20255000","0","3290","24.7"
"20465000","0","3290","24.7"
"20929000","0","3290","25.0"
"21139000","0","3290","25.0"
"21348000","0","3290","25.4"
"21556000","0","3289","25.4"
"21766000","0","3289","25.8"
"22173000","0","3289","26.2"
"22440000","0","3289","26.2"
"22650000","0","3289","26.5"
"22859000","0","3289","26.5"
"23070000","0","3290","26.9"
"23477000","0","3290","26.9"
"23745000","0","3290","27.3"
"23954000","0","3290","27.3"
"24164000","0","3290","27.7"
"24374000","0","3290","27.7"
"24782000","0","3290","28.0"
"25049000","0","3290","28.4"
"25258000","0","3289","28.4"
"25468000","0","3290","28.8"
"25678000","0","3290","28.8"
"26086000","0","3290","29.2"
"26354000","0","3290","29.5"
"26564000","0","3290","29.5"
"26774000","0","3290","29.5"
"26983000","0","3290","29.9"
"27389000","0","3289","30.3"
"27663000","0","3290","30.3"
"27873000","0","3290","30.7"
"28081000","0","3289","30.7"
"28291000","0","3289","31.0"
"28698000","0","3290","31.4"
"28964000","0","3289","31.4"
"29174000","0","3290","31.8"
"29384000","0","3289","31.8"
"29594000","0","3290","32.2"
"30000000","0","3290","32.2"
"30267000","0","3290","32.5"
"30477000","0","3289","32.5"
"30687000","0","3290","32.9"
"30897000","0","3290","32.9"
"31304000","0","3290","33.3"
"31572000","0","3290","33.6"
"31780000","0","3289","33.6"
"31989000","0","3289","34.0"
"32198000","0","3289","34.0"
"32604000","0","3289","34.4"
"32872000","0","3289","34.8"
"33082000","0","3290","34.8"
"33290000","0","3289","34.8"
"33500000","0","3289","35.1"
"33908000","0","3289","35.5"
"34175000","0","3289","35.5"
"34392000","0","3289","35.9"
"34602000","0","3289","35.9"
"34812000","0","3290","36.3"
"35218000","0","3290","36.6"
"35485000","0","3290","36.6"
"35695000","0","3290","37.0"
"35905000","0","3290","37.0"
"36113000","0","3289","37.0"
"36520000","0","3289","37.4"
"36788000","0","3289","37.7"
"36998000","0","3289","37.7"
"37208000","0","3289","38.1"
"37416000","0","3289","38.1"
"37828000","0","3288","38.5"
"38097000","0","3289","38.9"
"38306000","0","3289","38.9"
"38514000","0","3289","39.3"
"38724000","0","3289","39.3"
"39133000","0","3289","39.6"
"39400000","0","3288","39.6"
"39610000","0","3289","40.0"
"39820000","0","3288","40.0"
"40029000","0","3289","40.4"
"40437000","0","3289","40.7"
"40704000","0","3288","40.7"
"40913000","0","3289","41.1"
"41123000","0","3289","41.1"
"41333000","0","3289","41.5"
"41739000","0","3289","41.5"
"42007000","0","3289","41.9"
"42217000","0","3289","41.9"
"42426000","0","3289","42.2"
"42634000","0","3289","42.2"
"43041000","0","3289","42.6"
"43308000","0","3289","43.0"
"43518000","0","3289","43.0"
"43729000","0","3289","43.4"
"43938000","0","3289","43.4"
"44345000","0","3289","43.7"
"44613000","0","3289","44.1"
"44822000","0","3289","44.1"
"45032000","0","3289","44.5"
"45242000","0","3289","44.5"
"45649000","0","3289","44.8"
"45916000","0","3289","44.8"
"46126000","0","3289","45.2"
"46336000","0","3289","45.2"
"46546000","0","3289","45.6"
"46952000","0","3289","46.0"
"47219000","0","3289","46.0"
"47430000","0","3289","46.3"
"47644000","0","3289","46.3"
"47854000","0","3289","46.7"
"48261000","0","3289","46.7"
"48529000","0","3289","47.1"
"48738000","0","3289","47.1"
"48948000","0","3289","47.5"
"49158000","0","3289","47.5"
"49565000","0","3289","47.8"
"49834000","286300","3289","48.2"
"50042000","286300","3289","48.2"
"50251000","286300","3289","48.6"
"50461000","286300","3289","48.6"
"50868000","286300","3290","49.0"
"51136000","286300","3290","49.3"
"51346000","286300","3290","49.3"
"51556000","286300","3290","49.3"
"51766000","286300","3290","49.7"
"52172000","286300","3289","50.1"
"52440000","286300","3289","50.1"
"52650000","286300","3289","50.5"
"52858000","286300","3289","50.5"
"53067000","286300","3289","50.8"
"53474000","286300","3289","51.2"
"53742000","286300","3289","51.2"
"53951000","286300","3289","51.6"
"54162000","286300","3289","51.6"
"54371000","286300","3288","51.6"
"54778000","286300","3288","51.9"
"55046000","286300","3289","52.3"
"55256000","286300","3288","52.3"
"55465000","286300","3288","52.7"
"55675000","286300","3288","52.7"
"56082000","286300","3289","53.1"
"56350000","286300","3289","53.4"
"56559000","286300","3288","53.4"
"56768000","286300","3288","53.8"
"56978000","286300","3289","53.8"
"57386000","286300","3289","54.2"
"57658000","286300","3289","54.2"
"57867000","286300","3289","54.6"
"58078000","286300","3289","54.6"
"58288000","286300","3289","54.9"
"58696000","286300","3289","55.3"
"58962000","286300","3289","55.3"
"59172000","286300","3289","55.7"
"59382000","286300","3289","55.7"
"59592000","286300","3289","56.1"
"59998000","286300","3290","56.1"
"60266000","286300","3289","56.4"
"60475000","286300","3290","56.8"
"60685000","286300","3290","56.8"
"60895000","286300","3289","56.8"
"61301000","286300","3290","57.2"
"61569000","286300","3289","57.5"
"61777000","286300","3289","57.5"
"61986000","286300","3289","57.9"
"62196000","286300","3289","57.9"
"62603000","286300","3289","58.3"
"62872000","286300","3289","58.7"
"63081000","286300","3289","58.7"
"63290000","286300","3289","59.1"
"63499000","286300","3289","59.1"
"63908000","286300","3289","59.4"
"64175000","286300","3289","59.4"
"64384000","286300","3290","59.8"
"64594000","286300","3289","59.8"
"64804000","286300","3290","60.2"
"65211000","286300","3290","60.5"
"65479000","286300","3289","60.5"
"65688000","286300","3290","60.9"
"65898000","286300","3290","60.9"
"66108000","286300","3290","61.3"
"66573000","286300","3290","61.7"
"66783000","286300","3290","61.7"
"66993000","286300","3290","61.7"
"67202000","286300","3290","62.0"
"67412000","286300","3291","62.0"
"67825000","286300","3290","62.4"
"68093000","286300","3291","62.8"
"68303000","286300","3291","62.8"
"68513000","286300","3291","63.2"
"68723000","286300","3291","63.2"
"69129000","286300","3290","63.5"
"69396000","286300","3291","63.9"
"69606000","286300","3291","63.9"
"69816000","286300","3290","63.9"
"70025000","286300","3291","64.3"
"70433000","286300","3290","64.6"
"70700000","286300","3290","64.6"
"70909000","286300","3290","65.0"
"71119000","286300","3290","65.0"
"71329000","286300","3290","65.4"
"71736000","286300","3290","65.4"
"72003000","286300","3291","65.8"
"72212000","286300","3290","65.8"
"72422000","286300","3291","66.1"
"72632000","286300","3290","66.1"
"73039000","286300","3290","66.5"
"73306000","286300","3290","66.9"
"73515000","286300","3290","66.9"
"73724000","286300","3290","67.3"
"73934000","286300","3290","67.3"
"74333000","286300","3290","67.6"
"74609000","286300","3290","68.0"
"74819000","286300","3291","68.0"
"75028000","286300","3291","68.0"
"75237000","286300","3291","68.4"
"75644000","286300","3290","68.8"
"75912000","286300","3290","68.8"
"76122000","286300","3291","69.1"
"76336000","286300","3290","69.1"
"76546000","286300","3290","69.5"
"76954000","286300","3290","69.9"
"77221000","286300","3290","69.9"
"77431000","286300","3290","70.3"
"77646000","286300","3290","70.3"
"77855000","286300","3289","70.6"
"78319000","286300","3290","70.6"
"78529000","286300","3290","71.0"
"78738000","286300","3289","71.0"
"78948000","286300","3290","71.4"
"79158000","286300","3289","71.4"
"79565000","286300","3289","71.7"
"79832000","286300","3290","72.1"
"80042000","286300","3290","72.1"
"80252000","286300","3290","72.5"
"80461000","286300","3289","72.5"
"80868000","286300","3289","72.9"
"81136000","286300","3289","73.2"
"81345000","286300","3289","73.2"
