Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3275","1.1"
"210000","0","3291","1.1"
"420000","0","3289","1.5"
"630000","0","3285","1.5"
"839000","0","3289","1.5"
"1247000","0","3287","1.8"
"1514000","0","3290","2.2"
"1724000","0","3289","2.2"
"1934000","0","3291","2.6"
"2149000","0","3290","2.6"
"2614000","0","3289","2.9"
"2824000","0","3290","2.9"
"3033000","0","3289","3.3"
"3244000","0","3290","3.3"
"3454000","0","3290","3.7"
"3861000","0","3289","3.7"
"4128000","0","3290","4.0"
"4337000","0","3289","4.0"
"4547000","0","3290","4.4"
"4756000","0","3289","4.4"
"5163000","0","3290","4.8"
"5431000","0","3290","5.2"
"5640000","0","3289","5.2"
"5849000","0","3290","5.2"
"6059000","0","3289","5.5"
"6465000","0","3289","5.9"
"6732000","0","3289","5.9"
"6942000","0","3289","6.3"
"7151000","0","3288","6.3"
"7360000","0","3289","6.3"
"7825000","0","3289","6.6"
"8035000","0","3289","7.0"
"8245000","0","3289","7.0"
"8455000","0","3290","7.4"
"8665000","0","3289","7.4"
"9073000","0","3290","7.8"
"9341000","0","3289","7.8"
"9551000","0","3290","8.1"
"9761000","0","3290","8.1"
"9971000","0","3290","8.5"
"10437000","0","3290","8.9"
"10646000","0","3290","8.9"
"10855000","0","3290","8.9"
"11065000","0","3290","9.3"
"11273000","0","3289","9.3"
"11738000","0","3290","9.6"
"11948000","0","3289","10.0"
"12163000","0","3289","10.0"
"12372000","0","3290","10.4"
"12582000","0","3289","10.4"
"12989000","0","3289","10.7"
"13257000","0","3289","10.7"
"13467000","0","3289","11.1"
"13676000","0","3289","11.1"
"13886000","0","3289","11.5"
"14293000","0","3289","11.5"
"14560000","0","3289","11.9"
"14771000","0","3289","11.9"
"14981000","0","3289","12.2"
"15190000","0","3289","12.2"
"15655000","0","3290","12.6"
"15865000","0","3289","13.0"
"16075000","0","3289","13.0"
"16284000","0","3289","13.0"
"16494000","0","3289","13.4"
"16901000","0","3289","13.7"
"17168000","0","3289","13.7"
"17378000","0","3290","14.1"
"17588000","0","3289","14.1"
"17798000","0","3289","14.1"
"18206000","0","3289","14.5"
"18474000","0","3289","14.8"
"18684000","0","3289","14.8"
"18894000","0","3290","15.2"
"19104000","0","3290","15.2"
"19569000","0","3290","15.6"
"19779000","0","3290","15.6"
"19989000","0","3290","16.0"
"20199000","0","3290","16.0"
"20409000","0","3291","16.3"
"20875000","0","3291","16.7"
"21084000","0","3290","16.7"
"21293000","0","3290","16.7"
"21504000","0","3290","17.1"
"21712000","0","3290","17.1"
"22124000","0","3290","17.4"
"22391000","0","3290","17.8"
"22600000","0","3289","17.8"
"22810000","0","3289","17.8"
"23020000","0","3289","18.2"
"23484000","0","3289","18.6"
"23694000","0","3289","18.6"
"23903000","0","3289","18.9"
"24112000","0","3289","18.9"
"24321000","0","3290","18.9"
"24786000","0","3289","19.3"
"24996000","0","3290","19.7"
"25206000","0","3290","19.7"
"25416000","0","3290","20.0"
"25626000","0","3290","20.0"
"26033000","0","3290","20.4"
"26302000","0","3290","20.4"
"26512000","0","3290","20.8"
"26721000","0","3290","20.8"
"26931000","0","3290","21.2"
"27337000","0","3290","21.5"
"27605000","0","3290","21.5"
"27815000","0","3290","21.9"
"28024000","0","3289","21.9"
"28234000","0","3290","21.9"
"28641000","0","3289","22.3"
"28910000","0","3290","22.7"
"29120000","0","3290","22.7"
"29329000","0","3290","23.0"
"29539000","0","3290","23.0"
"29945000","0","3290","23.4"
"30211000","0","3290","23.4"
"30422000","0","3290","23.8"
"30631000","0","3290","23.8"
"30840000","0","3290","24.1"
"31248000","0","3290","24.1"
"31516000","0","3289","24.5"
"31725000","0","3290","24.5"
"31934000","0","3289","24.9"
"32148000","0","3289","24.9"
"32613000","0","3289","25.2"
"32824000","0","3289","25.6"
"33033000","0","3288","25.6"
"33242000","0","3289","25.6"
"33452000","0","3288","26.0"
"33916000","0","3288","26.4"
"34126000","0","3289","26.4"
"34335000","0","3288","26.7"
"34544000","0","3288","26.7"
"34754000","0","3289","27.1"
"35160000","0","3288","27.1"
"35427000","0","3289","27.5"
"35637000","0","3289","27.5"
"35848000","0","3289","27.9"
"36057000","0","3289","27.9"
"36573000","0","3290","28.2"
"36783000","0","3289","28.6"
"36992000","0","3289","28.6"
"37201000","0","3290","28.6"
"37411000","0","3289","29.0"
"37875000","0","3289","29.4"
"38084000","0","3289","29.4"
"38293000","0","3289","29.7"
"38503000","0","3288","29.7"
"38712000","0","3289","29.7"
"39120000","0","3288","30.1"
"39388000","0","3288","30.5"
"39598000","0","3289","30.5"
"39808000","0","3289","30.8"
"40018000","0","3289","30.8"
"40426000","0","3289","31.2"
"40693000","0","3289","31.2"
"40903000","0","3289","31.6"
"41112000","0","3289","31.6"
"41322000","0","3289","32.0"
"41787000","0","3290","32.3"
"42002000","0","3289","32.3"
"42211000","0","3290","32.3"
"42421000","0","3289","32.7"
"42630000","0","3289","32.7"
"43095000","0","3289","33.1"
"43304000","0","3289","33.4"
"43512000","0","3289","33.4"
"43722000","0","3289","33.8"
"43932000","0","3289","33.8"
"44397000","0","3289","34.2"
"44606000","0","3289","34.2"
"44816000","0","3289","34.6"
"45024000","0","3288","34.6"
"45233000","0","3289","34.9"
"45699000","0","3289","35.3"
"45909000","0","3289","35.3"
"46118000","0","3289","35.3"
"46328000","0","3289","35.7"
"46538000","0","3289","35.7"
"46945000","0","3290","36.0"
"47214000","0","3290","36.4"
"47422000","0","3290","36.4"
"47632000","0","3290","36.4"
"47841000","0","3290","36.8"
"48249000","0","3290","37.2"
"48516000","0","3289","37.2"
"48725000","0","3289","37.5"
"48935000","0","3289","37.5"
"49145000","0","3290","37.9"
"49609000","0","3289","37.9"
"49819000","0","3289","38.3"
"50029000","0","3290","38.3"
"50238000","0","3289","38.7"
"50446000","0","3289","38.7"
"50853000","0","3290","39.0"
"51120000","0","3289","39.4"
"51329000","0","3289","39.4"
"51539000","0","3290","39.4"
"51749000","0","3289","39.8"
"52160000","0","3289","40.1"
"52428000","0","3289","40.1"
"52637000","0","3289","40.5"
"52846000","0","3288","40.5"
"53056000","0","3289","40.5"
"53464000","0","3288","40.9"
"53731000","0","3289","41.3"
"53941000","0","3288","41.3"
"54149000","0","3288","41.6"
"54359000","0","3288","41.6"
"54824000","0","3288","42.0"
"55034000","0","3289","42.0"
"55244000","0","3288","42.4"
"55454000","0","3289","42.4"
"55664000","0","3289","42.8"
"56071000","0","3288","42.8"
"56338000","0","3289","43.1"
"56548000","0","3289","43.1"
"56758000","0","3289","43.5"
"56968000","0","3289","43.5"
"57375000","0","3289","43.9"
